dz_2021_code,white,asian,black,mixed,other
N20000927,554,9,14,8,0
N20000928,274,1,21,8,0
N20000929,305,8,1,5,1
N20000930,223,3,1,8,2
N20000931,441,18,29,14,7
N20000932,329,7,13,0,3
N20000933,371,9,11,4,3
N20000934,429,5,23,13,17
N20000935,445,1,2,0,0
N20000936,474,15,20,10,0
N20000937,447,15,5,4,0
N20000938,280,16,0,6,4
N20000939,325,4,10,9,1
N20000940,290,18,10,6,0
N20000941,595,14,0,18,2
N20000942,381,10,29,7,1
N20000943,310,15,18,3,21
N20000944,320,24,16,2,1
N20000945,360,18,4,3,0
N20000946,304,5,3,6,4
N20000947,353,16,0,5,0
N20000948,371,2,7,1,1
N20000949,562,7,5,5,0
N20000950,426,48,0,11,0
N20000951,284,0,1,2,0
N20000952,431,0,0,5,3
N20000953,564,5,0,4,0
N20000954,331,3,1,1,0
N20000955,394,0,0,0,0
N20000956,799,21,0,8,0
N20000957,428,7,5,3,0
N20000958,652,12,0,0,2
N20000959,496,2,0,0,0
N20000960,516,11,0,11,0
N20000961,448,3,2,1,0
N20000962,647,8,0,2,1
N20000963,322,7,1,3,1
N20000964,381,4,2,0,2
N20000965,502,14,1,8,4
N20000966,388,20,3,10,3
N20000967,404,71,6,5,9
N20000968,512,18,1,0,1
N20000969,568,14,0,12,1
N20000970,499,5,0,14,1
N20000971,520,8,1,7,0
N20000972,183,17,2,0,1
N20000973,312,10,7,0,0
N20000974,435,0,0,1,1
N20000975,573,19,0,3,0
N20000976,446,33,5,11,4
N20000977,391,29,1,2,1
N20000978,354,12,0,8,0
N20000979,514,15,0,7,0
N20000980,485,35,3,0,0
N20000981,470,1,0,6,0
N20000982,604,4,0,10,3
N20000983,581,9,2,4,1
N20000984,536,16,1,4,0
N20000985,275,5,0,6,0
N20000986,327,1,2,0,0
N20000987,473,12,0,6,1
N20000988,686,0,7,6,1
N20000989,430,8,1,0,0
N20000990,372,0,3,5,1
N20000991,349,0,5,0,1
N20000992,395,0,0,0,0
N20000993,530,10,1,4,0
N20000994,548,18,0,4,0
N20000995,753,14,0,13,0
N20000996,422,8,1,1,0
N20000997,641,3,2,13,2
N20000998,360,0,0,9,0
N20000999,267,5,1,0,0
N20001000,350,3,1,5,0
N20001001,459,1,1,4,0
N20001002,258,0,4,0,0
N20001003,331,0,0,0,6
N20001004,455,1,0,2,2
N20001005,536,1,0,0,0
N20001006,646,0,0,4,3
N20001007,756,5,4,4,0
N20001008,551,0,2,11,0
N20001009,418,8,1,3,0
N20001010,432,3,0,4,0
N20001011,561,0,0,7,0
N20001012,286,0,0,5,0
N20001013,538,5,0,5,0
N20001014,495,4,0,0,3
N20001015,593,7,7,5,0
N20001016,610,32,0,6,7
N20001017,313,0,3,4,0
N20001018,235,3,8,4,0
N20001019,492,3,2,5,7
N20001020,627,3,0,4,0
N20001021,426,8,3,18,0
N20001022,430,8,0,17,1
N20001023,415,15,10,7,1
N20001024,553,10,2,9,4
N20001025,260,5,1,0,0
N20001026,378,5,15,12,2
N20001027,330,16,7,6,5
N20001028,519,1,4,9,4
N20001029,327,2,3,0,5
N20001030,337,7,0,4,0
N20001031,315,7,1,3,0
N20001032,297,4,4,5,8
N20001033,519,12,2,10,1
N20001034,545,14,0,1,0
N20001035,556,6,1,5,0
N20001036,397,1,0,6,0
N20001037,460,6,0,0,0
N20001038,515,18,3,9,0
N20001039,542,11,0,9,0
N20001040,613,3,0,4,0
N20001041,548,11,0,3,0
N20001042,472,4,0,0,1
N20001043,255,1,5,3,1
N20001044,392,2,8,3,6
N20001045,366,17,0,4,0
N20001046,747,20,7,7,0
N20001047,532,13,0,9,0
N20001048,294,10,0,0,0
N20001049,355,4,1,0,0
N20001050,539,33,4,8,0
N20001051,416,15,5,4,0
N20001052,408,11,0,10,0
N20001053,713,15,6,15,0
N20001054,463,11,0,6,3
N20001055,302,1,2,0,0
N20001056,590,13,0,10,0
N20001057,325,1,0,7,0
N20001058,541,5,1,7,0
N20001059,391,41,9,8,1
N20001060,412,15,0,10,0
N20001061,472,40,47,11,6
N20001062,281,5,0,3,0
N20001063,608,9,0,16,0
N20001064,268,37,13,10,0
N20001065,527,12,0,0,6
N20001066,516,84,7,15,1
N20001067,348,14,0,0,1
N20001068,459,3,0,0,0
N20001069,446,12,0,3,4
N20001070,592,54,5,17,0
N20001071,383,6,1,4,0
N20001072,511,10,1,6,1
N20001073,539,4,0,5,0
N20001074,431,7,1,3,4
N20001075,454,1,3,4,1
N20001076,591,4,4,12,0
N20001077,604,14,0,9,5
N20001078,277,7,1,1,1
N20001079,244,103,1,4,1
N20001080,664,742,22,22,17
N20001081,306,49,7,9,4
N20001082,385,5,5,8,1
N20001083,434,15,0,0,0
N20001084,462,292,7,13,4
N20001085,216,319,8,6,6
N20001086,340,46,10,1,2
N20001087,456,410,9,20,6
N20001088,266,195,7,0,4
N20001089,215,2,2,6,1
N20001090,347,235,35,3,6
N20001091,269,88,21,2,1
N20001092,444,22,2,7,0
N20001093,386,3,11,1,0
N20001094,352,10,16,1,0
N20001095,507,18,9,4,3
N20001096,409,17,23,1,3
N20001097,241,45,11,7,11
N20001098,328,16,14,8,6
N20001099,227,73,14,11,7
N20001100,327,50,14,4,3
N20001101,432,57,5,8,0
N20001102,259,26,10,5,0
N20001103,343,125,15,13,8
N20001104,430,31,16,0,4
N20001105,274,36,12,4,6
N20001106,406,55,33,9,6
N20001107,345,53,11,7,7
N20001108,142,64,5,3,4
N20001109,495,9,22,15,13
N20001110,246,21,13,4,1
N20001111,324,23,24,4,4
N20001112,347,137,8,11,10
N20001113,415,44,15,2,2
N20001114,357,31,29,10,0
N20001115,496,68,16,18,21
N20001116,302,24,7,2,3
N20001117,279,14,19,8,1
N20001118,414,24,11,8,26
N20001119,360,20,16,10,5
N20001120,510,52,15,13,3
N20001121,613,8,1,0,9
N20001122,175,61,6,6,2
N20001123,331,86,7,15,3
N20001124,508,86,8,13,3
N20001125,230,64,20,11,8
N20001126,488,92,51,7,15
N20001127,442,30,31,18,12
N20001128,195,23,31,0,5
N20001129,337,38,30,6,12
N20001130,463,32,26,5,12
N20001131,474,59,18,7,40
N20001132,397,74,19,13,4
N20001133,615,114,33,13,6
N20001134,498,28,28,7,19
N20001135,503,72,17,19,5
N20001136,416,50,11,10,0
N20001137,388,56,22,6,3
N20001138,383,42,27,12,1
N20001139,517,86,15,23,4
N20001140,457,73,17,8,1
N20001141,273,11,27,4,3
N20001142,518,67,12,16,5
N20001143,436,73,21,15,1
N20001144,430,70,8,13,3
N20001145,210,5,0,6,0
N20001146,263,5,0,3,2
N20001147,267,97,33,19,0
N20001148,357,33,4,25,8
N20001149,541,36,29,13,23
N20001150,342,24,18,7,0
N20001151,487,31,14,10,1
N20001152,291,34,9,6,4
N20001153,596,23,6,13,0
N20001154,237,36,22,7,5
N20001155,389,19,12,4,11
N20001156,549,105,8,15,0
N20001157,362,23,10,11,3
N20001158,394,11,23,5,1
N20001159,382,15,16,18,6
N20001160,303,3,8,7,0
N20001161,379,17,9,5,1
N20001162,1646,430,27,40,6
N20001163,260,41,5,18,3
N20001164,488,20,4,11,0
N20001165,436,15,12,15,0
N20001166,527,7,8,10,0
N20001167,647,7,1,12,3
N20001168,435,37,6,21,0
N20001169,509,9,1,4,3
N20001170,427,29,1,5,2
N20001171,274,15,0,1,3
N20001172,941,41,12,20,1
N20001173,369,40,1,7,1
N20001174,539,20,1,13,0
N20001175,292,47,0,6,0
N20001176,419,16,0,1,1
N20001177,460,10,2,10,2
N20001178,471,57,0,14,0
N20001179,230,25,0,5,8
N20001180,272,7,1,8,0
N20001181,262,11,6,0,1
N20001182,441,8,4,13,3
N20001183,434,8,5,6,0
N20001184,698,29,4,8,4
N20001185,485,17,3,1,1
N20001186,500,29,3,2,1
N20001187,247,2,3,0,2
N20001188,330,4,3,5,6
N20001189,424,8,0,2,1
N20001190,491,5,1,1,0
N20001191,418,7,0,3,3
N20001192,513,2,1,4,0
N20001193,330,17,0,3,2
N20001194,321,1,5,17,0
N20001195,657,17,0,0,2
N20001196,387,12,0,4,1
N20001197,428,4,0,4,0
N20001198,481,10,4,1,0
N20001199,498,34,6,3,1
N20001200,443,0,1,9,5
N20001201,433,20,5,10,3
N20001202,381,5,3,3,1
N20001203,344,82,31,4,6
N20001204,471,3,0,4,1
N20001205,303,49,4,6,2
N20001206,134,13,4,0,2
N20001207,314,5,5,0,0
N20001208,550,3,0,5,1
N20001209,373,5,0,15,3
N20001210,392,76,7,14,4
N20001211,421,22,9,8,4
N20001212,280,0,0,0,0
N20001213,296,37,1,10,0
N20001214,394,16,7,6,5
N20001215,589,44,1,22,0
N20001216,249,33,3,4,1
N20001217,519,30,4,9,0
N20001218,349,18,0,4,0
N20001219,385,32,0,7,1
N20001220,416,91,16,12,0
N20001221,345,82,0,11,5
N20001222,342,15,19,5,1
N20001223,589,9,15,8,0
N20001224,381,5,0,5,1
N20001225,210,10,4,13,0
N20001226,413,7,0,0,2
N20001227,264,2,0,3,2
N20001228,347,7,3,4,0
N20001229,395,6,10,8,0
N20001230,577,42,1,5,0
N20001231,517,20,6,9,1
N20001232,589,10,8,0,1
N20001233,452,32,3,5,0
N20001234,440,7,3,17,1
N20001235,313,3,0,4,0
N20001236,690,7,2,5,0
N20001237,430,0,1,2,0
N20001238,266,0,0,1,1
N20001239,658,0,0,6,6
N20001240,516,7,0,8,1
N20001241,601,3,0,10,0
N20001242,716,1,1,11,1
N20001243,709,5,0,4,0
N20001244,789,4,0,0,1
N20001245,437,1,0,2,0
N20001246,709,9,5,0,0
N20001247,467,6,0,5,1
N20001248,455,0,4,2,5
N20001249,599,24,12,9,3
N20001250,397,9,1,0,0
N20001251,682,11,1,1,0
N20001252,525,9,8,5,0
N20001253,719,15,0,3,0
N20001254,633,11,2,8,0
N20001255,724,15,0,3,10
N20001256,474,5,2,0,1
N20001257,584,6,0,7,0
N20001258,973,1,1,4,1
N20001259,705,5,6,4,1
N20001260,475,23,4,2,1
N20001261,843,4,0,5,4
N20001262,438,8,0,1,1
N20001263,582,0,4,9,3
N20001264,805,7,5,6,0
N20001265,501,6,0,6,1
N20001266,589,0,3,4,8
N20001267,561,9,0,5,0
N20001268,604,1,1,6,11
N20001269,491,3,10,7,5
N20001270,343,2,0,1,0
N20001271,438,5,0,6,0
N20001272,642,2,3,0,1
N20001273,382,1,0,5,0
N20001274,378,5,0,7,1
N20001275,371,8,8,7,0
N20001276,479,1,2,5,7
N20001277,737,0,0,0,1
N20001278,546,6,0,1,1
N20001279,600,6,2,0,0
N20001280,301,3,2,4,1
N20001281,304,1,3,5,2
N20001282,501,0,0,14,0
N20001283,346,2,2,8,0
N20001284,641,2,2,0,0
N20001285,330,5,0,0,0
N20001286,299,0,1,8,0
N20001287,401,6,0,1,0
N20001288,510,4,0,3,0
N20001289,373,15,7,4,0
N20001290,1120,4,6,1,0
N20001291,569,1,0,3,4
N20001292,507,50,1,11,0
N20001293,365,1,0,0,2
N20001294,203,24,0,6,0
N20001295,336,1,0,2,1
N20001296,354,34,5,7,1
N20001297,465,5,5,5,0
N20001298,637,9,2,1,0
N20001299,484,0,7,4,1
N20001300,614,5,6,1,8
N20001301,724,1,7,4,0
N20001302,497,0,0,0,0
N20001303,436,20,25,7,0
N20001304,511,15,0,11,5
N20001305,528,6,0,3,5
N20001306,287,2,0,2,0
N20001307,447,44,81,14,0
N20001308,801,7,1,0,39
N20001309,888,2,0,1,5
N20001310,599,6,6,3,0
N20001311,342,22,15,7,7
N20001312,347,34,22,4,7
N20001313,524,1,1,9,0
N20001314,625,6,12,6,3
N20001315,384,52,29,5,0
N20001316,515,9,0,3,0
N20001317,510,5,0,0,1
N20001318,460,11,4,0,0
N20001319,316,5,15,4,0
N20001320,468,0,0,0,0
N20001321,550,25,0,13,3
N20001322,419,18,13,4,1
N20001323,338,0,7,2,0
N20001324,480,17,12,4,3
N20001325,741,2,5,10,0
N20001326,645,15,4,5,0
N20001327,431,0,0,3,0
N20001328,561,23,13,11,1
N20001329,288,10,3,1,0
N20001330,397,9,3,1,0
N20001331,483,9,5,6,0
N20001332,468,0,7,9,1
N20001333,434,7,3,4,0
N20001334,697,6,0,0,0
N20001335,261,48,1,6,0
N20001336,233,7,8,0,3
N20001337,411,1,4,1,1
N20001338,331,3,1,0,38
N20001339,673,4,0,6,0
N20001340,417,2,12,3,3
N20001341,315,1,0,3,2
N20001342,566,11,0,0,2
N20001343,429,0,0,2,1
N20001344,315,2,0,5,0
N20001345,466,6,4,6,1
N20001346,509,1,0,0,0
N20001347,310,1,0,1,1
N20001348,446,11,0,3,0
N20001349,407,2,0,0,0
N20001350,434,2,0,1,0
N20001351,623,3,5,0,0
N20001352,515,0,2,4,14
N20001353,288,0,0,0,1
N20001354,423,3,1,3,0
N20001355,474,1,0,0,1
N20001356,659,3,0,4,1
N20001357,405,1,0,4,1
N20001358,567,18,0,0,0
N20001359,556,0,0,0,0
N20001360,412,1,6,8,0
N20001361,530,5,5,1,0
N20001362,496,2,0,0,1
N20001363,619,1,2,3,0
N20001364,589,0,2,2,0
N20001365,462,10,3,2,7
N20001366,410,1,0,0,0
N20001367,395,4,0,4,0
N20001368,250,0,0,0,2
N20001369,464,0,4,7,0
N20001370,512,4,4,3,1
N20001371,454,0,0,4,4
N20001372,331,0,4,1,0
N20001373,578,5,5,0,0
N20001374,472,1,1,2,1
N20001375,560,7,10,5,1
N20001376,206,1,1,0,1
N20001377,379,1,4,2,0
N20001378,525,26,4,2,0
N20001379,448,19,13,11,0
N20001380,642,1,4,0,0
N20001381,730,0,5,7,1
N20001382,406,3,7,8,0
N20001383,537,11,25,13,0
N20001384,574,8,8,1,2
N20001385,349,5,1,8,3
N20001386,381,8,0,6,0
N20001387,418,1,0,0,1
N20001388,497,0,1,0,1
N20001389,529,10,14,9,0
N20001390,596,0,0,5,1
N20001391,433,9,2,1,1
N20001392,381,23,0,4,0
N20001393,200,6,4,0,0
N20001394,312,5,19,4,4
N20001395,290,1,1,0,1
N20001396,423,1,1,5,1
N20001397,436,8,12,1,0
N20001398,345,5,7,5,1
N20001399,559,2,0,0,1
N20001400,243,9,3,1,0
N20001401,649,20,10,3,3
N20001402,539,6,6,9,5
N20001403,269,7,3,0,0
N20001404,377,12,16,0,3
N20001405,513,4,4,2,0
N20001406,311,2,9,3,0
N20001407,342,3,3,0,0
N20001408,330,1,1,0,0
N20001409,221,5,0,0,0
N20001410,296,1,0,0,0
N20001411,437,5,1,0,1
N20001412,257,9,4,3,0
N20001413,553,4,5,5,0
N20001414,331,6,1,1,0
N20001415,328,0,0,1,0
N20001416,488,1,0,7,1
N20001417,368,16,0,3,1
N20001418,350,36,16,10,1
N20001419,422,1,1,2,0
N20001420,306,16,6,3,5
N20001421,405,5,18,3,19
N20001422,322,13,11,8,1
N20001423,219,2,18,2,1
N20001424,620,10,0,4,1
N20001425,187,86,4,11,0
N20001426,384,8,0,6,1
N20001427,566,42,14,0,2
N20001428,532,17,17,6,2
N20001429,555,0,3,6,0
N20001430,268,18,5,5,1
N20001431,302,0,12,0,4
N20001432,306,0,0,2,0
N20001433,418,4,0,1,0
N20001434,342,7,1,2,2
N20001435,297,31,18,0,1
N20001436,372,1,0,1,0
N20001437,406,10,3,0,0
N20001438,395,6,7,8,1
N20001439,469,50,40,5,13
N20001440,396,1,0,1,0
N20001441,437,59,18,10,2
N20001442,465,18,0,4,0
N20001443,313,42,7,0,5
N20001444,620,14,0,6,1
N20001445,311,43,28,9,4
N20001446,501,0,0,1,0
N20001447,356,5,0,8,1
N20001448,236,18,0,1,1
N20001449,454,4,6,3,0
N20001450,559,1,0,0,0
N20001451,303,0,0,3,0
N20001452,560,9,1,2,0
N20001453,465,3,0,4,0
N20001454,525,0,1,0,0
N20001455,334,0,0,0,0
N20001456,605,0,0,0,0
N20001457,476,1,0,2,0
N20001458,509,2,0,3,0
N20001459,867,5,0,0,0
N20001460,387,1,0,1,1
N20001461,531,2,0,1,0
N20001462,637,0,0,1,2
N20001463,317,1,0,4,0
N20001464,492,1,0,3,1
N20001465,571,2,0,2,0
N20001466,799,2,0,0,0
N20001467,315,0,0,0,0
N20001468,684,1,0,2,1
N20001469,663,4,0,4,2
N20001470,325,6,1,0,1
N20001471,357,1,0,0,0
N20001472,448,4,0,1,2
N20001473,636,2,0,3,3
N20001474,316,0,1,0,5
N20001475,520,0,0,0,1
N20001476,488,2,0,1,1
N20001477,647,2,0,0,0
N20001478,626,0,0,0,0
N20001479,698,0,0,5,0
N20001480,437,0,1,0,2
N20001481,1014,1,1,0,4
N20001482,706,1,1,4,0
N20001483,391,2,0,0,0
N20001484,726,1,0,5,1
N20001485,459,0,0,0,1
N20001486,406,5,0,6,0
N20001487,389,0,0,6,0
N20001488,181,7,0,2,0
N20001489,668,2,0,0,1
N20001490,334,17,0,2,1
N20001491,666,0,0,2,5
N20001492,409,5,0,3,1
N20001493,266,0,0,1,0
N20001494,446,5,0,0,0
N20001495,264,1,3,5,0
N20001496,259,1,0,0,0
N20001497,547,3,0,6,0
N20001498,469,0,1,0,3
N20001499,307,0,0,0,0
N20001500,221,0,0,0,0
N20001501,690,3,0,4,0
N20001502,431,1,4,5,3
N20001503,423,0,0,0,1
N20001504,544,6,1,5,1
N20001505,558,0,0,0,0
N20001506,462,0,0,2,0
N20001507,502,1,9,1,0
N20001508,723,4,1,2,0
N20001509,441,1,0,0,0
N20001510,519,1,0,0,0
N20001511,626,0,0,0,0
N20001512,455,0,0,1,0
N20001513,549,1,1,2,0
N20001514,714,2,0,3,0
N20001515,432,0,0,4,0
N20001516,628,2,0,5,0
N20001517,335,2,0,0,0
N20001518,828,20,0,10,0
N20001519,302,0,0,0,1
N20001520,641,5,1,2,0
N20001521,538,2,1,0,0
N20001522,343,2,0,4,0
N20001523,420,0,1,2,1
N20001524,498,8,4,7,0
N20001525,563,3,1,2,2
N20001526,468,2,0,1,0
N20001527,648,2,0,10,1
N20001528,660,0,1,0,3
N20001529,404,3,0,0,0
N20001530,735,2,5,6,0
N20001531,309,1,1,2,0
N20001532,589,2,1,0,0
N20001533,381,0,0,0,0
N20001534,420,0,0,0,1
N20001535,289,0,0,0,0
N20001536,374,1,4,0,0
N20001537,575,5,0,3,1
N20001538,549,2,0,2,0
N20001539,733,0,0,1,0
N20001540,527,5,0,5,0
N20001541,437,3,0,7,0
N20001542,877,2,0,3,0
N20001543,701,6,3,0,0
N20001544,591,0,0,0,1
N20001545,491,0,1,1,0
N20001546,337,0,0,0,0
N20001547,755,13,0,4,2
N20001548,638,61,16,9,0
N20001549,437,7,11,4,2
N20001550,465,1,4,3,0
N20001551,333,3,0,0,0
N20001552,440,2,0,2,3
N20001553,757,2,0,0,2
N20001554,482,0,0,0,1
N20001555,469,6,5,15,1
N20001556,277,20,0,0,0
N20001557,613,0,0,5,0
N20001558,538,0,0,3,0
N20001559,429,1,0,1,0
N20001560,500,5,0,3,0
N20001561,468,4,2,0,4
N20001562,325,16,12,4,1
N20001563,515,2,0,4,0
N20001564,409,0,0,1,1
N20001565,435,0,1,0,3
N20001566,307,0,0,5,0
N20001567,442,16,3,1,2
N20001568,452,3,0,3,1
N20001569,362,6,1,2,4
N20001570,447,11,0,3,5
N20001571,179,6,0,0,0
N20001572,522,13,5,8,1
N20001573,512,0,0,0,0
N20001574,591,7,0,6,3
N20001575,430,5,0,0,0
N20001576,374,14,4,2,7
N20001577,263,4,6,1,2
N20001578,293,2,3,0,1
N20001579,252,6,0,2,1
N20001580,537,6,1,1,0
N20001581,454,3,0,0,0
N20001582,454,9,0,6,1
N20001583,447,4,0,0,1
N20001584,366,1,0,0,0
N20001585,521,6,0,1,0
N20001586,417,10,0,7,0
N20001587,679,20,0,4,6
N20001588,372,5,0,0,0
N20001589,614,1,0,14,0
N20001590,463,7,0,1,1
N20001591,581,5,7,3,0
N20001592,419,1,0,2,0
N20001593,538,8,0,0,0
N20001594,511,12,0,1,3
N20001595,322,4,0,0,0
N20001596,595,11,0,1,1
N20001597,706,1,7,1,0
N20001598,318,1,1,3,1
N20001599,350,12,1,6,4
N20001600,303,0,0,0,0
N20001601,345,5,1,4,1
N20001602,344,2,0,5,2
N20001603,369,2,0,1,1
N20001604,523,2,1,11,2
N20001605,337,0,2,0,0
N20001606,246,1,0,2,0
N20001607,437,4,0,8,0
N20001608,312,1,0,4,1
N20001609,335,0,0,4,0
N20001610,524,0,0,11,0
N20001611,529,0,0,0,0
N20001612,475,3,0,2,3
N20001613,559,1,0,4,0
N20001614,474,6,1,7,1
N20001615,648,7,0,6,4
N20001616,553,2,0,3,2
N20001617,488,0,0,5,0
N20001618,495,1,0,0,0
N20001619,387,1,0,0,0
N20001620,363,0,0,0,0
N20001621,447,6,1,10,6
N20001622,432,1,0,0,2
N20001623,467,2,4,1,0
N20001624,419,0,0,4,0
N20001625,245,1,0,2,0
N20001626,449,1,6,7,0
N20001627,636,1,0,0,2
N20001628,284,0,0,2,0
N20001629,288,1,0,2,0
N20001630,435,13,3,12,0
N20001631,453,3,1,9,1
N20001632,627,0,0,4,1
N20001633,496,22,0,15,1
N20001634,616,2,0,1,1
N20001635,592,7,0,7,0
N20001636,496,0,1,9,1
N20001637,475,7,6,1,0
N20001638,634,7,0,11,0
N20001639,547,6,1,1,1
N20001640,467,1,0,3,0
N20001641,279,0,0,0,0
N20001642,491,1,0,3,0
N20001643,367,0,0,0,0
N20001644,708,0,0,5,4
N20001645,524,1,0,4,0
N20001646,288,0,0,0,0
N20001647,531,3,0,0,0
N20001648,298,1,0,0,0
N20001649,354,0,0,0,0
N20001650,357,1,0,2,0
N20001651,139,2,1,0,0
N20001652,501,2,0,1,1
N20001653,622,0,7,4,7
N20001654,245,5,0,1,1
N20001655,573,1,0,5,0
N20001656,766,4,0,8,0
N20001657,329,0,0,1,2
N20001658,564,1,2,0,0
N20001659,354,0,4,2,1
N20001660,899,3,0,3,1
N20001661,320,11,0,3,0
N20001662,456,5,1,1,0
N20001663,598,3,0,4,2
N20001664,371,1,0,4,0
N20001665,555,1,0,2,0
N20001666,513,0,1,4,2
N20001667,421,3,0,3,1
N20001668,638,0,1,0,0
N20001669,476,1,1,2,1
N20001670,364,1,0,0,0
N20001671,419,1,1,1,0
N20001672,609,0,0,5,0
N20001673,583,2,1,1,1
N20001674,629,0,2,2,0
N20001675,598,1,0,0,0
N20001676,548,0,0,1,0
N20001677,306,1,0,0,0
N20001678,583,0,0,0,0
N20001679,359,2,0,2,3
N20001680,550,5,0,3,3
N20001681,520,0,0,1,0
N20001682,372,1,0,0,2
N20001683,801,0,0,0,0
N20001684,710,1,0,12,1
N20001685,641,0,1,1,2
N20001686,625,13,1,5,0
N20001687,544,9,0,4,0
N20001688,410,0,4,6,0
N20001689,612,8,0,9,0
N20001690,350,0,0,0,0
N20001691,415,2,1,0,0
N20001692,633,2,0,3,0
N20001693,583,3,4,6,0
N20001694,296,4,1,2,0
N20001695,407,2,0,0,1
N20001696,516,8,0,1,0
N20001697,465,2,0,7,8
N20001698,426,10,0,1,1
N20001699,507,7,0,3,0
N20001700,372,3,1,0,0
N20001701,391,4,0,0,0
N20001702,779,1,0,0,0
N20001703,216,0,0,0,0
N20001704,312,0,0,0,0
N20001705,453,2,0,0,0
N20001706,471,2,0,0,1
N20001707,417,0,0,0,0
N20001708,518,2,0,0,0
N20001709,485,1,1,0,2
N20001710,732,2,0,9,0
N20001711,322,4,1,10,0
N20001712,457,0,1,2,0
N20001713,543,4,3,4,0
N20001714,413,0,1,0,0
N20001715,839,2,0,1,0
N20001716,879,2,0,2,0
N20001717,283,0,1,0,0
N20001718,305,0,2,3,0
N20001719,558,0,3,1,0
N20001720,748,0,1,2,0
N20001721,552,2,1,5,1
N20001722,774,0,1,0,0
N20001723,668,4,0,2,1
N20001724,549,0,1,4,0
N20001725,573,0,0,4,0
N20001726,602,2,2,11,0
N20001727,582,2,0,1,0
N20001728,337,3,0,1,0
N20001729,733,3,1,3,0
N20001730,289,0,0,0,0
N20001731,660,1,0,1,1
N20001732,496,9,1,0,0
N20001733,797,5,0,2,0
N20001734,480,5,1,2,0
N20001735,413,7,2,4,1
N20001736,550,3,0,11,5
N20001737,290,5,0,0,0
N20001738,439,1,0,1,1
N20001739,602,4,0,0,0
N20001740,467,5,1,0,5
N20001741,344,3,0,3,2
N20001742,509,1,0,0,0
N20001743,202,25,4,5,4
N20001744,382,2,0,3,0
N20001745,337,9,0,3,0
N20001746,339,2,0,3,1
N20001747,477,1,0,3,0
N20001748,446,4,1,2,0
N20001749,315,1,1,1,0
N20001750,206,2,1,0,0
N20001751,493,3,1,4,0
N20001752,463,0,0,0,0
N20001753,672,4,0,0,0
N20001754,280,2,0,8,1
N20001755,491,0,0,5,1
N20001756,307,8,2,4,2
N20001757,673,0,8,14,1
N20001758,436,3,0,7,0
N20001759,436,2,0,6,0
N20001760,471,1,0,0,0
N20001761,511,17,0,9,0
N20001762,881,0,1,5,2
N20001763,462,6,0,10,0
N20001764,564,6,2,7,5
N20001765,465,4,1,4,1
N20001766,360,0,0,0,3
N20001767,718,3,0,16,0
N20001768,359,0,0,2,2
N20001769,906,5,1,5,2
N20001770,572,1,0,3,4
N20001771,584,11,0,1,0
N20001772,473,7,0,0,0
N20001773,478,0,1,8,2
N20001774,594,3,0,6,1
N20001775,295,1,0,4,2
N20001776,516,2,0,2,0
N20001777,552,2,1,5,0
N20001778,520,7,1,3,0
N20001779,571,2,3,9,5
N20001780,644,0,0,3,0
N20001781,475,1,4,1,0
N20001782,619,0,1,4,0
N20001783,410,5,0,0,0
N20001784,537,8,2,6,2
N20001785,552,0,0,0,9
N20001786,549,0,4,5,0
N20001787,356,1,0,3,0
N20001788,705,0,1,0,1
N20001789,361,23,3,7,3
N20001790,701,18,5,5,1
N20001791,547,4,4,3,3
N20001792,628,1,0,0,3
N20001793,274,5,0,0,3
N20001794,306,2,4,1,0
N20001795,503,3,4,5,0
N20001796,524,2,0,2,2
N20001797,311,6,4,1,6
N20001798,242,6,2,0,1
N20001799,623,8,0,3,1
N20001800,369,2,2,10,2
N20001801,266,17,6,7,7
N20001802,247,12,1,3,2
N20001803,628,3,0,3,3
N20001804,466,5,6,5,0
N20001805,727,2,0,0,0
N20001806,747,9,2,5,0
N20001807,612,5,0,7,0
N20001808,196,2,0,0,1
N20001809,585,1,1,5,35
N20001810,594,6,0,7,3
N20001811,673,6,2,6,1
N20001812,684,9,4,2,8
N20001813,541,2,2,12,22
N20001814,582,0,0,0,0
N20001815,559,2,3,8,9
N20001816,569,0,1,0,0
N20001817,430,0,0,3,4
N20001818,389,0,0,0,17
N20001819,574,1,0,4,0
N20001820,611,10,1,2,0
N20001821,496,1,1,2,0
N20001822,521,3,0,4,0
N20001823,417,1,6,5,6
N20001824,591,9,0,5,9
N20001825,347,0,0,2,0
N20001826,445,0,0,10,1
N20001827,539,0,0,6,1
N20001828,439,0,1,1,4
N20001829,678,8,0,1,3
N20001830,544,2,0,2,0
N20001831,522,4,1,2,3
N20001832,425,5,2,3,5
N20001833,391,8,0,2,5
N20001834,545,3,0,6,0
N20001835,413,2,0,0,9
N20001836,707,0,4,4,0
N20001837,568,3,0,5,0
N20001838,502,4,2,0,2
N20001839,386,1,0,0,0
N20001840,446,0,1,1,0
N20001841,435,0,0,6,3
N20001842,439,0,2,11,0
N20001843,576,2,0,2,0
N20001844,666,5,1,1,0
N20001845,658,2,0,5,0
N20001846,319,0,0,1,0
N20001847,615,0,0,5,2
N20001848,598,2,0,8,1
N20001849,355,2,0,2,3
N20001850,588,19,0,4,0
N20001851,472,13,8,5,0
N20001852,522,4,2,3,0
N20001853,519,1,0,4,2
N20001854,486,5,1,6,5
N20001855,411,12,0,10,3
N20001856,509,0,0,2,0
N20001857,421,2,1,2,0
