dz_2021_code,white,asian,black,mixed,other
N20000212,509,2,0,1,1
N20000213,387,3,1,0,0
N20000214,319,3,0,0,0
N20000215,476,22,0,1,1
N20000216,276,5,0,0,0
N20000217,566,27,0,2,0
N20000218,577,2,0,4,1
N20000219,675,38,4,3,1
N20000220,429,5,0,0,0
N20000221,508,11,1,1,0
N20000222,461,17,4,2,0
N20000223,480,6,0,6,0
N20000224,453,3,0,1,4
N20000225,297,13,0,0,0
N20000226,585,13,0,2,5
N20000227,474,15,0,0,0
N20000228,398,23,1,5,0
N20000229,443,16,2,3,0
N20000230,514,5,1,1,1
N20000231,463,21,0,4,0
N20000232,312,1,3,0,0
N20000233,461,5,0,6,6
N20000234,409,12,0,1,0
N20000235,331,20,3,10,1
N20000236,411,24,5,0,1
N20000237,401,10,0,5,0
N20000238,575,0,1,7,1
N20000239,459,1,0,3,0
N20000240,333,11,0,4,0
N20000241,281,6,0,0,4
N20000242,428,14,1,6,2
N20000243,343,0,0,6,6
N20000244,664,14,2,10,1
N20000245,388,10,0,0,1
N20000246,531,10,0,4,0
N20000247,434,14,0,8,0
N20000248,268,1,0,1,0
N20000249,336,13,0,5,0
N20000250,382,6,0,2,0
N20000251,703,1,3,5,2
N20000252,446,3,0,0,0
N20000253,612,3,2,1,0
N20000254,496,4,0,0,0
N20000255,504,21,8,13,0
N20000256,532,21,0,8,0
N20000257,301,2,1,3,1
N20000258,505,2,4,5,0
N20000259,574,8,0,6,0
N20000260,650,0,1,0,1
N20000261,877,4,0,12,0
N20000262,635,6,1,9,0
N20000263,545,11,2,4,0
N20000264,651,15,6,10,2
N20000265,516,14,0,7,0
N20000266,371,3,0,2,0
N20000267,790,12,0,6,0
N20000268,659,6,0,0,1
N20000269,637,10,0,0,1
N20000270,331,14,0,4,1
N20000271,499,5,1,6,0
N20000272,624,19,6,8,0
N20000273,394,5,0,6,0
N20000274,530,0,2,1,2
N20000275,476,9,1,4,1
N20000276,586,10,1,1,3
N20000277,419,13,0,2,0
N20000278,520,0,1,2,0
N20000279,1198,22,59,30,24
N20000280,650,2,0,8,0
N20000281,660,1,1,7,0
N20000282,422,1,1,0,5
N20000283,733,6,1,3,6
N20000284,606,2,0,5,5
N20000285,642,3,1,4,0
N20000286,518,2,0,0,0
N20000287,725,3,1,8,1
N20000288,446,29,1,2,0
N20000289,350,6,0,0,0
N20000290,298,0,1,0,3
N20000291,313,4,0,0,0
N20000292,557,2,0,3,0
N20000293,519,4,0,11,0
N20000294,722,1,0,2,1
N20000295,690,0,0,0,10
N20000296,553,2,0,0,0
N20000297,630,5,1,1,1
N20000298,664,0,0,0,0
N20000299,544,0,0,0,0
N20000300,484,1,0,0,1
N20000301,714,1,0,0,0
N20000302,770,0,0,0,0
N20000303,657,9,0,2,2
N20000304,496,10,0,2,0
N20000305,559,3,0,7,0
N20000306,528,5,0,3,0
N20000307,407,8,0,0,1
N20000308,393,14,0,8,22
N20000309,648,16,5,1,12
N20000310,437,1,1,1,0
N20000311,512,7,0,3,0
N20000312,682,3,0,4,7
N20000313,413,6,0,3,15
N20000314,329,15,6,0,5
N20000315,447,43,4,5,12
N20000316,437,1,0,3,57
N20000317,681,3,1,1,26
N20000318,508,15,3,0,2
N20000319,240,0,1,1,18
N20000320,474,16,1,8,10
N20000321,322,0,0,0,6
N20000322,420,3,0,1,50
N20000323,209,1,0,9,12
N20000324,337,3,0,5,15
N20000325,387,7,3,8,5
N20000326,512,11,0,1,6
N20000327,516,4,0,9,12
N20000328,320,3,0,2,0
N20000329,789,9,3,5,2
N20000330,551,1,0,7,3
N20000331,553,14,1,3,2
N20000332,488,1,0,3,6
N20000333,484,3,1,0,1
N20000334,549,17,0,3,1
N20000335,379,3,0,8,0
