dz_2021_code,one_person_household_aged_66_and_over,one_person_household_other,single_family_household_couple_family_household_no_children,single_family_household_couple_family_household_dependent_children,single_family_household_couple_family_household_all_children_non_dependent,single_family_household_lone_parent_family_with_dependent_children,single_family_household_lone_parent_family_all_children_non_dependent,single_family_household_other_family_composition_including_all_aged_66_and_over,other_household_types
N20000573,31,64,47,85,17,28,6,20,8
N20000574,41,81,48,42,24,39,14,31,11
N20000575,19,56,48,61,26,13,9,13,4
N20000576,9,21,43,81,20,19,6,7,2
N20000577,13,16,40,61,13,12,5,7,6
N20000578,36,45,43,50,24,8,9,38,7
N20000579,17,8,31,67,39,5,8,26,7
N20000580,31,7,33,73,52,0,15,37,16
N20000581,2,35,35,53,9,15,7,4,6
N20000582,17,15,30,68,31,7,11,26,13
N20000583,18,22,41,45,28,3,5,27,10
N20000584,9,68,50,75,13,22,10,12,11
N20000585,17,14,29,46,16,3,6,18,12
N20000586,21,20,29,50,32,7,9,33,5
N20000587,22,27,43,87,28,14,10,21,10
N20000588,18,18,28,61,29,4,8,25,7
N20000589,8,28,27,45,16,9,7,11,9
N20000590,15,22,16,50,16,4,9,20,7
N20000591,13,9,16,49,21,5,6,26,6
N20000592,21,11,31,75,29,4,4,27,10
N20000593,9,23,33,57,24,9,10,35,9
N20000594,6,4,24,53,12,4,6,19,6
N20000595,25,30,31,58,34,5,11,19,5
N20000596,15,54,19,39,16,18,8,16,9
N20000597,2,28,12,43,5,21,4,3,3
N20000598,36,79,19,28,12,22,12,30,14
N20000599,16,42,30,49,15,18,11,10,8
N20000600,9,42,19,68,10,31,7,7,5
N20000601,33,73,21,31,14,18,14,10,2
N20000602,23,27,37,38,24,11,13,16,4
N20000603,23,45,32,55,11,21,20,14,6
N20000604,22,10,17,25,8,5,4,42,1
N20000605,16,8,16,36,19,3,7,26,7
N20000606,31,20,20,35,17,1,15,20,6
N20000607,33,50,22,21,11,8,5,12,3
N20000608,15,10,33,43,27,4,9,27,2
N20000609,10,13,35,78,35,8,7,11,6
N20000610,31,27,43,50,27,6,15,26,4
N20000611,46,57,27,15,9,25,20,13,8
N20000612,50,63,30,17,13,17,20,23,6
N20000613,12,15,26,28,19,4,9,15,3
N20000614,42,17,58,68,42,9,13,43,6
N20000615,8,42,16,23,12,36,20,11,3
N20000616,34,53,18,24,7,10,10,8,7
N20000617,18,38,14,34,5,20,7,10,2
N20000618,38,63,27,29,16,19,9,11,4
N20000619,15,46,21,26,12,25,12,9,4
N20000620,49,159,30,35,15,19,14,16,5
N20000621,15,32,51,94,47,15,13,16,2
N20000622,28,41,22,28,16,28,18,13,8
N20000623,12,17,26,71,17,11,4,12,6
N20000624,61,63,12,10,3,9,7,9,10
N20000625,2,75,30,47,3,47,7,9,9
N20000626,23,29,32,28,20,16,7,32,3
N20000627,20,28,30,57,19,11,10,29,3
N20000628,27,23,44,35,25,7,11,24,6
N20000629,25,9,34,39,26,4,14,17,4
N20000630,58,49,20,17,14,8,19,19,12
N20000631,30,39,19,29,9,16,14,14,2
N20000632,21,40,20,26,16,31,20,9,4
N20000633,15,23,36,36,17,9,18,14,2
N20000634,20,51,18,19,10,30,15,14,4
N20000635,7,39,54,89,20,14,7,8,3
N20000636,17,18,36,54,32,13,9,21,3
N20000637,44,41,28,44,15,16,14,38,11
N20000638,20,20,52,31,35,7,10,21,2
N20000639,25,23,41,53,23,16,8,20,1
N20000640,33,16,37,71,42,11,11,36,7
N20000641,16,47,44,72,9,32,11,16,5
N20000642,10,16,21,43,21,6,10,20,3
N20000643,10,24,45,77,14,6,8,15,0
N20000644,22,37,33,41,7,9,8,8,2
N20000645,25,22,28,50,36,8,11,29,16
N20000646,31,56,31,46,15,27,16,16,4
N20000647,20,49,25,60,12,16,10,7,3
N20000648,10,15,34,63,30,7,7,29,10
N20000649,29,26,31,87,29,13,14,32,10
N20000650,11,22,29,39,9,13,7,15,4
N20000651,27,35,24,81,35,12,11,18,12
N20000652,16,33,23,62,28,5,4,22,8
N20000653,14,17,24,79,42,6,3,25,8
N20000654,21,23,32,46,22,11,10,14,4
N20000655,14,17,21,41,20,5,7,18,6
N20000656,13,9,26,30,10,2,3,12,4
N20000657,27,13,29,73,33,11,6,24,4
N20000658,19,13,28,51,23,4,10,19,4
N20000659,17,43,21,39,9,25,14,7,3
N20000660,60,73,25,32,12,24,10,24,6
N20000661,22,26,26,68,19,13,9,16,6
N20000662,22,40,28,36,14,17,14,21,5
N20000663,27,34,14,30,18,16,29,20,9
N20000664,29,37,37,49,26,19,12,39,5
N20000665,20,14,25,41,22,1,5,24,13
N20000666,22,24,29,35,15,8,11,27,5
N20000667,19,10,28,21,17,7,9,30,4
N20000668,22,19,7,14,8,12,8,11,2
N20000669,42,45,30,30,18,13,10,26,6
N20000670,11,20,41,57,18,12,3,8,4
N20000671,35,45,37,69,28,21,11,20,5
N20000672,18,14,24,34,12,2,4,15,3
N20000673,18,30,51,43,21,17,10,25,6
N20000674,18,18,25,40,30,3,7,20,4
N20000675,16,48,39,65,12,20,7,19,7
N20000676,33,35,31,82,29,10,5,32,1
N20000677,16,20,23,34,9,6,10,18,3
N20000678,28,34,49,60,14,21,14,23,4
N20000679,27,12,35,83,34,20,10,37,6
N20000680,21,32,22,49,16,14,8,10,5
N20000681,26,14,34,60,40,5,11,37,7
N20000682,32,67,28,31,17,24,16,24,2
N20000683,21,31,20,49,10,17,8,19,3
N20000684,22,53,25,21,8,20,11,18,7
N20000685,31,29,36,77,31,11,21,36,5
N20000686,18,39,38,39,9,16,8,13,0
N20000687,14,51,36,58,11,12,6,12,7
N20000688,38,16,38,57,34,13,5,18,7
N20000689,32,17,25,70,39,11,15,30,6
N20000690,6,32,32,66,17,23,9,13,8
N20000691,25,21,32,48,24,1,13,30,11
N20000692,24,20,38,94,40,7,12,35,11
N20000693,29,31,32,38,20,8,9,31,5
N20000694,29,19,33,78,38,6,5,27,7
N20000695,15,15,27,93,20,5,15,24,9
N20000696,30,55,20,30,8,22,5,16,10
N20000697,43,43,37,60,21,30,13,17,6
N20000698,20,26,12,18,7,13,6,9,1
N20000699,15,16,12,59,23,7,10,17,14
N20000700,17,32,21,73,15,23,10,17,6
N20000701,19,24,28,84,36,12,19,13,5
N20000702,15,20,13,49,18,22,8,13,6
N20000703,21,18,26,63,32,4,13,27,6
N20000704,33,31,25,27,12,14,10,13,8
N20000705,15,4,23,32,10,17,24,11,10
N20000706,31,16,23,91,31,8,10,23,8
N20000707,18,24,16,53,20,23,12,14,7
N20000708,28,22,24,44,21,22,12,13,11
N20000709,23,18,19,80,37,5,8,14,17
N20000710,29,41,41,80,31,20,14,25,16
N20000711,12,10,51,73,38,17,11,11,22
N20000712,4,30,13,51,8,34,3,5,13
N20000713,6,34,20,39,12,62,14,6,9
N20000714,9,18,10,14,7,27,12,1,4
N20000715,21,36,19,34,21,46,18,18,13
N20000716,31,92,63,44,10,27,16,25,6
N20000717,24,33,29,28,22,45,25,9,14
N20000718,14,36,22,34,5,35,17,8,6
N20000719,24,57,10,11,8,61,24,7,18
N20000720,15,15,37,26,20,9,11,22,7
N20000721,13,10,22,27,19,15,8,14,8
N20000722,22,68,33,31,11,8,12,13,8
N20000723,35,67,28,40,17,32,12,17,16
N20000724,7,33,24,41,9,29,6,2,10
N20000725,20,52,8,10,2,46,15,11,9
N20000726,29,60,35,38,19,17,10,22,12
N20000727,13,48,24,24,11,21,5,27,5
N20000728,55,41,15,29,14,19,10,18,4
N20000729,11,40,15,20,10,29,18,7,7
N20000730,43,60,38,28,18,53,20,19,15
N20000731,0,48,43,89,9,30,7,5,17
N20000732,50,22,18,35,22,20,23,15,11
N20000733,21,54,31,42,18,31,20,11,13
N20000734,11,15,18,30,17,8,9,14,6
N20000735,28,18,21,31,23,20,23,18,12
N20000736,40,87,22,26,8,26,10,12,8
N20000737,24,59,30,23,12,34,10,18,14
N20000738,19,52,16,27,13,20,13,14,10
N20000739,34,36,10,15,11,21,12,5,4
N20000740,19,29,12,19,21,23,21,18,12
N20000741,14,44,22,22,20,23,23,10,10
N20000742,18,46,25,25,12,19,12,8,8
N20000743,19,48,14,20,10,54,16,8,10
N20000744,14,60,25,14,11,59,18,8,9
N20000745,37,72,12,12,6,27,13,6,18
N20000746,24,66,22,26,14,81,26,8,13
N20000747,14,75,20,19,10,15,22,6,11
N20000748,20,60,9,24,11,76,24,15,21
N20000749,14,44,7,18,7,91,23,9,15
N20000750,28,77,35,23,12,23,21,14,17
N20000751,16,61,9,9,9,55,26,8,5
N20000752,18,59,15,12,8,53,15,10,8
N20000753,18,59,5,17,7,60,26,12,13
N20000754,30,63,5,7,0,15,4,6,4
N20000755,19,36,10,12,15,45,27,12,19
N20000756,29,39,9,11,10,49,20,4,18
N20000757,12,39,10,19,4,27,10,7,25
N20000758,40,79,8,16,15,65,25,17,7
N20000759,13,64,15,13,0,19,12,5,17
N20000760,28,56,15,15,11,41,18,4,10
N20000761,32,57,7,12,9,67,26,9,15
N20000762,20,56,11,15,7,35,20,15,6
N20000763,14,29,7,12,3,49,14,5,10
N20000764,13,82,7,8,7,19,10,3,7
N20000765,39,77,11,12,5,41,11,2,2
N20000766,12,41,7,8,5,44,12,9,9
N20000767,41,83,15,11,12,52,29,15,17
N20000768,38,54,5,6,12,55,30,9,15
N20000769,13,34,5,19,19,59,14,8,10
N20000770,11,40,6,13,10,87,26,7,10
N20000771,19,49,12,15,15,30,28,9,9
N20000772,8,47,9,5,2,9,5,4,14
N20000773,13,42,2,4,18,34,46,10,10
N20000774,10,64,9,1,2,26,6,3,7
N20000775,18,84,6,9,7,47,25,3,18
N20000776,42,104,14,14,9,61,15,15,8
N20000777,16,21,3,6,11,17,16,4,8
N20000778,16,75,9,6,5,14,16,5,4
N20000779,24,92,6,7,9,28,20,7,5
N20000780,10,110,1,2,0,3,8,3,1
N20000781,19,45,8,8,9,30,30,25,12
N20000782,25,85,3,8,2,36,23,7,18
N20000783,26,75,17,19,9,50,33,8,20
N20000784,15,47,6,6,3,45,22,14,9
N20000785,37,58,9,9,9,38,30,14,16
N20000786,29,57,12,4,1,16,4,6,18
N20000787,25,35,38,36,19,23,12,19,3
N20000788,31,49,36,51,26,40,19,33,12
N20000789,18,93,34,19,13,21,11,18,14
N20000790,31,59,13,26,10,37,15,12,12
N20000791,21,33,35,37,19,21,14,15,12
N20000792,17,63,22,18,10,36,22,8,12
N20000793,20,56,28,32,12,28,19,19,15
N20000794,23,82,17,22,13,51,21,8,17
N20000795,44,112,40,37,11,37,13,17,20
N20000796,35,25,31,68,34,7,15,39,8
N20000797,54,47,33,32,11,8,12,35,10
N20000798,45,109,26,22,10,29,14,15,12
N20000799,25,9,28,60,35,3,7,31,1
N20000800,29,41,33,30,23,37,26,16,18
N20000801,28,47,29,19,23,37,24,17,6
N20000802,21,16,38,46,23,4,12,31,7
N20000803,24,35,30,49,17,16,8,24,11
N20000804,16,22,19,30,16,8,8,13,4
N20000805,26,23,40,58,17,18,12,19,6
N20000806,15,22,37,43,27,12,13,11,5
N20000807,38,19,25,53,34,3,13,31,13
N20000808,16,8,20,52,24,7,6,25,9
N20000809,32,18,35,53,16,16,10,22,10
N20000810,15,26,26,48,11,8,11,17,5
N20000811,18,45,29,35,33,40,20,22,16
N20000812,20,16,14,29,14,6,6,17,4
N20000813,27,110,14,4,1,10,6,9,1
N20000814,20,85,14,12,10,25,9,2,6
N20000815,16,8,29,31,16,5,7,23,5
N20000816,36,12,32,59,23,14,18,34,3
N20000817,57,36,30,52,25,15,10,13,9
N20000818,23,51,27,30,9,6,9,10,22
N20000819,22,24,19,31,19,6,14,10,5
N20000820,31,47,20,22,13,29,21,13,4
N20000821,12,77,39,9,3,17,9,8,11
N20000822,30,17,7,28,6,0,6,10,3
N20000823,26,44,38,38,25,12,13,18,5
N20000824,8,66,21,33,13,35,17,8,28
N20000825,0,80,41,4,3,18,3,3,21
N20000826,20,39,24,17,8,8,8,10,5
N20000827,18,26,32,53,14,7,8,14,18
N20000828,21,45,28,17,11,15,10,19,5
N20000829,20,70,20,17,7,13,9,11,13
N20000830,17,42,19,22,17,10,19,7,11
N20000831,31,56,25,29,15,24,10,26,15
N20000832,47,42,5,8,3,22,5,10,9
N20000833,9,100,28,24,11,26,18,9,14
N20000834,27,41,11,11,4,40,10,5,8
N20000835,41,117,46,32,13,49,19,21,19
N20000836,62,126,19,13,9,25,17,11,8
N20000837,36,74,33,32,29,19,13,33,8
N20000838,8,50,34,28,11,15,16,8,21
N20000839,33,28,19,18,18,9,16,13,7
N20000840,9,50,17,16,16,26,13,6,9
N20000841,27,46,27,62,29,74,22,16,21
N20000842,12,67,24,15,3,20,13,3,11
N20000843,39,78,27,14,5,11,7,8,11
N20000844,40,43,16,24,17,48,23,19,7
N20000845,8,33,20,23,11,23,6,7,11
N20000846,16,42,13,21,8,27,16,9,18
N20000847,23,66,10,9,1,31,11,9,8
N20000848,17,50,7,17,8,66,13,7,7
N20000849,24,80,24,21,13,31,18,10,24
N20000850,22,49,13,10,4,15,9,15,10
N20000851,28,64,11,16,3,53,21,7,12
N20000852,26,56,11,18,6,49,16,11,10
N20000853,44,107,15,19,7,46,17,13,9
N20000854,4,82,55,17,1,2,2,4,21
N20000855,9,131,47,15,2,0,3,2,25
N20000856,44,41,30,22,12,21,13,16,6
N20000857,4,136,85,42,4,5,0,11,28
N20000858,37,81,24,19,7,17,10,11,10
N20000859,8,98,44,21,3,7,7,11,13
N20000860,35,27,35,28,24,16,11,34,8
N20000861,26,38,36,30,15,6,15,16,7
N20000862,17,66,44,27,8,26,13,11,12
N20000863,32,40,15,24,9,3,2,13,6
N20000864,11,32,20,8,1,13,8,3,6
N20000865,36,60,32,21,4,28,7,12,5
N20000866,12,68,45,23,7,20,6,11,7
N20000867,14,55,25,22,6,28,19,8,3
N20000868,20,77,22,18,9,22,3,10,10
N20000869,30,33,36,29,13,10,11,11,7
N20000870,38,56,10,17,8,33,17,11,5
N20000871,32,49,36,24,10,17,8,13,11
N20000872,10,82,47,27,4,26,5,11,19
N20000873,23,47,19,17,7,24,14,7,6
N20000874,14,32,10,13,6,41,11,7,1
N20000875,14,80,31,31,6,34,5,13,10
N20000876,14,53,34,11,2,7,5,11,7
N20000877,26,75,21,17,7,48,26,18,13
N20000878,2,30,31,43,1,21,5,3,6
N20000879,24,49,29,17,6,9,3,6,6
N20000880,34,53,17,18,8,31,24,11,6
N20000881,28,102,36,20,9,26,10,18,12
N20000882,14,76,58,54,1,6,3,5,26
N20000883,31,60,46,18,7,13,10,15,9
N20000884,26,92,8,8,1,22,11,6,5
N20000885,15,84,28,10,4,34,13,5,16
N20000886,21,53,8,9,11,51,25,8,13
N20000887,35,59,20,24,13,49,46,14,18
N20000888,15,77,48,33,5,31,12,11,18
N20000889,7,17,24,33,8,5,7,13,1
N20000890,19,33,41,50,17,12,3,12,6
N20000891,29,101,26,13,2,17,7,6,20
N20000892,36,79,23,19,14,46,17,11,9
N20000893,22,101,29,25,8,39,13,12,15
N20000894,21,62,9,21,14,59,23,10,11
N20000895,7,51,18,12,6,6,7,6,9
N20000896,27,61,13,32,15,67,33,19,18
N20000897,19,53,33,39,8,8,5,12,6
N20000898,19,60,28,13,3,11,7,3,9
N20000899,12,59,21,16,7,26,11,10,33
N20000900,27,51,23,15,9,29,9,7,9
N20000901,1,50,26,26,7,19,1,5,24
N20000902,40,44,36,61,18,8,7,21,10
N20000903,15,66,18,13,9,38,16,12,11
N20000904,52,94,12,14,7,43,21,13,15
N20000905,21,85,34,17,3,20,8,5,18
N20000906,11,34,21,6,1,12,6,7,12
N20000907,11,92,34,17,6,18,13,7,18
N20000908,19,85,21,14,6,26,13,14,19
N20000909,34,34,46,70,27,2,12,26,10
N20000910,18,69,18,13,5,37,14,8,9
N20000911,38,34,11,12,9,16,8,11,7
N20000912,11,84,23,19,7,18,14,3,10
N20000913,12,64,19,19,2,23,4,2,15
N20000914,11,86,37,12,4,19,13,4,9
N20000915,14,63,14,23,0,19,5,2,9
N20000916,14,66,43,18,9,12,6,11,18
N20000917,7,102,39,17,10,21,4,10,18
N20000918,46,60,8,13,3,28,15,7,6
N20000919,29,70,14,18,6,35,12,6,14
N20000920,31,101,19,10,4,11,8,11,10
N20000921,10,55,4,13,12,20,12,11,12
N20000922,20,52,20,11,10,33,18,9,23
N20000923,21,74,20,25,12,11,8,15,10
N20000924,16,78,12,25,9,39,8,10,19
N20000925,9,36,22,18,3,9,2,6,12
N20000926,16,74,24,18,5,12,9,13,6
N20000927,13,75,21,27,7,66,17,10,16
N20000928,18,52,16,16,4,16,9,8,17
N20000929,11,83,30,15,3,17,6,9,8
N20000930,29,44,22,15,4,5,4,3,7
N20000931,16,89,28,28,12,31,10,9,24
N20000932,16,119,24,9,3,20,9,9,10
N20000933,12,65,30,16,7,23,10,9,22
N20000934,28,98,44,14,4,18,12,11,26
N20000935,37,24,33,37,20,7,15,19,2
N20000936,52,60,17,16,9,42,31,25,8
N20000937,23,64,48,29,10,28,6,14,12
N20000938,13,68,29,18,3,15,6,6,10
N20000939,12,46,33,19,3,17,9,6,19
N20000940,8,55,32,13,1,26,8,7,12
N20000941,24,83,51,28,16,43,17,19,22
N20000942,9,51,32,21,4,27,10,6,18
N20000943,13,89,38,19,4,8,6,4,18
N20000944,3,80,56,5,0,26,3,4,31
N20000945,10,60,39,35,16,7,5,8,3
N20000946,19,59,35,23,8,6,6,14,1
N20000947,46,41,15,19,12,24,7,15,6
N20000948,15,34,8,25,11,35,12,6,8
N20000949,36,60,28,33,20,38,20,19,7
N20000950,25,64,45,34,23,11,7,14,6
N20000951,14,28,16,18,14,17,9,14,1
N20000952,35,17,34,43,9,4,5,26,4
N20000953,45,13,30,46,33,5,10,53,5
N20000954,19,18,20,38,10,4,0,31,3
N20000955,19,7,30,50,11,1,7,19,2
N20000956,45,34,51,71,34,10,7,52,7
N20000957,24,58,26,33,14,23,13,13,8
N20000958,50,51,63,52,27,9,10,47,4
N20000959,35,28,33,54,22,3,6,27,2
N20000960,43,16,33,55,21,0,6,42,3
N20000961,18,14,28,58,12,4,4,25,4
N20000962,36,33,41,72,22,12,8,38,6
N20000963,18,35,35,31,6,7,0,7,5
N20000964,63,44,24,24,12,4,4,32,6
N20000965,26,11,34,62,14,6,4,43,7
N20000966,31,45,41,32,7,10,12,6,15
N20000967,49,25,28,34,8,5,3,15,2
N20000968,27,48,40,41,9,11,16,12,11
N20000969,41,31,43,59,14,8,16,28,7
N20000970,36,48,37,39,12,20,11,13,11
N20000971,28,16,37,66,15,0,7,27,3
N20000972,8,37,23,12,4,3,3,6,7
N20000973,13,10,25,39,12,4,4,12,3
N20000974,23,25,29,52,12,5,8,25,0
N20000975,61,53,54,58,16,5,10,23,3
N20000976,33,122,46,24,9,15,10,15,17
N20000977,23,44,38,23,16,17,9,29,8
N20000978,20,60,48,27,7,4,8,15,6
N20000979,24,36,61,62,10,8,7,16,3
N20000980,31,74,32,24,10,38,19,12,11
N20000981,30,60,54,42,8,13,11,15,4
N20000982,36,21,48,72,16,6,7,35,5
N20000983,92,48,42,45,15,6,5,51,3
N20000984,26,41,51,61,9,9,7,20,7
N20000985,18,30,16,29,7,4,4,11,7
N20000986,30,18,25,22,19,8,6,16,5
N20000987,28,38,32,48,13,6,13,31,9
N20000988,57,52,45,42,22,8,11,28,5
N20000989,34,55,21,20,8,34,26,9,7
N20000990,23,13,30,35,17,5,6,18,6
N20000991,23,16,29,36,11,5,4,13,7
N20000992,29,7,26,42,12,2,5,23,4
N20000993,37,29,57,51,17,6,13,26,6
N20000994,29,32,43,39,23,7,14,57,6
N20000995,37,30,62,101,26,6,6,25,3
N20000996,30,87,27,21,7,20,8,14,14
N20000997,44,59,49,65,8,9,16,21,12
N20000998,36,22,20,44,15,4,5,18,1
N20000999,13,22,15,14,6,28,12,5,2
N20001000,39,79,15,14,4,19,12,10,10
N20001001,46,45,36,48,12,3,4,26,4
N20001002,13,26,16,16,13,8,6,18,4
N20001003,24,40,27,18,7,18,10,11,8
N20001004,22,29,26,31,10,40,18,11,0
N20001005,33,13,32,60,18,3,4,43,2
N20001006,27,63,51,76,11,13,11,27,1
N20001007,23,39,43,60,32,37,20,22,18
N20001008,36,30,36,56,21,5,8,31,6
N20001009,33,41,12,29,11,31,12,13,15
N20001010,24,26,42,50,11,3,5,17,3
N20001011,45,61,40,38,12,28,18,19,7
N20001012,27,75,19,8,2,22,10,5,7
N20001013,32,45,38,51,17,14,9,30,6
N20001014,33,85,25,35,12,25,18,16,3
N20001015,20,46,68,45,20,13,16,32,12
N20001016,28,42,45,57,15,30,13,22,11
N20001017,19,55,27,18,12,9,11,10,10
N20001018,24,27,21,10,4,14,10,7,4
N20001019,19,73,46,43,19,9,10,12,12
N20001020,26,28,52,70,13,10,7,29,10
N20001021,21,100,44,19,3,14,4,14,29
N20001022,19,30,39,48,16,6,12,20,3
N20001023,13,49,49,35,16,12,4,12,12
N20001024,9,98,65,39,3,13,3,10,45
N20001025,11,21,37,23,5,3,6,9,5
N20001026,42,68,22,22,9,28,12,10,9
N20001027,16,63,35,20,4,11,9,12,14
N20001028,34,63,52,33,17,22,11,15,7
N20001029,19,90,33,14,7,8,3,5,19
N20001030,12,31,33,33,8,6,4,19,5
N20001031,18,32,25,29,13,2,6,15,4
N20001032,16,56,32,21,8,10,7,8,5
N20001033,57,41,32,55,14,7,10,19,10
N20001034,16,26,50,65,24,8,9,19,3
N20001035,8,20,39,65,23,9,5,34,4
N20001036,20,19,34,46,10,3,7,18,5
N20001037,15,31,38,52,18,5,10,9,8
N20001038,76,57,33,33,15,10,17,15,13
N20001039,44,44,65,42,16,8,7,35,8
N20001040,28,49,25,44,14,45,18,13,14
N20001041,41,57,18,37,18,37,18,17,10
N20001042,20,6,16,43,17,3,3,22,1
N20001043,19,11,18,26,10,6,2,8,6
N20001044,47,179,22,9,6,12,15,11,3
N20001045,28,57,28,20,11,23,15,13,5
N20001046,57,93,49,70,33,15,22,21,9
N20001047,42,47,43,39,23,9,15,34,6
N20001048,18,15,21,38,4,7,5,16,2
N20001049,12,26,22,28,8,16,15,12,4
N20001050,35,11,42,57,22,6,8,40,7
N20001051,24,17,40,38,21,7,5,21,8
N20001052,26,25,47,37,15,7,9,19,5
N20001053,67,56,43,58,22,34,25,23,12
N20001054,18,33,24,49,19,6,11,19,8
N20001055,10,29,11,22,9,21,8,8,8
N20001056,25,31,38,60,27,17,14,20,7
N20001057,47,39,13,20,18,4,4,19,4
N20001058,27,44,26,38,19,36,22,18,9
N20001059,34,72,41,27,12,16,12,11,16
N20001060,17,19,28,42,14,16,8,20,6
N20001061,17,63,40,23,6,12,11,11,33
N20001062,8,29,19,25,10,3,7,17,10
N20001063,41,56,47,59,15,25,9,22,9
N20001064,6,97,33,8,1,19,12,10,16
N20001065,30,60,26,34,15,28,22,12,18
N20001066,12,56,56,63,10,7,9,16,38
N20001067,22,10,32,25,25,0,4,21,5
N20001068,19,20,39,55,10,3,6,17,4
N20001069,22,34,34,46,19,7,14,16,6
N20001070,20,53,40,69,15,8,13,11,26
N20001071,16,29,24,44,17,7,11,11,3
N20001072,26,49,34,45,19,10,6,18,7
N20001073,30,38,36,58,21,9,10,20,5
N20001074,17,19,28,40,19,6,8,23,6
N20001075,32,28,32,52,7,5,11,22,6
N20001076,46,66,42,55,19,3,14,29,7
N20001077,36,52,49,65,22,3,7,36,6
N20001078,33,22,21,24,6,0,4,28,4
N20001079,22,71,28,24,2,6,4,8,20
N20001080,1,48,37,27,1,1,2,9,35
N20001081,8,93,27,14,4,20,8,6,22
N20001082,15,54,8,15,7,31,20,6,14
N20001083,27,62,13,17,10,25,28,15,14
N20001084,23,59,14,5,9,33,12,3,5
N20001085,5,80,46,61,1,0,2,10,48
N20001086,53,60,11,6,9,19,20,14,12
N20001087,15,72,36,21,4,7,9,3,29
N20001088,6,75,60,29,1,7,5,9,33
N20001089,32,45,5,2,7,14,9,4,6
N20001090,26,115,28,13,6,18,10,5,26
N20001091,24,61,21,18,10,27,10,9,9
N20001092,38,54,12,16,10,50,8,6,14
N20001093,35,70,22,7,3,44,18,12,5
N20001094,26,54,19,5,7,20,19,6,19
N20001095,40,87,14,14,7,41,24,18,13
N20001096,13,82,32,19,6,37,10,8,19
N20001097,38,63,17,8,8,20,10,1,10
N20001098,20,56,34,18,7,10,10,10,19
N20001099,7,117,32,12,3,3,2,5,28
N20001100,16,74,24,9,5,24,9,19,21
N20001101,17,56,17,24,14,48,14,7,17
N20001102,13,54,29,11,1,9,2,12,23
N20001103,1,99,17,8,1,5,1,7,59
N20001104,22,81,26,17,7,40,13,15,21
N20001105,4,57,20,3,1,1,0,5,60
N20001106,14,91,43,23,8,10,7,15,45
N20001107,0,73,15,5,0,4,4,7,80
N20001108,7,67,16,4,1,3,3,8,17
N20001109,17,47,13,21,7,70,17,2,12
N20001110,18,87,12,5,0,6,0,5,31
N20001111,24,85,20,10,6,27,8,10,14
N20001112,6,69,28,6,0,1,2,2,89
N20001113,16,91,11,1,1,3,2,6,94
N20001114,6,84,13,3,2,14,3,9,65
N20001115,6,43,28,10,4,4,11,12,103
N20001116,16,66,24,14,8,27,6,14,7
N20001117,20,48,14,16,4,27,10,13,9
N20001118,16,60,23,17,7,27,19,9,43
N20001119,1,45,15,6,1,0,5,9,73
N20001120,2,52,5,0,1,0,1,11,130
N20001121,14,37,50,60,21,6,7,17,20
N20001122,0,54,19,4,1,1,0,11,38
N20001123,4,67,30,4,1,5,0,5,54
N20001124,9,68,45,12,2,4,11,16,103
N20001125,6,42,38,10,1,1,5,8,45
N20001126,7,94,44,23,1,21,3,13,78
N20001127,5,54,11,11,6,15,8,11,83
N20001128,13,54,20,15,4,4,2,10,13
N20001129,17,97,31,16,8,11,7,11,27
N20001130,2,55,1,10,1,4,3,9,117
N20001131,4,56,3,10,4,8,3,8,110
N20001132,32,103,18,7,1,1,0,12,74
N20001133,8,62,24,10,2,3,4,15,147
N20001134,17,69,28,19,7,7,4,13,75
N20001135,7,91,40,25,5,7,4,12,78
N20001136,6,49,16,5,0,4,2,7,92
N20001137,5,83,46,3,3,2,1,11,84
N20001138,17,71,41,26,4,15,12,10,25
N20001139,18,83,40,18,7,0,5,10,104
N20001140,27,60,27,16,4,9,6,9,81
N20001141,31,60,16,7,1,10,7,4,31
N20001142,10,54,31,7,0,2,4,10,119
N20001143,9,52,24,12,0,4,2,12,98
N20001144,5,72,63,21,2,8,6,4,72
N20001145,4,68,47,3,2,4,0,4,11
N20001146,10,53,29,18,6,5,4,3,14
N20001147,27,70,26,24,7,31,10,6,13
N20001148,29,57,29,25,4,4,6,10,11
N20001149,19,88,40,20,4,13,14,13,76
N20001150,7,51,29,21,7,22,13,5,24
N20001151,6,46,27,9,1,4,4,3,101
N20001152,8,59,30,10,0,4,6,3,49
N20001153,7,30,21,7,4,1,3,10,132
N20001154,14,44,19,15,3,20,7,7,13
N20001155,10,67,44,21,6,13,15,11,26
N20001156,27,79,50,57,13,3,7,21,19
N20001157,5,50,11,2,0,0,3,8,73
N20001158,41,97,40,18,6,13,15,8,16
N20001159,10,65,31,28,3,11,7,9,37
N20001160,17,74,35,10,1,16,11,3,17
N20001161,27,88,48,6,4,5,8,10,37
N20001162,24,36,19,24,8,4,3,23,9
N20001163,13,48,26,28,3,14,4,7,14
N20001164,26,68,58,35,15,13,11,11,13
N20001165,16,72,33,28,9,29,10,6,14
N20001166,20,70,47,44,22,3,9,15,21
N20001167,23,38,46,65,21,2,9,24,28
N20001168,28,80,56,34,2,7,3,15,40
N20001169,24,30,28,56,22,4,5,25,7
N20001170,23,45,43,48,9,4,7,20,10
N20001171,52,32,28,13,2,6,3,14,14
N20001172,18,27,35,107,22,9,11,31,7
N20001173,27,31,25,48,10,4,11,13,8
