dz_2021_code,one_person_household_aged_66_and_over,one_person_household_other,single_family_household_couple_family_household_no_children,single_family_household_couple_family_household_dependent_children,single_family_household_couple_family_household_all_children_non_dependent,single_family_household_lone_parent_family_with_dependent_children,single_family_household_lone_parent_family_all_children_non_dependent,single_family_household_other_family_composition_including_all_aged_66_and_over,other_household_types
N20000132,7,7,56,70,31,3,6,18,5
N20000133,28,13,58,91,28,8,12,39,3
N20000134,24,14,53,87,29,5,4,28,4
N20000135,28,32,44,32,30,8,13,41,5
N20000136,49,12,34,24,28,2,8,66,5
N20000137,47,37,33,35,17,5,7,27,8
N20000138,33,43,40,26,19,18,20,32,5
N20000139,38,44,29,35,16,6,8,38,2
N20000140,8,26,49,72,2,4,4,10,2
N20000141,8,26,60,28,8,8,6,15,6
N20000142,21,39,12,19,5,33,10,13,6
N20000143,35,16,53,59,18,7,8,47,8
N20000144,19,24,32,36,15,8,6,16,2
N20000145,46,59,13,6,1,13,8,13,2
N20000146,23,48,22,17,7,40,9,11,7
N20000147,29,54,24,36,10,35,13,14,6
N20000148,19,12,27,27,12,5,7,24,2
N20000149,44,33,54,58,14,9,8,47,8
N20000150,22,50,8,17,8,28,15,4,4
N20000151,30,18,39,60,34,13,13,35,3
N20000152,24,30,34,26,17,3,4,21,6
N20000153,66,85,34,22,15,37,12,25,6
N20000154,31,56,22,63,22,54,31,25,7
N20000155,20,64,15,16,9,23,15,7,5
N20000156,20,27,42,70,31,21,14,31,5
N20000157,38,16,52,65,29,17,18,38,3
N20000158,33,14,50,68,19,7,5,46,1
N20000159,22,24,10,24,16,33,8,8,4
N20000160,0,6,12,69,5,4,0,3,2
N20000161,7,46,39,66,19,9,4,11,8
N20000162,36,31,49,51,27,6,13,43,9
N20000163,3,30,38,71,13,16,8,3,6
N20000164,14,9,42,73,27,1,6,16,8
N20000165,19,40,45,45,17,9,8,9,6
N20000166,24,19,23,33,15,10,4,28,6
N20000167,30,39,23,21,9,5,7,21,3
N20000168,32,33,26,34,11,13,9,31,4
N20000169,31,91,30,15,7,23,21,13,6
N20000170,24,40,22,44,9,21,13,20,2
N20000171,28,69,25,35,16,18,11,10,4
N20000172,13,33,39,73,20,16,11,10,7
N20000173,23,16,43,56,28,7,7,28,8
N20000174,33,50,27,43,14,46,24,22,11
N20000175,24,51,27,39,14,23,4,12,4
N20000176,13,22,33,27,22,15,18,15,4
N20000177,21,55,25,23,11,6,11,16,8
N20000178,18,38,18,22,7,40,22,14,6
N20000179,40,75,40,50,8,23,20,24,8
N20000180,18,38,27,35,13,38,7,16,6
N20000181,12,43,15,36,9,34,16,6,9
N20000182,26,48,30,40,15,65,21,13,12
N20000183,33,30,17,21,9,25,15,16,7
N20000184,16,40,14,22,6,54,19,7,6
N20000185,32,48,21,13,6,11,3,5,4
N20000186,34,40,11,8,8,6,3,10,3
N20000187,23,43,21,18,7,24,21,11,5
N20000188,22,38,37,45,16,1,5,22,5
N20000189,41,47,23,30,16,47,19,17,6
N20000190,12,52,19,22,5,26,18,5,7
N20000191,36,25,20,28,9,21,13,20,5
N20000192,21,55,11,10,3,13,17,6,6
N20000193,35,89,17,3,1,2,17,5,5
N20000194,12,89,13,13,1,45,13,0,5
N20000195,31,83,24,22,21,34,21,13,10
N20000196,19,46,12,16,1,9,10,6,3
N20000197,23,47,12,8,5,9,9,8,3
N20000198,66,80,17,7,10,13,7,25,6
N20000199,27,71,28,24,18,42,13,10,11
N20000200,33,61,31,30,15,25,23,23,14
N20000201,52,84,33,33,16,31,17,17,3
N20000202,24,71,22,21,11,30,14,11,2
N20000203,9,35,19,28,3,12,6,16,9
N20000204,31,50,33,29,6,15,8,14,4
N20000205,63,81,22,12,3,10,11,12,3
N20000206,36,41,34,12,11,6,7,14,4
N20000207,52,52,16,12,14,37,15,14,10
N20000208,11,28,22,21,13,65,12,6,9
N20000209,7,30,11,43,15,40,9,13,9
N20000210,26,60,10,20,11,64,28,21,14
N20000211,17,65,55,76,12,21,8,15,3
N20000212,23,55,17,37,8,46,12,15,4
N20000213,31,57,14,27,6,30,14,7,1
N20000214,42,5,20,18,12,8,8,35,1
N20000215,4,14,29,70,21,6,10,13,3
N20000216,22,23,23,16,6,5,5,35,4
N20000217,33,35,42,53,25,14,14,29,6
N20000218,69,23,32,33,29,7,24,52,5
N20000219,10,14,57,69,34,7,7,40,16
N20000220,51,25,28,29,12,10,9,44,3
N20000221,37,30,31,42,21,16,13,35,4
N20000222,26,29,39,38,21,18,10,23,2
N20000223,23,22,33,48,21,13,16,17,4
N20000224,27,28,35,27,22,8,7,37,6
N20000225,29,37,11,18,8,23,12,15,1
N20000226,24,40,40,54,23,17,17,34,7
N20000227,18,22,35,48,24,8,3,27,6
N20000228,31,49,23,25,19,24,12,14,6
N20000229,23,84,24,22,6,37,18,12,6
N20000230,21,49,41,45,17,21,12,14,5
N20000231,40,19,23,35,22,8,13,37,10
N20000232,23,16,23,28,9,10,6,18,5
N20000233,31,31,21,32,16,15,17,17,9
N20000234,25,29,20,37,14,16,11,18,3
N20000235,34,38,13,30,13,9,8,17,4
N20000236,55,63,17,25,7,16,15,18,10
N20000237,72,61,23,23,6,26,10,13,1
N20000238,23,34,43,52,14,10,22,36,10
N20000239,35,12,39,34,27,8,6,22,7
N20000240,33,27,21,24,17,10,9,16,6
N20000241,28,18,13,23,5,8,10,21,5
N20000242,20,34,21,39,16,19,18,17,10
N20000243,19,23,29,28,15,11,8,12,4
N20000244,19,35,34,63,17,22,20,17,10
N20000245,14,21,21,26,28,12,15,12,6
N20000246,13,47,46,48,20,11,6,21,6
N20000247,23,39,17,45,14,18,13,13,9
N20000248,30,18,31,10,9,13,8,12,7
N20000249,19,29,12,28,11,24,8,13,0
N20000250,16,30,21,33,12,18,7,8,6
N20000251,6,34,41,75,28,20,14,9,12
N20000252,14,35,25,31,29,12,9,17,7
N20000253,31,20,30,46,31,15,11,50,9
N20000254,36,15,27,39,24,4,13,42,3
N20000255,9,17,35,53,29,14,8,6,9
