dz_2021_code,hours_15_or_less_worked_per_week,hours_16_30_worked_per_week,hours_31_48_worked_per_week,hours_49_worked_per_week,not_applicable
N20000209,24,61,122,7,286
N20000210,29,46,102,8,474
N20000211,23,54,282,23,232
N20000212,25,46,91,8,343
N20000213,20,32,69,10,257
N20000214,10,27,65,11,209
N20000215,25,46,186,27,217
N20000216,9,24,63,6,178
N20000217,29,60,190,19,295
N20000218,22,53,138,13,358
N20000219,32,78,185,36,393
N20000220,11,29,114,14,266
N20000221,29,52,161,16,266
N20000222,18,44,145,7,271
N20000223,16,53,161,16,247
N20000224,25,41,135,11,249
N20000225,10,29,69,3,199
N20000226,40,68,182,16,300
N20000227,18,47,142,20,263
N20000228,11,42,126,18,229
N20000229,19,45,120,10,268
N20000230,17,61,179,17,248
N20000231,28,50,115,14,282
N20000232,11,30,99,7,169
N20000233,17,49,143,12,257
N20000234,22,42,135,10,214
N20000235,9,33,112,14,198
N20000236,16,40,97,8,279
N20000237,15,32,101,11,256
N20000238,30,62,202,15,276
N20000239,23,53,142,16,229
N20000240,15,37,101,10,185
N20000241,6,33,68,5,179
N20000242,21,53,162,11,204
N20000243,12,33,133,9,165
N20000244,27,75,204,26,360
N20000245,19,48,127,5,200
N20000246,28,46,206,20,244
N20000247,30,57,135,15,220
N20000248,6,24,83,4,153
N20000249,10,30,111,8,194
N20000250,16,45,125,8,196
N20000251,30,83,253,28,320
N20000252,21,53,158,9,208
N20000253,35,42,182,33,326
N20000254,35,40,142,10,272
N20000255,21,61,176,28,258
N20000256,27,58,216,25,234
N20000257,13,22,72,10,189
N20000258,18,49,127,33,289
N20000259,28,53,117,22,368
N20000260,27,66,194,29,335
N20000261,53,82,214,76,468
N20000262,32,66,148,53,352
N20000263,24,52,169,39,277
N20000264,27,55,260,30,311
N20000265,30,40,220,28,220
N20000266,29,27,129,23,166
N20000267,42,88,273,34,371
N20000268,43,68,149,52,354
N20000269,26,58,194,13,355
N20000270,22,28,129,14,157
N20000271,27,37,180,24,242
N20000272,18,55,294,24,266
N20000273,15,43,150,15,182
N20000274,25,51,165,46,247
N20000275,22,45,217,24,183
N20000276,19,55,211,36,280
N20000277,19,45,159,15,195
N20000278,32,58,127,42,264
N20000279,53,124,581,119,456
N20000280,41,68,180,57,317
N20000281,25,65,181,46,350
N20000282,25,42,133,37,193
N20000283,30,61,217,26,415
N20000284,35,55,183,18,326
N20000285,33,61,174,58,324
N20000286,34,56,178,24,228
N20000287,34,96,228,20,360
N20000288,15,50,131,16,267
N20000289,18,32,71,10,225
N20000290,7,27,45,5,217
N20000291,18,33,94,14,158
N20000292,38,57,189,19,258
N20000293,40,49,152,35,259
N20000294,34,71,235,22,364
N20000295,33,53,181,44,390
N20000296,23,48,158,30,294
N20000297,34,50,186,37,331
N20000298,37,50,198,45,334
N20000299,26,51,147,33,289
N20000300,21,46,136,37,243
N20000301,36,64,190,41,384
N20000302,34,79,185,49,423
N20000303,38,68,189,14,360
N20000304,20,50,139,14,284
N20000305,27,45,151,49,296
N20000306,23,50,132,39,292
N20000307,25,34,122,37,200
N20000308,19,35,110,15,258
N20000309,42,61,186,22,372
N20000310,21,41,113,30,235
N20000311,18,41,185,17,258
