dz_2021_code,hours_15_or_less_worked_per_week,hours_16_30_worked_per_week,hours_31_48_worked_per_week,hours_49_worked_per_week,not_applicable
N20000901,19,37,145,17,139
N20000902,18,48,172,42,324
N20000903,20,57,60,6,286
N20000904,21,47,98,9,339
N20000905,20,25,146,17,200
N20000906,9,26,71,6,104
N20000907,21,49,144,13,176
N20000908,23,45,115,11,234
N20000909,30,59,204,50,350
N20000910,14,37,83,8,243
N20000911,15,27,48,5,182
N20000912,13,36,104,16,183
N20000913,16,29,92,7,175
N20000914,9,35,120,7,171
N20000915,20,32,70,6,152
N20000916,14,36,150,15,187
N20000917,19,48,163,19,187
N20000918,9,28,67,4,227
N20000919,15,39,88,11,269
N20000920,5,37,113,6,164
N20000921,17,28,47,2,215
N20000922,19,39,79,7,275
N20000923,15,33,133,11,179
N20000924,11,50,110,11,302
N20000925,8,32,81,7,110
N20000926,15,30,112,14,150
N20000927,21,54,117,13,381
N20000928,16,29,99,5,154
N20000929,15,37,123,11,131
N20000930,10,24,76,11,116
N20000931,14,39,139,11,305
N20000932,14,28,112,13,185
N20000933,25,38,138,12,187
N20000934,22,45,186,28,206
N20000935,21,40,139,11,238
N20000936,24,33,76,7,379
N20000937,29,43,176,16,207
N20000938,7,34,114,13,138
N20000939,19,44,112,7,166
N20000940,7,42,100,11,162
N20000941,23,72,204,22,308
N20000942,15,32,129,9,243
N20000943,13,33,151,12,158
N20000944,12,23,206,24,101
N20000945,17,35,168,14,148
N20000946,15,34,124,12,137
N20000947,13,45,74,11,233
N20000948,23,34,82,6,236
N20000949,20,71,119,7,364
N20000950,23,45,173,24,220
N20000951,16,26,71,8,168
N20000952,16,29,126,19,249
N20000953,19,41,144,19,349
N20000954,13,34,80,13,196
N20000955,15,38,88,34,218
N20000956,39,71,197,33,488
N20000957,22,53,122,15,231
N20000958,28,67,233,25,314
N20000959,20,46,127,35,273
N20000960,20,40,129,37,314
N20000961,16,45,103,34,256
N20000962,20,52,191,35,359
N20000963,15,27,121,21,148
N20000964,14,38,100,18,219
N20000965,25,34,113,26,331
N20000966,20,36,158,12,195
N20000967,16,32,98,24,328
N20000968,20,42,161,27,282
N20000969,27,43,185,33,306
N20000970,19,55,175,23,247
N20000971,26,44,135,38,293
N20000972,11,19,95,11,68
N20000973,19,25,100,19,166
N20000974,19,50,115,27,226
N20000975,31,48,195,39,283
N20000976,19,47,209,21,198
N20000977,22,45,144,21,191
N20000978,23,23,162,30,135
N20000979,16,49,191,32,248
N20000980,25,55,115,11,317
N20000981,23,49,171,28,205
N20000982,35,49,193,35,309
N20000983,20,54,130,38,354
N20000984,23,43,185,34,272
N20000985,13,19,91,25,135
N20000986,16,38,107,5,164
N20000987,17,53,167,14,240
N20000988,33,34,196,20,416
N20000989,17,54,106,10,251
N20000990,12,50,129,8,182
N20000991,14,38,110,14,182
N20000992,16,29,110,12,228
N20000993,29,67,179,15,255
N20000994,19,60,177,14,299
N20000995,23,79,252,44,384
N20000996,17,40,112,9,254
N20000997,13,69,204,35,343
N20000998,19,31,103,16,201
N20000999,20,27,58,0,168
N20001000,15,41,79,4,219
N20001001,28,37,133,21,247
N20001002,15,18,71,6,154
N20001003,22,35,104,11,165
N20001004,20,56,81,5,296
N20001005,16,46,125,39,312
N20001006,29,72,209,16,327
N20001007,39,70,217,28,413
N20001008,26,63,153,21,298
N20001009,19,39,129,9,235
N20001010,17,43,143,33,205
N20001011,24,77,144,7,315
N20001012,15,20,79,4,173
N20001013,25,58,144,14,307
N20001014,20,51,135,9,287
N20001015,34,47,219,19,293
N20001016,37,63,196,28,331
N20001017,10,22,136,8,144
N20001018,7,22,64,5,150
N20001019,23,58,201,20,207
N20001020,32,67,190,22,323
N20001021,28,42,187,19,179
N20001022,21,49,140,18,228
N20001023,18,54,186,17,173
N20001024,21,48,307,41,162
N20001025,13,24,101,6,122
N20001026,13,45,100,12,242
N20001027,16,34,146,7,161
N20001028,20,64,183,19,251
N20001029,13,24,164,10,126
N20001030,19,27,123,21,157
N20001031,16,33,118,11,148
N20001032,20,28,123,7,140
N20001033,23,51,164,19,287
N20001034,25,67,191,19,259
N20001035,33,63,159,36,276
N20001036,15,35,134,17,202
N20001037,23,42,163,31,207
N20001038,18,55,159,13,301
N20001039,31,42,193,16,277
N20001040,35,80,126,9,364
N20001041,18,56,132,6,350
N20001042,20,34,99,33,291
N20001043,8,23,79,9,146
N20001044,20,32,97,12,250
N20001045,16,42,114,13,199
N20001046,26,81,279,33,362
N20001047,19,54,189,20,272
N20001048,9,30,92,7,166
N20001049,15,30,110,12,194
N20001050,40,50,148,20,328
N20001051,23,38,142,11,222
N20001052,16,37,151,10,214
N20001053,31,76,175,15,452
N20001054,22,45,133,21,262
N20001055,12,40,78,8,167
N20001056,34,83,163,23,309
N20001057,17,25,92,14,185
N20001058,23,55,120,17,339
N20001059,18,50,159,18,205
N20001060,17,44,131,10,236
N20001061,15,36,201,24,304
N20001062,15,33,96,15,131
N20001063,21,51,226,22,313
N20001064,19,24,113,10,163
N20001065,19,64,136,11,316
N20001066,22,47,290,56,208
N20001067,17,30,120,24,173
N20001068,19,45,141,25,235
N20001069,21,41,168,27,210
N20001070,29,50,219,48,323
N20001071,17,40,144,8,185
N20001072,20,35,160,27,287
N20001073,16,45,198,17,273
N20001074,30,39,125,25,228
N20001075,14,39,151,15,246
N20001076,21,48,204,30,308
N20001077,24,56,231,19,302
N20001078,10,15,78,8,177
N20001079,12,25,161,14,141
N20001080,143,48,186,23,1065
N20001081,14,25,136,11,188
N20001082,13,37,61,5,287
N20001083,8,45,89,8,301
N20001084,38,42,68,6,621
N20001085,20,21,283,16,214
N20001086,9,35,46,3,303
N20001087,47,28,159,23,644
N20001088,18,20,205,19,208
N20001089,6,16,38,6,160
N20001090,16,32,111,13,451
N20001091,23,43,90,15,209
N20001092,16,53,64,9,333
N20001093,7,31,61,9,293
N20001094,13,35,80,7,243
N20001095,21,39,104,9,368
N20001096,24,39,125,9,256
N20001097,18,25,66,7,199
N20001098,21,33,140,9,169
N20001099,22,18,131,10,151
N20001100,21,42,114,9,212
N20001101,25,46,95,6,329
N20001102,19,29,97,4,151
N20001103,68,28,105,4,300
N20001104,21,52,121,10,280
N20001105,58,29,96,6,143
N20001106,22,66,193,20,206
N20001107,76,33,100,4,215
N20001108,10,18,67,6,117
N20001109,20,40,68,1,424
N20001110,32,21,61,5,166
N20001111,12,51,110,5,204
N20001112,94,46,112,5,256
N20001113,109,46,72,3,249
N20001114,66,50,87,7,217
N20001115,106,78,148,15,274
N20001116,14,34,89,6,195
N20001117,13,27,76,7,198
N20001118,30,42,159,16,237
N20001119,81,35,67,6,222
N20001120,162,70,46,11,304
N20001121,39,55,208,36,293
N20001122,34,13,84,4,115
N20001123,54,39,100,15,236
N20001124,74,63,214,20,245
N20001125,20,26,150,14,124
N20001126,53,75,213,15,297
N20001127,98,50,116,11,257
N20001128,13,27,84,4,126
N20001129,18,40,159,12,194
N20001130,168,58,49,5,258
N20001131,134,76,74,11,303
N20001132,64,37,127,7,272
N20001133,127,59,203,18,375
N20001134,110,62,119,19,270
N20001135,70,44,201,27,274
N20001136,96,31,99,9,254
N20001137,63,28,171,14,199
N20001138,32,49,163,16,205
N20001139,87,57,217,28,256
N20001140,52,50,180,15,259
N20001141,18,36,94,11,156
N20001142,123,48,125,18,304
N20001143,87,52,129,10,268
N20001144,57,48,212,20,186
N20001145,7,8,132,41,33
N20001146,15,32,116,7,103
N20001147,24,59,87,13,233
N20001148,30,22,125,28,223
N20001149,61,46,234,23,279
N20001150,20,36,160,10,165
N20001151,110,55,127,9,241
N20001152,31,28,157,16,112
N20001153,150,52,117,12,307
N20001154,18,25,76,10,177
N20001155,27,49,171,20,169
N20001156,27,38,202,51,361
N20001157,78,30,91,10,200
N20001158,20,35,167,13,199
N20001159,26,42,174,17,178
N20001160,17,31,132,13,128
N20001161,24,25,206,21,135
N20001162,327,73,102,33,1614
N20001163,12,28,122,7,159
N20001164,20,58,217,28,201
N20001165,15,43,160,15,245
N20001166,26,33,224,42,225
N20001167,44,66,174,71,314
N20001168,31,43,209,27,189
N20001169,31,33,126,51,287
N20001170,16,47,152,28,221
N20001171,16,21,81,22,153
N20001172,111,68,228,49,559
N20001173,12,28,158,27,192
N20001174,24,47,160,41,299
N20001175,17,27,111,25,164
N20001176,32,24,88,54,239
N20001177,23,41,110,49,261
N20001178,29,34,129,29,320
N20001179,17,21,129,22,79
N20001180,13,27,72,27,149
N20001181,16,24,109,23,108
N20001182,33,39,120,45,232
N20001183,21,36,129,43,224
N20001184,37,56,290,49,311
N20001185,29,39,127,52,260
N20001186,19,34,211,45,226
N20001187,15,15,54,17,153
N20001188,15,20,111,24,178
N20001189,19,26,104,37,248
N20001190,23,45,147,18,265
N20001191,22,32,120,51,205
N20001192,22,36,165,12,286
N20001193,18,25,97,29,183
N20001194,16,31,78,18,200
N20001195,33,59,208,40,339
N20001196,21,30,89,26,238
N20001197,18,37,151,22,210
N20001198,22,40,97,52,285
N20001199,20,31,135,38,318
N20001200,24,29,121,25,259
N20001201,14,40,167,18,232
N20001202,17,36,131,13,193
N20001203,26,51,113,12,264
N20001204,20,44,162,20,233
N20001205,15,33,79,10,229
N20001206,5,18,44,4,82
N20001207,11,20,63,4,226
N20001208,16,68,89,10,377
N20001209,10,34,92,10,248
N20001210,11,49,144,7,282
N20001211,14,36,136,11,268
N20001212,18,22,76,14,150
N20001213,10,40,98,11,185
N20001214,16,25,148,16,223
N20001215,27,65,199,14,349
N20001216,14,30,87,10,149
N20001217,17,43,180,34,288
N20001218,13,23,118,21,196
N20001219,18,40,128,16,223
N20001220,17,42,171,17,287
N20001221,24,36,141,18,224
N20001222,15,37,87,10,230
N20001223,23,64,163,21,355
N20001224,20,41,102,8,222
N20001225,11,26,55,6,140
N20001226,15,23,100,18,266
N20001227,10,19,87,7,148
N20001228,17,28,88,5,223
N20001229,15,41,114,8,240
N20001230,23,26,160,39,377
N20001231,27,47,165,37,277
N20001232,20,55,168,38,330
N20001233,18,48,149,22,255
N20001234,24,41,180,21,202
N20001235,9,22,47,4,238
N20001236,28,101,224,13,338
N20001237,13,45,118,12,245
N20001238,7,16,78,7,160
N20001239,20,71,62,10,507
N20001240,21,51,107,7,345
N20001241,22,89,145,7,352
N20001242,22,82,135,5,486
N20001243,29,82,103,12,493
N20001244,34,81,219,28,432
N20001245,21,45,124,12,238
N20001246,32,67,174,18,431
N20001247,22,61,130,4,262
N20001248,9,45,46,4,361
N20001249,23,70,135,12,409
N20001250,20,49,130,9,199
N20001251,38,66,228,19,344
N20001252,23,41,108,2,372
N20001253,39,80,245,20,353
N20001254,26,65,146,11,409
N20001255,19,67,114,8,545
N20001256,15,52,86,6,325
N20001257,15,71,81,6,424
N20001258,60,116,369,33,401
N20001259,26,57,170,21,447
N20001260,21,50,166,11,255
N20001261,27,90,161,11,567
N20001262,11,51,72,7,305
N20001263,21,49,64,7,457
N20001264,39,71,262,39,412
N20001265,29,45,165,14,262
N20001266,15,55,82,13,439
N20001267,25,70,174,21,285
N20001268,18,59,47,4,495
N20001269,18,40,56,2,402
N20001270,9,24,68,5,240
N20001271,27,40,130,25,224
N20001272,27,69,109,5,437
N20001273,15,43,137,10,185
N20001274,11,39,84,7,250
N20001275,22,33,145,22,172
N20001276,6,50,72,7,359
N20001277,35,89,182,10,424
N20001278,23,64,176,21,270
N20001279,27,65,226,21,269
N20001280,14,23,125,12,137
N20001281,11,29,128,10,135
N20001282,27,87,161,11,229
N20001283,20,34,55,5,245
N20001284,24,79,227,16,299
N20001285,17,38,89,7,185
N20001286,9,30,36,4,229
N20001287,19,44,78,4,263
N20001288,21,65,90,4,337
N20001289,13,32,111,11,231
N20001290,70,141,388,33,498
N20001291,23,73,152,13,315
N20001292,20,56,193,24,276
N20001293,14,33,77,5,239
N20001294,10,21,64,4,133
N20001295,12,38,61,5,224
N20001296,24,33,127,9,207
N20001297,13,54,70,3,341
N20001298,13,80,99,5,452
N20001299,13,47,57,3,374
N20001300,17,60,61,4,491
N20001301,18,63,102,6,547
N20001302,18,64,90,3,324
N20001303,16,47,134,9,280
N20001304,24,48,60,4,406
N20001305,16,54,71,4,396
N20001306,13,38,37,5,198
N20001307,22,57,108,2,397
N20001308,43,109,217,20,458
N20001309,40,103,254,31,469
N20001310,20,58,97,9,430
N20001311,9,49,100,6,230
N20001312,10,39,107,6,250
N20001313,26,44,85,5,375
N20001314,23,78,109,5,437
N20001315,26,39,109,11,281
N20001316,23,46,73,7,379
N20001317,11,67,88,2,348
N20001318,15,62,132,11,255
N20001319,13,43,80,5,199
N20001320,12,48,57,2,349
N20001321,20,58,135,12,366
N20001322,16,44,104,8,283
N20001323,13,42,62,3,228
N20001324,20,41,72,6,377
N20001325,26,72,111,4,545
N20001326,23,70,123,6,447
N20001327,16,52,113,10,242
N20001328,12,61,72,5,459
N20001329,9,37,70,5,181
N20001330,19,48,113,14,217
N20001331,19,57,139,9,278
N20001332,15,43,48,4,377
N20001333,24,50,133,13,228
N20001334,36,77,201,14,375
N20001335,14,26,121,4,152
N20001336,4,19,44,2,183
N20001337,22,43,109,10,237
N20001338,9,34,46,4,279
N20001339,30,76,195,20,362
N20001340,26,44,109,7,250
N20001341,12,37,100,13,159
N20001342,21,67,147,11,333
N20001343,12,46,112,8,254
N20001344,12,45,57,12,198
N20001345,22,64,129,14,255
N20001346,17,48,98,18,331
N20001347,7,10,18,4,275
N20001348,16,43,71,10,321
N20001349,17,50,104,7,231
N20001350,18,45,144,5,226
N20001351,25,81,141,19,366
N20001352,16,57,112,13,337
N20001353,7,36,69,4,173
N20001354,16,50,110,6,248
N20001355,13,45,131,12,277
N20001356,20,74,142,10,421
N20001357,19,56,97,13,226
N20001358,24,61,123,12,365
N20001359,16,62,97,13,368
N20001360,12,58,130,6,221
N20001361,19,53,164,8,297
N20001362,13,58,133,10,284
N20001363,23,59,144,13,386
N20001364,23,77,136,15,343
N20001365,15,54,98,5,313
N20001366,16,40,98,6,251
N20001367,9,40,106,10,238
N20001368,17,21,83,8,122
N20001369,9,50,77,5,334
N20001370,16,58,100,5,345
N20001371,19,45,132,18,248
N20001372,14,37,59,7,219
N20001373,30,67,141,8,342
N20001374,28,61,136,11,241
N20001375,20,56,144,4,357
N20001376,5,15,17,1,171
N20001377,7,25,39,7,308
N20001378,18,48,127,9,355
N20001379,18,46,152,10,264
N20001380,23,64,222,21,317
N20001381,32,86,121,12,492
N20001382,19,41,106,11,248
N20001383,23,54,85,9,415
N20001384,21,51,134,8,380
N20001385,13,23,66,12,252
N20001386,18,39,128,9,200
N20001387,16,34,50,11,309
N20001388,22,66,177,15,222
N20001389,17,45,71,6,422
N20001390,20,75,143,15,350
N20001391,17,42,140,10,237
N20001392,15,39,130,20,204
N20001393,5,18,36,0,151
N20001394,13,38,74,10,209
N20001395,6,35,45,10,198
N20001396,10,38,44,8,331
N20001397,13,25,82,5,331
N20001398,13,36,58,11,245
N20001399,11,57,73,10,409
N20001400,10,23,40,6,177
N20001401,35,66,176,20,390
N20001402,17,69,217,15,247
N20001403,11,37,52,2,178
N20001404,19,27,97,11,253
N20001405,17,62,91,7,346
N20001406,6,14,40,4,262
N20001407,11,24,50,5,258
N20001408,7,36,52,12,226
N20001409,7,23,49,1,148
N20001410,11,23,45,4,213
N20001411,17,49,100,6,274
N20001412,8,14,48,3,199
N20001413,22,65,106,15,361
N20001414,10,32,61,5,231
N20001415,12,28,39,4,246
N20001416,18,45,78,13,348
N20001417,11,44,76,4,253
N20001418,13,37,138,18,212
N20001419,14,51,87,3,271
N20001420,7,41,61,3,224
N20001421,20,38,47,10,337
N20001422,15,42,94,11,192
N20001423,2,17,29,4,190
N20001424,20,89,117,8,401
N20001425,12,20,144,9,105
N20001426,11,35,40,4,308
N20001427,20,75,133,8,390
N20001428,16,47,111,14,386
N20001429,18,67,73,5,402
N20001430,15,22,78,3,176
N20001431,11,24,36,3,244
N20001432,3,40,47,4,214
N20001433,28,40,42,1,309
N20001434,11,35,69,4,235
N20001435,11,29,30,0,277
N20001436,12,43,98,3,221
N20001437,9,47,61,5,297
N20001438,17,36,49,2,313
N20001439,17,66,130,10,354
N20001440,10,46,57,2,281
N20001441,13,59,132,8,314
N20001442,17,81,121,5,263
N20001443,11,25,90,5,233
N20001444,26,73,86,6,449
N20001445,14,43,85,7,244
N20001446,22,30,129,22,298
N20001447,13,30,103,16,208
N20001448,8,28,76,9,137
N20001449,15,39,92,13,308
N20001450,20,54,162,21,304
N20001451,8,24,56,3,213
N20001452,23,59,168,14,308
N20001453,20,32,165,14,243
N20001454,24,43,128,5,326
N20001455,14,35,82,5,197
N20001456,28,48,174,18,337
N20001457,24,39,130,30,258
N20001458,31,64,144,30,245
N20001459,43,73,270,24,462
N20001460,21,32,109,15,213
N20001461,30,46,157,36,264
N20001462,22,55,177,40,345
N20001463,9,39,99,7,169
N20001464,17,45,130,38,266
N20001465,36,40,174,39,286
N20001466,36,71,217,68,410
N20001467,10,25,62,4,213
N20001468,29,53,183,38,385
N20001469,45,61,180,22,365
N20001470,8,30,62,6,226
N20001471,18,20,88,5,227
N20001472,27,44,100,16,268
N20001473,26,58,170,18,372
N20001474,16,18,58,13,223
N20001475,31,43,121,22,304
N20001476,10,36,156,22,268
N20001477,37,64,169,49,332
N20001478,31,53,174,47,321
N20001479,29,72,166,25,410
N20001480,24,37,140,23,216
N20001481,19,54,173,27,747
N20001482,37,75,172,51,379
N20001483,11,44,87,13,238
N20001484,32,45,140,30,486
N20001485,21,48,123,32,236
N20001486,12,26,85,10,284
N20001487,10,24,89,11,261
N20001488,8,15,32,3,132
N20001489,29,50,180,25,387
N20001490,11,28,73,9,234
N20001491,41,56,219,24,333
N20001492,13,39,167,12,187
N20001493,10,20,45,6,187
N20001494,14,37,91,12,297
N20001495,7,25,40,3,198
N20001496,12,16,31,5,196
N20001497,36,47,172,18,283
N20001498,19,34,86,1,333
N20001499,12,21,48,11,215
N20001500,12,17,27,3,162
N20001501,26,65,197,14,394
N20001502,17,31,66,6,324
N20001503,27,45,122,10,220
N20001504,23,41,81,6,405
N20001505,20,54,136,11,337
N20001506,28,40,111,9,276
N20001507,17,44,73,8,371
N20001508,26,72,252,20,360
N20001509,23,30,74,10,305
N20001510,24,39,142,16,299
N20001511,27,58,161,65,315
N20001512,18,52,112,15,259
N20001513,29,56,177,34,256
N20001514,38,56,177,22,425
N20001515,18,36,83,11,288
N20001516,28,77,173,24,333
N20001517,13,29,91,21,182
N20001518,39,82,229,37,471
N20001519,7,34,53,5,204
N20001520,31,77,167,30,345
N20001521,29,46,132,30,304
N20001522,10,34,96,31,178
N20001523,16,25,96,17,270
N20001524,19,51,149,17,280
N20001525,35,45,149,43,300
N20001526,21,54,141,27,228
N20001527,34,62,163,61,341
N20001528,38,68,152,45,361
N20001529,21,46,101,26,213
N20001530,48,58,188,54,400
N20001531,13,28,74,14,185
N20001532,40,55,125,46,326
N20001533,18,32,100,44,187
N20001534,13,33,109,37,228
N20001535,8,20,64,10,187
N20001536,10,33,85,12,237
N20001537,21,32,121,33,377
N20001538,31,50,134,31,307
N20001539,26,63,236,63,346
N20001540,10,48,142,17,320
N20001541,17,31,104,28,267
N20001542,54,83,212,71,461
N20001543,39,62,172,21,415
N20001544,39,44,154,45,313
N20001545,26,41,143,30,252
N20001546,13,24,82,26,192
N20001547,38,66,143,16,511
N20001548,102,58,119,9,436
N20001549,25,59,118,15,244
N20001550,11,36,49,7,370
N20001551,13,41,61,9,211
N20001552,23,65,134,10,215
N20001553,35,56,90,8,572
N20001554,20,45,80,3,335
N20001555,23,57,123,9,285
N20001556,14,41,108,19,115
N20001557,37,76,182,24,298
N20001558,30,39,137,15,320
N20001559,13,46,69,3,299
N20001560,29,44,122,18,295
N20001561,15,35,115,19,293
N20001562,15,28,96,11,208
N20001563,17,48,76,7,371
N20001564,22,43,70,10,266
N20001565,24,38,118,8,251
N20001566,13,31,49,1,217
N20001567,21,21,102,8,312
N20001568,22,60,106,7,264
N20001569,15,36,134,11,178
N20001570,20,40,112,21,274
N20001571,5,9,26,1,144
N20001572,17,40,111,11,373
N20001573,33,64,127,14,277
N20001574,21,71,84,11,420
N20001575,15,45,89,7,282
N20001576,22,39,97,10,236
N20001577,17,21,59,6,172
N20001578,12,23,34,7,223
N20001579,5,25,61,6,165
N20001580,19,69,156,14,285
N20001581,20,43,96,10,288
N20001582,12,40,90,10,318
N20001583,22,65,127,17,221
N20001584,21,29,94,16,208
N20001585,32,54,171,15,256
N20001586,24,60,112,15,224
N20001587,40,90,210,26,343
N20001588,16,41,102,11,207
N20001589,28,59,184,26,332
N20001590,21,47,110,15,280
N20001591,16,61,170,18,331
N20001592,18,45,147,24,188
N20001593,28,53,183,15,267
N20001594,19,53,106,19,330
N20001595,20,36,56,2,212
N20001596,44,63,150,38,314
N20001597,36,75,154,73,377
N20001598,13,25,54,9,223
N20001599,26,38,102,13,195
N20001600,12,28,24,5,234
N20001601,16,47,63,12,218
N20001602,24,22,67,22,215
N20001603,20,33,72,23,226
N20001604,30,30,120,21,341
N20001605,11,35,80,7,206
N20001606,9,16,64,9,151
N20001607,23,33,86,17,289
N20001608,15,34,71,8,190
N20001609,22,33,96,18,169
N20001610,28,46,121,22,320
N20001611,30,50,101,14,333
N20001612,28,37,59,1,357
N20001613,30,49,169,19,298
N20001614,23,49,103,10,299
N20001615,27,74,184,24,357
N20001616,30,44,110,26,350
N20001617,22,51,105,43,272
N20001618,28,55,136,21,256
N20001619,13,33,94,32,216
N20001620,28,22,72,9,230
N20001621,37,44,106,24,259
N20001622,20,29,77,14,296
N20001623,26,45,119,22,261
N20001624,41,33,94,22,234
N20001625,18,20,56,9,147
N20001626,23,32,93,6,306
N20001627,31,62,152,36,358
N20001628,16,21,55,9,183
N20001629,17,22,41,6,205
N20001630,78,50,62,17,256
N20001631,27,44,102,23,269
N20001632,28,41,113,29,421
N20001633,134,72,46,6,274
N20001634,37,51,149,57,326
N20001635,56,53,154,23,320
N20001636,24,52,126,37,265
N20001637,30,39,91,29,301
N20001638,67,75,155,37,316
N20001639,31,49,145,26,302
N20001640,25,33,86,35,291
N20001641,15,26,72,24,142
N20001642,14,43,94,13,332
N20001643,15,39,93,26,194
N20001644,31,81,198,26,382
N20001645,21,50,120,39,296
N20001646,8,26,72,14,168
N20001647,19,53,119,41,305
N20001648,10,26,96,15,152
N20001649,16,42,88,21,188
N20001650,16,40,84,20,200
N20001651,15,15,16,15,80
N20001652,28,39,124,37,277
N20001653,26,49,167,34,364
N20001654,11,19,41,2,176
N20001655,23,57,166,17,317
N20001656,38,62,210,25,445
N20001657,20,32,50,17,214
N20001658,31,64,147,50,275
N20001659,14,31,76,15,225
N20001660,45,70,237,32,522
N20001661,16,29,63,8,218
N20001662,13,30,55,6,359
N20001663,28,62,107,9,404
N20001664,10,23,94,13,236
N20001665,22,47,147,40,302
N20001666,28,56,120,33,283
N20001667,20,33,106,36,233
N20001668,31,65,156,48,339
N20001669,21,39,105,29,288
N20001670,13,46,79,30,197
N20001671,9,42,81,18,272
N20001672,23,64,151,34,340
N20001673,38,44,135,36,335
N20001674,29,53,175,70,305
N20001675,20,39,161,52,325
N20001676,24,41,156,30,300
N20001677,11,28,78,10,180
N20001678,26,61,146,41,308
N20001679,22,36,88,11,212
N20001680,29,44,153,31,304
N20001681,22,47,137,31,284
N20001682,18,25,96,11,225
N20001683,42,61,238,65,393
N20001684,30,59,200,55,380
N20001685,34,62,154,46,349
N20001686,28,72,176,27,342
N20001687,33,45,160,21,296
N20001688,22,47,127,8,215
N20001689,31,73,158,31,337
N20001690,11,35,83,2,219
N20001691,20,40,63,14,281
N20001692,42,67,188,22,322
N20001693,21,55,93,9,416
N20001694,9,33,70,6,185
N20001695,14,33,86,11,267
N20001696,21,50,181,20,253
N20001697,27,47,144,13,250
N20001698,17,44,104,15,257
N20001699,31,37,101,24,324
N20001700,14,28,55,8,271
N20001701,14,17,51,9,305
N20001702,24,70,212,21,453
N20001703,10,18,33,6,149
N20001704,12,31,57,4,208
N20001705,26,40,116,26,247
N20001706,20,51,91,12,300
N20001707,27,38,79,11,262
N20001708,17,54,164,37,248
N20001709,22,48,170,20,228
N20001710,38,54,254,23,374
N20001711,12,30,89,12,193
N20001712,27,56,109,29,239
N20001713,28,61,139,25,299
N20001714,19,42,107,43,202
N20001715,34,76,258,52,421
N20001716,44,71,253,66,448
N20001717,20,21,68,19,156
N20001718,14,32,81,9,174
N20001719,25,55,186,23,273
N20001720,46,78,180,51,396
N20001721,35,49,179,21,277
N20001722,46,67,219,48,395
N20001723,27,55,182,26,385
N20001724,16,58,163,32,286
N20001725,24,56,170,43,284
N20001726,24,54,158,71,309
N20001727,31,64,170,36,284
N20001728,18,35,71,10,207
N20001729,24,81,223,18,395
N20001730,18,21,80,16,154
N20001731,40,46,194,47,336
N20001732,20,53,135,11,285
N20001733,45,97,272,20,370
N20001734,13,47,93,5,329
N20001735,15,46,121,3,244
N20001736,25,72,122,14,336
N20001737,22,25,81,5,161
N20001738,18,45,95,11,273
N20001739,25,71,139,10,360
N20001740,24,40,117,11,284
N20001741,12,16,44,4,277
N20001742,20,59,94,2,335
N20001743,6,20,64,6,142
N20001744,14,22,69,15,266
N20001745,14,30,52,3,253
N20001746,8,32,59,3,243
N20001747,11,31,59,4,376
N20001748,17,37,122,7,270
N20001749,10,27,51,2,226
N20001750,3,11,27,6,162
N20001751,16,51,87,1,344
N20001752,18,43,49,2,351
N20001753,29,61,139,10,436
N20001754,9,23,58,7,195
N20001755,22,45,70,6,353
N20001756,11,24,55,7,225
N20001757,29,59,66,2,538
N20001758,12,36,47,2,349
N20001759,14,42,54,7,327
N20001760,14,43,77,5,334
N20001761,18,40,148,14,316
N20001762,45,84,171,16,573
N20001763,14,38,45,4,379
N20001764,31,55,144,11,344
N20001765,26,62,95,9,283
N20001766,11,23,54,2,272
N20001767,40,67,202,36,394
N20001768,13,38,81,10,221
N20001769,56,94,244,25,502
N20001770,15,56,79,5,423
N20001771,31,44,127,29,364
N20001772,23,32,112,17,296
N20001773,16,47,82,12,333
N20001774,16,50,91,2,444
N20001775,8,20,56,8,211
N20001776,27,56,138,10,291
N20001777,22,44,139,19,336
N20001778,23,48,172,10,278
N20001779,29,58,98,9,397
N20001780,32,88,164,18,345
N20001781,19,36,115,8,302
N20001782,18,59,77,7,464
N20001783,15,46,141,10,204
N20001784,41,43,133,22,315
N20001785,22,53,176,11,299
N20001786,24,46,64,9,415
N20001787,14,41,65,2,241
N20001788,40,79,250,22,316
N20001789,21,24,83,8,262
N20001790,86,62,97,20,463
N20001791,17,51,155,12,326
N20001792,32,67,158,16,359
N20001793,8,26,55,8,184
N20001794,31,35,67,6,175
N20001795,37,45,100,13,317
N20001796,21,52,122,10,324
N20001797,29,30,89,14,166
N20001798,9,18,56,4,165
N20001799,25,59,149,13,386
N20001800,20,42,84,8,229
N20001801,24,23,92,11,152
N20001802,10,15,34,6,201
N20001803,31,58,193,29,326
N20001804,27,36,167,21,230
N20001805,36,62,215,28,388
N20001806,47,86,253,29,348
N20001807,30,44,221,39,290
N20001808,3,11,17,1,166
N20001809,15,50,66,16,478
N20001810,28,69,197,18,298
N20001811,17,62,65,5,539
N20001812,23,72,219,37,356
N20001813,14,49,47,2,467
N20001814,40,61,195,19,267
N20001815,12,49,39,4,476
N20001816,36,63,189,18,263
N20001817,18,43,75,12,289
N20001818,11,19,20,6,351
N20001819,18,51,91,13,406
N20001820,38,65,218,20,283
N20001821,25,47,87,7,334
N20001822,18,46,106,3,355
N20001823,11,36,38,5,343
N20001824,34,48,191,40,298
N20001825,10,31,52,3,253
N20001826,16,33,70,8,329
N20001827,24,59,75,4,384
N20001828,14,34,51,3,345
