dz_2021_code,white,irish_traveller,roma,indian,chinese,filipino,pakistani,arab,other_asian,black_african,black_other,mixed,other_ethnicities
N20000442,444,12,0,0,5,0,0,0,1,8,1,0,0
N20000443,408,0,0,18,4,3,0,0,0,1,0,8,1
N20000444,351,1,0,3,0,9,3,0,0,26,6,8,1
N20000445,460,17,0,0,11,1,0,0,0,12,0,14,5
N20000446,599,0,0,17,6,29,0,0,0,6,1,9,0
N20000447,467,0,0,0,20,0,0,0,2,11,0,19,0
N20000448,566,7,0,0,0,3,0,0,0,0,0,4,2
N20000449,380,9,0,4,0,0,6,0,0,0,7,6,1
N20000450,283,0,0,8,8,0,0,0,0,7,0,7,0
N20000451,657,0,0,19,1,33,0,0,1,5,0,7,0
N20000452,404,0,0,9,0,0,5,0,1,0,0,3,0
N20000453,570,3,0,0,0,2,6,0,0,1,1,18,0
N20000454,314,0,0,0,1,0,4,0,0,0,0,1,2
N20000455,435,0,0,7,6,0,0,0,7,4,0,2,0
N20000456,380,0,0,22,0,6,0,0,8,1,0,6,0
N20000457,546,1,0,37,5,5,0,1,0,13,2,8,1
N20000458,393,0,1,0,3,0,5,0,0,0,1,1,0
N20000459,395,0,0,4,0,6,0,0,0,7,0,4,1
N20000460,620,0,0,19,23,18,0,0,6,1,1,19,0
N20000461,604,0,0,9,5,19,0,9,1,0,0,7,2
N20000462,466,0,0,0,12,1,1,0,0,1,2,6,0
N20000463,401,0,1,0,0,0,1,0,4,0,0,6,1
N20000464,485,0,0,4,25,0,0,0,3,2,1,3,0
N20000465,241,0,0,0,0,0,0,0,0,0,0,0,0
N20000466,486,0,0,1,0,2,0,0,0,6,5,4,0
N20000467,468,0,0,0,0,0,16,0,0,0,1,0,0
N20000468,438,0,0,5,7,0,0,0,0,3,0,7,0
N20000469,561,0,0,2,0,3,0,0,1,1,0,3,1
N20000470,438,0,0,20,0,0,0,0,0,0,0,7,1
N20000471,591,0,0,0,25,0,5,0,6,0,0,4,0
N20000472,559,0,0,31,4,0,0,4,1,0,1,9,2
N20000473,444,0,0,0,0,0,16,0,1,1,0,3,0
N20000474,702,0,0,5,0,3,12,0,0,0,0,1,1
N20000475,633,0,0,3,7,0,0,0,2,0,0,3,0
N20000476,568,0,0,0,0,0,0,0,1,0,0,0,0
N20000477,562,0,0,0,0,0,0,1,2,0,1,0,0
N20000478,605,0,0,0,1,0,1,0,0,0,0,9,2
N20000479,379,0,0,0,0,0,0,0,0,0,0,3,0
N20000480,473,0,0,0,0,0,0,0,0,0,0,0,5
N20000481,661,0,0,0,0,0,0,0,0,0,0,0,0
N20000482,771,0,0,0,0,0,0,1,0,0,1,4,0
N20000483,678,0,0,0,0,0,0,0,0,0,0,4,0
N20000484,550,0,0,0,0,0,0,0,0,0,0,1,1
N20000485,632,0,0,0,0,0,0,0,0,0,0,0,0
N20000486,572,0,0,0,0,0,0,0,0,1,0,0,1
N20000487,540,0,0,0,0,0,0,0,0,0,0,0,0
N20000488,538,0,0,0,1,0,0,0,2,0,0,2,1
N20000489,440,0,0,0,0,0,0,0,1,0,0,1,0
N20000490,773,1,0,0,0,0,0,0,0,0,1,9,0
N20000491,429,0,0,0,1,4,0,0,0,0,0,3,0
N20000492,522,0,0,0,0,0,0,6,0,1,0,1,0
N20000493,587,0,0,0,0,0,0,0,0,3,0,0,0
N20000494,600,0,0,0,0,0,0,0,5,0,0,10,0
N20000495,646,0,0,0,0,0,0,0,0,0,0,4,0
N20000496,648,1,5,0,0,0,0,3,1,2,2,7,0
N20000497,459,0,0,1,0,0,0,0,0,1,2,4,0
N20000498,419,0,23,3,1,0,0,1,11,2,3,10,18
N20000499,554,2,0,0,0,0,0,0,0,0,0,0,0
N20000500,361,0,9,1,2,2,6,0,6,3,0,7,0
N20000501,543,0,0,2,0,1,0,0,0,0,0,2,0
N20000502,443,0,0,0,1,0,0,0,0,0,0,4,0
N20000503,405,1,0,0,0,0,0,0,0,0,1,0,0
N20000504,302,4,12,0,1,0,3,0,5,0,9,7,14
N20000505,325,0,4,0,0,0,0,6,5,0,2,2,0
N20000506,439,6,4,3,3,3,0,0,4,8,8,14,10
N20000507,644,0,0,0,0,4,0,0,0,4,1,6,1
N20000508,373,0,4,0,0,0,0,0,2,1,0,8,0
N20000509,315,0,5,1,0,1,0,0,10,0,1,1,0
N20000510,592,0,0,0,7,1,16,0,1,0,0,1,1
N20000511,529,0,0,0,0,0,0,0,0,0,0,6,0
N20000512,450,18,1,1,3,4,0,6,10,4,4,6,6
N20000513,371,0,0,0,0,1,0,0,0,0,6,4,2
N20000514,452,0,0,2,11,0,5,0,0,3,7,7,0
N20000515,499,0,0,0,3,1,0,0,0,5,0,15,1
N20000516,457,5,0,0,0,1,5,0,1,0,0,1,3
N20000517,483,0,0,0,2,1,0,3,0,0,0,4,0
N20000518,448,0,0,0,3,0,6,0,0,0,0,3,0
N20000519,280,4,0,0,8,0,5,3,1,4,1,6,4
N20000520,655,0,0,2,6,0,8,1,1,0,0,5,0
N20000521,655,9,0,0,0,4,0,0,0,3,2,1,1
N20000522,478,0,0,0,0,1,0,0,0,1,0,9,9
N20000523,418,5,0,1,0,1,1,0,8,6,0,4,3
N20000524,485,4,0,0,1,0,0,18,4,0,0,3,8
N20000525,389,0,0,0,2,7,0,0,1,4,1,5,0
N20000526,319,10,1,1,0,0,5,0,0,0,0,4,0
N20000527,477,0,0,5,4,9,5,0,1,7,0,5,14
N20000528,401,0,0,0,0,0,1,0,10,0,0,5,0
N20000529,445,2,0,6,0,0,5,1,0,0,0,0,0
N20000530,465,0,1,0,1,2,0,0,0,0,0,8,1
N20000531,400,1,0,0,0,0,0,0,0,1,0,5,2
N20000532,256,1,0,0,0,0,0,0,0,0,0,1,2
N20000533,324,0,0,0,5,0,0,0,0,1,0,7,0
N20000534,378,0,0,0,0,3,0,0,0,0,1,7,0
N20000535,460,0,0,0,1,0,7,0,0,5,0,8,0
N20000536,820,0,0,3,1,0,6,0,1,8,0,7,5
N20000537,474,0,0,7,4,0,5,0,1,5,0,1,1
N20000538,649,5,0,0,0,4,0,0,0,1,6,23,1
N20000539,429,1,0,0,1,1,0,0,0,0,0,0,0
N20000540,433,0,0,4,0,0,0,0,0,0,4,7,5
N20000541,486,0,0,0,0,0,0,0,0,0,0,0,0
N20000542,481,0,0,5,3,0,0,0,0,0,0,4,1
N20000543,500,0,0,0,0,0,0,0,0,0,0,5,2
N20000544,530,0,0,0,0,5,0,0,0,0,0,5,0
N20000545,443,0,0,0,1,0,0,0,1,0,0,5,0
N20000546,294,0,0,0,1,0,0,0,0,1,0,1,0
N20000547,537,0,0,0,0,0,0,0,4,3,0,4,0
N20000548,473,0,6,4,0,0,0,0,0,0,0,5,0
N20000549,620,0,0,0,6,0,0,0,0,0,2,4,6
N20000550,484,0,0,0,4,4,0,0,0,0,0,6,0
N20000551,613,0,0,2,0,0,0,0,1,0,0,6,2
N20000552,614,0,2,0,0,0,0,0,4,0,0,4,0
N20000553,699,0,0,0,0,0,0,1,3,0,0,6,2
N20000554,474,2,0,0,0,0,0,0,0,0,1,0,0
N20000555,507,0,0,1,1,0,0,0,0,0,0,4,0
N20000556,316,0,0,0,0,0,1,0,3,0,0,0,1
N20000557,424,0,0,0,8,4,0,0,1,0,0,3,0
N20000558,708,0,0,1,3,0,0,0,0,0,0,3,0
N20000559,451,0,0,0,7,0,0,0,4,0,0,0,0
N20000560,321,0,0,0,1,0,0,0,0,0,0,0,0
N20000561,771,1,0,0,0,0,0,0,1,1,0,2,0
N20000562,435,0,0,0,0,0,0,0,0,0,0,0,0
N20000563,687,0,0,0,2,0,0,0,3,0,1,7,1
N20000564,552,0,0,0,0,1,0,0,0,1,0,5,1
N20000565,558,0,0,0,0,0,0,0,0,3,1,10,0
N20000566,490,3,0,0,0,0,0,0,0,1,0,4,0
N20000567,681,0,0,0,0,1,0,0,0,0,0,2,0
N20000568,531,0,0,0,0,0,0,0,1,0,0,3,0
N20000569,678,1,0,0,2,0,0,0,0,0,0,3,0
N20000570,423,0,0,0,0,5,1,0,0,0,0,5,0
N20000571,610,0,0,3,0,1,0,0,0,4,0,1,0
N20000572,726,0,0,7,0,0,0,0,0,0,0,0,0
N20000573,712,0,0,1,2,0,0,0,2,0,0,6,3
N20000574,713,0,0,3,0,5,0,0,0,0,0,6,0
N20000575,587,0,1,0,0,0,0,0,0,1,0,4,1
N20000576,597,0,0,0,0,0,0,0,0,0,0,0,0
N20000577,483,1,0,0,1,0,0,0,0,0,0,3,0
N20000578,599,0,0,0,1,1,0,0,0,0,0,2,0
N20000579,604,0,0,0,1,0,0,0,0,0,0,3,0
N20000580,782,1,0,0,1,1,0,0,0,0,2,8,0
N20000581,415,0,0,0,0,0,0,0,0,0,0,6,0
N20000582,637,0,0,1,1,0,0,0,0,0,0,11,0
N20000583,517,0,0,0,0,0,0,0,0,0,0,0,0
N20000584,664,4,0,0,0,0,0,0,0,4,0,9,4
N20000585,469,0,0,0,0,1,0,0,0,0,0,5,4
N20000586,546,0,0,0,0,0,0,0,0,0,0,0,0
N20000587,734,0,0,1,4,0,0,2,1,0,0,0,4
N20000588,553,0,0,0,0,0,0,0,2,0,0,1,0
N20000589,453,0,1,0,0,0,1,0,1,0,0,0,1
N20000590,450,0,0,0,0,0,0,0,0,1,0,2,1
N20000591,448,0,0,0,0,0,0,0,0,1,1,1,0
N20000592,653,0,0,0,0,0,0,0,1,0,0,0,0
N20000593,606,0,0,0,0,0,0,0,0,0,0,2,0
N20000594,408,0,0,0,0,1,0,0,0,0,0,0,0
N20000595,602,0,0,0,0,1,0,0,2,1,0,6,3
N20000596,453,0,0,0,0,0,0,0,0,1,0,0,0
N20000597,327,0,0,0,0,0,0,0,2,0,0,2,5
N20000598,478,5,5,0,0,0,0,0,1,3,3,1,0
N20000599,482,0,0,0,0,1,0,0,0,0,0,7,1
N20000600,541,0,0,0,0,0,0,1,0,0,0,0,0
N20000601,431,0,0,0,0,0,0,0,2,2,3,6,0
N20000602,465,0,0,2,1,0,0,0,0,0,0,5,0
N20000603,594,0,0,5,1,0,4,0,1,0,0,0,0
N20000604,297,0,0,0,0,3,0,0,0,0,0,2,0
N20000605,391,0,0,0,0,0,0,0,0,0,0,0,0
N20000606,399,0,0,0,0,0,0,0,0,1,0,0,0
N20000607,298,0,0,0,0,0,0,0,0,3,0,3,1
N20000608,432,0,0,4,0,0,0,0,1,0,0,12,0
N20000609,616,0,0,0,8,0,6,1,0,0,0,1,0
N20000610,524,0,0,0,0,0,2,0,1,6,0,6,0
N20000611,402,0,0,1,2,0,1,0,0,1,1,2,1
N20000612,433,0,0,0,0,1,8,3,6,0,0,1,3
N20000613,322,0,1,1,0,0,0,0,0,2,0,1,1
N20000614,782,0,0,0,0,0,0,0,0,0,0,1,0
N20000615,372,18,0,1,7,1,1,0,0,5,0,6,1
N20000616,327,1,0,0,8,1,0,0,0,5,0,0,1
N20000617,326,0,0,0,1,0,0,0,1,0,1,1,0
N20000618,397,6,0,0,10,0,3,0,0,1,1,1,1
N20000619,378,0,10,0,0,0,0,0,0,2,0,0,0
N20000620,587,4,0,0,0,0,4,5,0,7,0,3,2
N20000621,797,0,0,0,0,0,0,0,0,0,0,8,0
N20000622,459,0,0,0,0,0,1,0,0,0,0,0,0
N20000623,510,6,0,0,5,0,0,0,0,1,0,8,0
N20000624,277,0,0,3,3,0,0,0,10,0,0,5,0
N20000625,479,21,0,8,5,1,0,0,3,3,1,8,0
N20000626,459,0,0,0,3,0,0,0,0,0,1,1,0
N20000627,519,0,0,1,2,0,0,0,0,0,0,2,0
N20000628,451,2,0,0,9,0,0,0,1,0,0,2,0
N20000629,474,0,0,0,0,0,0,0,0,0,0,0,0
N20000630,384,0,0,0,0,0,0,0,13,0,0,5,0
N20000631,366,0,0,0,4,0,0,0,4,0,0,3,0
N20000632,423,0,0,0,0,1,0,0,0,1,1,4,0
N20000633,396,0,0,0,0,0,0,0,1,6,0,3,0
N20000634,386,0,0,3,0,1,0,0,0,1,1,3,0
N20000635,634,0,0,0,6,0,0,0,0,0,2,5,0
N20000636,557,3,0,0,0,0,0,0,3,0,1,5,0
N20000637,561,0,0,0,5,0,0,0,4,0,0,4,0
N20000638,475,0,0,0,6,0,0,0,0,0,0,0,0
N20000639,526,0,0,0,0,0,0,0,0,0,0,4,0
N20000640,717,0,0,0,0,1,0,0,0,0,0,3,0
N20000641,706,0,0,0,3,5,0,6,1,0,0,6,1
N20000642,412,0,0,0,0,1,0,0,0,0,0,7,0
N20000643,521,0,0,1,0,0,0,0,0,0,0,3,1
N20000644,385,0,0,0,0,0,0,0,0,0,1,3,0
N20000645,652,0,0,1,0,0,0,0,0,0,0,4,0
N20000646,549,0,0,4,0,0,0,0,0,0,0,4,0
N20000647,522,0,0,0,0,0,0,0,0,0,0,1,0
N20000648,601,0,0,0,0,0,0,0,1,1,0,2,0
N20000649,766,0,0,3,0,0,0,0,3,1,1,3,0
N20000650,383,0,0,0,0,1,0,0,0,0,3,2,1
N20000651,756,0,0,0,1,0,0,1,0,0,0,4,0
N20000652,574,0,0,0,0,0,0,0,0,1,0,4,1
N20000653,687,0,0,0,0,0,0,0,0,1,0,0,0
N20000654,469,0,1,0,0,0,0,0,1,6,0,5,0
N20000655,433,0,1,0,0,0,0,0,0,0,0,2,0
N20000656,302,0,0,0,0,0,0,0,0,0,0,0,0
N20000657,663,0,0,0,0,0,0,0,0,0,0,3,0
N20000658,504,0,0,0,1,0,0,0,0,0,0,0,0
N20000659,413,1,0,1,3,0,0,0,0,0,0,0,0
N20000660,557,0,0,2,3,1,2,0,0,11,0,1,0
N20000661,551,0,0,0,8,0,1,0,0,1,0,3,0
N20000662,459,0,0,0,0,0,0,0,1,0,0,0,2
N20000663,458,0,0,0,0,0,0,0,0,7,0,4,0
N20000664,605,1,0,0,2,0,0,1,1,0,0,1,0
N20000665,484,0,0,0,1,0,0,0,1,0,0,3,0
N20000666,424,0,0,4,0,0,0,0,1,0,0,3,0
N20000667,346,0,0,0,0,0,2,0,0,0,0,0,0
N20000668,215,0,0,0,0,0,0,0,0,5,1,4,0
N20000669,463,0,0,0,0,0,0,1,0,0,1,3,0
N20000670,474,0,0,0,0,0,0,0,0,4,0,7,0
N20000671,661,0,0,0,5,0,0,0,1,0,0,6,0
N20000672,325,0,0,0,0,0,0,1,1,0,1,0,0
N20000673,590,0,0,0,0,1,0,0,1,0,0,0,1
N20000674,537,0,0,0,1,0,0,0,0,0,0,5,3
N20000675,570,0,0,0,0,2,0,0,0,3,1,2,0
N20000676,668,0,0,0,0,0,0,0,0,0,0,7,0
N20000677,343,0,0,0,0,0,0,0,0,0,0,4,1
N20000678,601,0,0,4,0,0,0,0,0,0,1,1,0
N20000679,765,0,0,1,1,0,0,0,0,0,0,4,0
N20000680,448,0,0,0,2,0,0,0,0,0,0,4,0
N20000681,655,0,0,0,0,0,0,0,0,0,0,6,0
N20000682,478,0,0,2,0,0,0,0,0,5,0,10,0
N20000683,419,0,0,0,0,0,0,0,0,0,0,3,0
N20000684,369,0,2,0,6,0,0,0,0,2,0,0,1
N20000685,773,0,0,0,0,0,0,0,1,0,0,0,1
N20000686,415,0,0,0,0,1,0,0,0,0,0,1,0
N20000687,496,0,0,0,0,4,0,0,3,0,0,2,1
N20000688,656,0,0,0,0,0,0,0,0,3,0,4,5
N20000689,691,0,0,0,0,1,0,0,0,0,0,12,0
N20000690,593,0,0,0,0,0,3,0,3,0,0,1,1
N20000691,533,0,0,0,1,0,0,0,0,0,0,0,0
N20000692,835,0,0,4,1,0,0,0,0,0,0,5,0
N20000693,473,0,0,0,0,0,0,0,0,1,0,2,0
N20000694,708,0,0,0,0,0,0,0,1,0,1,4,1
N20000695,694,0,0,6,0,0,0,0,0,0,0,4,0
N20000696,414,0,0,0,0,2,0,0,0,0,0,7,0
N20000697,620,0,0,2,3,0,0,0,0,1,0,6,3
N20000698,247,0,0,0,0,0,0,0,0,0,0,1,0
N20000699,559,0,1,0,0,0,0,0,0,2,0,0,0
N20000700,586,0,0,1,0,0,0,0,1,1,1,8,2
N20000701,747,0,0,0,0,0,0,0,0,0,0,1,0
N20000702,500,0,0,0,0,0,0,0,0,0,0,0,1
N20000703,613,0,0,0,0,0,0,0,0,0,0,0,1
N20000704,394,0,0,0,0,0,1,0,0,0,0,4,0
N20000705,439,5,0,0,0,3,0,0,3,0,0,5,1
N20000706,764,0,1,0,1,0,0,0,0,0,0,1,0
N20000707,535,0,0,0,0,0,0,0,0,0,0,1,1
N20000708,564,0,0,0,0,0,0,0,0,0,0,0,1
N20000709,734,0,0,0,0,0,0,0,1,0,1,0,0
N20000710,867,0,0,1,4,0,0,0,1,0,0,1,0
N20000711,733,0,0,1,12,0,0,1,9,3,0,5,0
N20000712,429,1,0,8,4,11,0,0,7,6,0,9,0
N20000713,542,0,0,0,9,14,0,0,1,7,0,10,0
N20000714,247,0,0,0,0,0,0,0,0,0,0,0,1
N20000715,559,1,0,5,1,0,1,0,0,5,0,9,0
N20000716,586,0,0,0,1,14,1,0,10,1,0,12,1
N20000717,580,0,0,0,3,0,0,0,0,4,0,5,0
N20000718,442,0,0,0,0,0,1,0,0,4,0,0,2
N20000719,510,1,1,1,1,0,0,0,2,3,0,7,0
N20000720,367,0,0,5,3,5,0,1,1,0,1,5,1
N20000721,318,0,0,0,7,28,0,0,0,0,0,4,2
N20000722,393,0,1,4,0,3,0,1,2,0,0,8,0
N20000723,538,0,0,4,4,7,1,0,3,7,0,6,1
N20000724,415,0,0,0,7,7,0,0,0,4,1,11,1
N20000725,349,0,0,0,0,7,0,5,0,7,1,1,2
N20000726,509,0,1,0,0,4,5,4,1,5,2,5,0
N20000727,381,0,0,5,1,0,0,0,0,0,0,3,0
N20000728,413,0,0,0,1,11,0,0,0,0,1,1,0
N20000729,348,0,0,1,7,0,0,0,0,1,0,2,0
N20000730,663,0,0,1,0,11,7,0,0,13,0,7,0
N20000731,516,0,0,31,8,137,7,0,0,6,1,13,9
N20000732,508,0,0,0,1,0,0,0,6,0,0,0,1
N20000733,579,0,0,0,1,0,0,0,3,0,0,3,5
N20000734,346,0,0,5,2,3,0,0,0,0,0,1,1
N20000735,515,0,0,0,2,0,0,1,0,0,0,0,0
N20000736,385,0,0,0,4,0,0,0,4,12,0,7,15
N20000737,460,0,0,0,0,12,6,0,0,7,2,3,1
N20000738,421,0,0,2,9,0,0,3,4,21,1,5,1
N20000739,304,0,0,0,0,0,0,0,0,0,0,5,0
N20000740,435,0,0,0,0,0,0,0,0,0,0,0,2
N20000741,431,0,0,0,1,1,0,3,1,6,0,4,1
N20000742,358,1,0,6,0,3,0,1,0,7,5,8,0
N20000743,427,0,0,3,8,1,0,0,0,4,0,6,0
N20000744,473,0,0,0,0,5,0,0,2,1,0,7,6
N20000745,340,3,6,17,0,0,0,2,3,20,1,7,2
N20000746,646,0,0,0,3,0,0,5,0,6,0,8,5
N20000747,356,2,0,3,0,0,0,0,0,9,8,10,0
N20000748,655,5,0,0,0,0,0,5,0,15,0,7,0
N20000749,593,1,0,1,0,2,0,0,7,23,4,17,0
N20000750,507,0,1,0,0,0,3,0,2,11,0,5,1
N20000751,411,1,1,0,4,0,0,0,0,9,0,0,1
N20000752,386,0,0,0,0,0,0,0,0,4,0,3,0
N20000753,479,0,0,0,0,0,0,8,0,0,0,3,0
N20000754,204,0,0,0,3,0,1,0,0,5,0,6,1
N20000755,491,6,0,0,1,1,0,0,0,0,1,2,0
N20000756,430,0,0,1,4,0,0,0,0,17,0,7,2
N20000757,380,0,0,4,0,0,0,11,0,32,0,10,5
N20000758,552,0,0,0,5,0,0,0,0,0,0,0,5
N20000759,344,0,0,5,10,0,0,0,0,53,3,11,3
N20000760,401,0,0,0,1,0,0,0,0,9,0,3,0
N20000761,521,0,0,0,0,0,0,0,0,0,0,7,1
N20000762,368,0,5,0,0,0,0,0,2,0,2,0,0
N20000763,364,0,0,3,0,0,0,0,0,3,0,3,0
N20000764,334,4,0,4,8,0,0,0,1,37,0,2,5
N20000765,359,0,0,0,1,0,0,1,0,0,0,6,3
N20000766,285,1,0,0,0,0,0,0,0,33,0,3,3
N20000767,553,0,0,0,0,0,0,0,0,3,0,6,1
N20000768,479,3,0,0,0,0,0,0,1,0,0,1,0
N20000769,419,6,0,0,10,0,0,3,0,31,2,8,4
N20000770,553,0,0,5,3,0,0,6,0,4,1,5,0
N20000771,389,0,6,0,0,1,0,0,1,4,1,8,7
N20000772,195,0,0,1,2,2,0,3,4,14,0,0,0
N20000773,413,0,0,1,0,0,0,0,0,7,1,5,0
N20000774,212,0,0,0,0,2,0,0,0,9,0,2,1
N20000775,425,0,0,1,0,2,0,0,0,1,4,6,2
N20000776,491,0,0,4,0,0,0,1,2,22,1,6,8
N20000777,217,0,0,0,0,0,0,0,0,2,0,3,3
N20000778,240,0,0,0,0,0,0,0,0,0,3,10,1
N20000779,316,0,0,0,5,0,0,0,5,10,0,8,1
N20000780,154,0,0,2,0,0,0,0,0,4,3,0,0
N20000781,409,0,0,9,0,0,0,0,0,0,0,1,0
N20000782,392,0,0,0,0,0,1,0,0,7,1,0,0
N20000783,534,0,0,3,0,3,0,3,0,20,1,13,4
N20000784,369,0,0,0,2,1,0,1,1,6,0,2,1
N20000785,462,1,0,0,0,0,0,0,0,0,0,7,0
N20000786,246,0,1,6,1,0,1,0,0,20,0,3,1
N20000787,505,0,0,0,0,0,0,0,0,7,1,4,0
N20000788,723,0,0,0,0,0,1,1,0,5,1,3,1
N20000789,438,0,0,0,4,0,0,1,0,0,0,7,0
N20000790,443,0,0,1,1,4,6,0,1,5,0,11,0
N20000791,480,0,0,4,1,7,0,1,3,1,0,5,2
N20000792,431,0,0,0,0,2,0,0,0,0,0,5,0
N20000793,507,0,0,0,0,0,0,0,7,1,0,10,0
N20000794,551,0,0,1,0,5,0,0,0,7,0,5,1
N20000795,615,0,0,1,3,15,4,0,3,0,0,5,5
N20000796,709,0,0,1,1,0,0,0,0,0,0,3,0
N20000797,506,0,0,1,6,1,0,0,0,4,0,13,0
N20000798,471,0,0,0,5,10,2,0,1,5,0,3,1
N20000799,555,0,0,0,0,2,0,1,0,0,1,3,0
N20000800,562,0,0,0,12,0,0,0,0,6,1,13,2
N20000801,488,0,1,0,0,8,0,0,0,2,1,0,0
N20000802,512,0,0,5,6,3,0,0,0,0,0,0,0
N20000803,531,0,1,0,0,0,0,0,0,1,2,3,6
N20000804,339,0,0,0,1,1,0,0,0,2,0,0,1
N20000805,555,0,0,3,4,0,0,0,0,0,7,3,0
N20000806,466,0,0,5,0,0,0,0,0,0,0,5,0
N20000807,594,0,0,6,0,0,0,0,2,0,0,1,1
N20000808,513,0,0,5,2,0,0,0,1,0,0,0,0
N20000809,540,0,0,6,10,0,0,0,1,0,0,1,1
N20000810,415,0,0,0,0,5,0,0,0,1,0,5,3
N20000811,614,0,0,6,14,5,1,0,0,2,0,1,1
N20000812,308,0,0,5,0,0,0,0,1,0,0,5,0
N20000813,246,0,0,0,0,0,0,0,0,1,0,0,0
N20000814,331,1,0,0,0,0,0,0,0,0,0,6,0
N20000815,364,0,0,5,0,0,0,0,0,0,0,0,3
N20000816,604,0,0,3,1,0,0,0,1,0,0,2,0
N20000817,720,1,0,11,0,2,0,0,0,0,1,2,10
N20000818,413,0,1,10,0,0,0,0,6,3,1,7,1
N20000819,348,0,0,0,1,0,0,0,0,6,0,1,0
N20000820,426,0,0,3,4,0,4,0,0,0,0,6,0
N20000821,282,3,0,4,1,6,1,0,0,6,1,14,0
N20000822,231,0,0,3,0,0,0,0,0,3,1,5,1
N20000823,492,0,0,0,0,1,0,0,0,1,3,4,0
N20000824,599,0,0,1,0,0,0,0,6,19,1,7,3
N20000825,282,1,0,0,10,0,0,5,6,9,0,7,0
N20000826,278,0,0,11,0,8,0,0,3,0,0,7,1
N20000827,502,1,0,0,0,0,0,0,0,0,0,12,1
N20000828,310,0,0,1,0,17,0,0,0,3,1,7,1
N20000829,273,0,0,8,4,11,3,0,1,15,3,1,5
N20000830,352,0,0,9,3,0,0,0,1,0,0,9,2
N20000831,481,0,0,6,0,18,0,5,1,4,0,5,3
N20000832,285,1,0,0,2,6,0,0,0,11,0,5,0
N20000833,488,1,0,3,0,4,1,7,2,10,0,5,0
N20000834,321,0,0,4,0,0,3,0,0,7,2,4,0
N20000835,667,1,0,1,0,21,0,0,3,20,0,3,5
N20000836,439,0,2,3,10,0,0,8,4,18,0,8,4
N20000837,528,0,0,8,6,8,0,0,13,10,4,0,0
N20000838,426,0,0,0,6,0,0,5,0,12,0,14,0
N20000839,346,1,0,7,2,0,0,0,0,0,1,2,0
N20000840,342,0,5,0,4,5,0,0,5,3,1,12,4
N20000841,784,0,0,48,10,0,0,0,9,20,3,11,6
N20000842,269,0,0,1,11,6,1,3,5,14,0,9,1
N20000843,302,0,5,4,0,0,0,1,3,11,3,4,11
N20000844,500,0,0,0,0,12,0,0,0,0,0,7,1
N20000845,304,0,8,8,4,1,0,0,0,10,1,2,6
N20000846,393,0,0,0,0,0,0,4,0,9,4,3,0
N20000847,268,0,7,7,5,1,0,0,1,17,0,4,3
N20000848,459,1,5,2,0,1,0,0,1,1,1,6,0
N20000849,498,0,0,11,0,1,6,0,0,40,5,10,3
N20000850,257,0,0,2,0,0,0,0,0,14,0,5,4
N20000851,453,0,0,0,2,0,0,0,0,7,1,4,0
N20000852,401,0,0,0,0,0,0,0,0,30,0,9,0
N20000853,481,0,0,5,4,0,0,0,0,30,9,3,0
N20000854,207,0,0,65,9,4,2,13,9,6,0,9,6
N20000855,1145,0,0,108,107,11,14,20,23,29,1,26,13
N20000856,432,0,0,0,2,0,0,0,0,7,0,1,1
N20000857,371,0,0,139,20,3,4,6,4,3,0,13,5
N20000858,414,0,0,3,0,1,0,0,2,3,1,3,4
N20000859,352,0,0,1,4,1,0,0,5,2,1,8,1
N20000860,478,0,0,5,0,0,3,0,0,0,0,4,1
N20000861,399,0,0,0,1,0,0,0,5,1,1,2,3
N20000862,450,0,0,0,4,5,0,0,0,4,0,7,0
N20000863,312,0,0,0,2,0,0,0,0,0,0,5,0
N20000864,187,0,0,0,0,1,0,0,0,0,0,1,3
N20000865,372,0,0,3,4,1,1,0,0,0,0,13,1
N20000866,349,0,0,13,5,5,3,0,0,4,4,16,0
N20000867,363,0,0,0,2,0,0,0,1,3,0,24,0
N20000868,335,1,0,0,0,1,0,0,0,6,0,32,0
N20000869,370,0,0,0,6,0,0,0,0,0,0,12,0
N20000870,400,0,0,0,5,0,0,2,0,0,0,0,0
N20000871,386,0,0,0,3,4,0,0,0,3,0,6,0
N20000872,424,0,7,3,0,7,0,0,3,3,0,12,1
N20000873,317,0,0,0,0,0,0,0,0,1,3,6,0
N20000874,304,0,0,0,0,0,0,0,0,5,0,3,0
N20000875,439,0,0,8,5,0,0,0,0,1,0,4,1
N20000876,239,0,0,0,1,4,0,0,3,0,0,8,1
N20000877,500,0,1,0,11,0,1,1,0,4,2,7,1
N20000878,304,1,0,12,12,2,3,1,5,6,0,5,0
N20000879,253,0,0,4,2,0,1,0,0,0,0,5,0
N20000880,398,2,0,9,0,1,0,0,0,0,0,8,1
N20000881,437,0,0,1,9,12,0,0,0,3,0,5,0
N20000882,263,0,0,191,9,0,5,7,3,3,0,13,5
N20000883,351,0,0,6,7,3,0,0,0,4,2,0,0
N20000884,278,1,1,1,0,1,0,0,1,11,1,9,0
N20000885,359,0,0,5,3,3,2,0,2,3,0,12,0
N20000886,443,0,0,0,1,0,0,0,1,0,1,9,0
N20000887,624,0,0,4,0,0,0,0,0,3,0,4,2
N20000888,472,0,5,5,5,11,4,0,7,3,0,11,0
N20000889,275,0,0,0,0,0,0,0,0,0,0,5,0
N20000890,454,0,0,11,7,1,0,0,0,0,1,4,1
