dz_2021_code,catholic,presbyterian_church_in_ireland,church_of_ireland,methodist_church_in_ireland,other_christian_including_christian_related,other_religions,no_religion,religion_not_stated
N20000149,97,134,111,26,37,15,184,12
N20000150,3,115,60,19,41,2,75,4
N20000151,76,181,95,43,44,11,152,8
N20000152,92,77,40,13,23,25,95,3
N20000153,14,162,112,40,57,9,143,13
N20000154,15,309,107,54,64,10,217,10
N20000155,11,99,66,28,29,1,119,3
N20000156,71,218,62,37,69,5,201,9
N20000157,93,257,61,33,53,7,168,4
N20000158,76,148,111,26,33,20,174,8
N20000159,3,84,80,38,41,0,134,5
N20000160,99,85,63,11,41,5,54,7
N20000161,127,78,60,14,66,18,181,3
N20000162,115,186,122,34,73,13,180,25
N20000163,84,131,65,26,60,11,150,4
N20000164,145,162,37,36,35,0,153,2
N20000165,31,89,88,29,71,12,140,2
N20000166,77,88,47,13,30,6,125,8
N20000167,60,79,41,12,31,3,78,3
N20000168,18,144,53,56,29,0,125,3
N20000169,236,37,36,7,14,5,82,12
N20000170,21,104,61,25,56,21,175,14
N20000171,63,98,51,27,66,10,133,8
N20000172,194,61,39,18,42,35,200,6
N20000173,266,128,55,22,29,11,112,16
N20000174,13,221,97,25,86,3,167,11
N20000175,83,109,35,12,34,15,148,7
N20000176,29,96,52,23,41,8,158,4
N20000177,150,36,25,5,28,12,95,2
N20000178,219,48,34,17,16,10,88,10
N20000179,72,142,60,47,67,24,161,17
N20000180,7,165,84,33,63,2,125,4
N20000181,23,121,86,52,44,5,122,9
N20000182,16,209,102,55,69,2,200,27
N20000183,16,131,70,31,55,8,107,5
N20000184,6,95,69,37,32,4,167,6
N20000185,16,62,29,12,33,8,79,2
N20000186,52,37,17,13,20,3,61,0
N20000187,14,104,64,48,34,3,93,11
N20000188,104,122,84,35,31,12,101,12
N20000189,5,182,88,69,60,6,150,12
N20000190,15,124,58,20,35,3,103,0
N20000191,22,113,56,31,69,9,101,6
N20000192,9,86,35,29,25,0,67,8
N20000193,9,84,39,28,18,4,52,5
N20000194,9,93,62,23,52,4,108,6
N20000195,21,162,87,71,50,1,123,15
N20000196,7,63,36,25,28,0,51,6
N20000197,10,42,25,41,20,5,63,3
N20000198,11,92,72,23,48,9,94,10
N20000199,8,151,93,59,52,1,140,6
N20000200,29,157,67,95,62,4,140,4
N20000201,202,104,61,22,35,3,124,16
N20000202,6,77,73,79,36,1,120,6
N20000203,107,52,25,10,17,18,85,0
N20000204,98,68,32,16,23,13,124,6
N20000205,52,63,41,18,19,10,113,3
N20000206,53,59,45,15,28,3,76,5
N20000207,384,8,14,0,8,3,25,5
N20000208,381,14,8,7,8,3,57,6
N20000209,406,13,9,0,9,6,51,6
N20000210,539,24,5,3,10,2,52,24
N20000211,148,134,71,28,43,10,178,5
N20000212,11,185,57,21,30,0,202,7
N20000213,26,110,41,23,34,1,155,1
N20000214,31,139,45,21,27,0,55,4
N20000215,111,118,75,20,41,10,122,1
N20000216,30,84,47,17,22,7,66,7
N20000217,81,202,81,23,36,12,156,4
N20000218,81,182,62,48,58,9,137,8
N20000219,311,78,59,41,55,38,132,8
N20000220,75,155,50,22,36,0,90,6
N20000221,77,137,63,43,58,11,128,8
N20000222,80,144,47,35,32,14,120,13
N20000223,126,116,37,53,25,8,127,2
N20000224,160,120,43,23,20,6,85,2
N20000225,19,78,31,24,30,8,105,11
N20000226,142,125,77,36,42,18,150,15
N20000227,145,111,57,32,24,15,100,3
N20000228,58,104,48,36,44,12,122,2
N20000229,49,100,52,57,38,9,145,11
N20000230,139,102,58,30,32,0,161,2
N20000231,207,94,33,18,8,25,95,9
N20000232,145,22,19,17,32,4,73,5
N20000233,242,53,43,14,24,7,81,14
N20000234,206,47,19,9,27,11,98,5
N20000235,161,41,42,17,21,23,62,2
N20000236,145,71,50,21,29,15,99,10
N20000237,115,82,38,33,17,9,116,5
N20000238,368,35,33,11,21,6,105,5
N20000239,191,83,45,18,39,10,75,3
N20000240,166,33,26,7,15,11,84,6
N20000241,69,89,15,17,23,23,54,2
N20000242,96,103,54,25,22,17,133,1
N20000243,227,19,12,3,9,6,73,5
N20000244,489,34,25,9,13,8,97,17
N20000245,332,3,8,0,2,0,47,6
N20000246,390,19,18,7,10,4,86,10
N20000247,301,17,10,13,21,10,78,7
N20000248,64,53,40,13,25,1,72,2
N20000249,281,5,15,4,5,3,37,3
N20000250,314,17,4,1,2,0,43,9
N20000251,579,17,15,8,25,3,63,4
N20000252,358,13,9,11,8,4,46,1
N20000253,425,54,24,7,13,0,85,9
N20000254,376,33,16,2,12,0,53,8
N20000255,429,12,6,0,29,15,44,10
N20000256,444,15,15,6,6,10,56,12
N20000257,41,117,42,9,19,5,61,13
N20000258,67,179,68,7,65,6,122,2
N20000259,63,241,79,15,42,11,130,7
N20000260,93,215,116,7,40,11,164,9
N20000261,69,428,64,18,109,0,194,11
N20000262,93,204,61,26,120,11,127,9
N20000263,81,198,64,7,49,15,137,9
N20000264,156,121,71,8,82,22,213,10
N20000265,172,101,40,17,60,5,134,9
N20000266,55,128,41,4,57,5,83,3
N20000267,477,80,39,22,46,9,131,4
N20000268,176,190,87,13,50,4,122,24
N20000269,100,185,92,52,83,1,120,17
N20000270,231,16,15,1,20,6,59,2
N20000271,282,28,27,10,52,0,112,0
N20000272,385,42,28,4,25,7,165,1
N20000273,303,19,5,1,3,5,67,2
N20000274,46,249,64,17,65,2,87,5
N20000275,267,48,21,7,17,7,122,2
N20000276,388,21,16,2,31,5,130,6
N20000277,371,9,4,0,4,7,37,0
N20000278,76,196,48,13,73,0,110,7
N20000279,290,102,64,15,184,26,640,12
N20000280,86,238,70,34,80,4,135,10
N20000281,222,156,81,35,49,1,116,5
N20000282,211,57,54,10,20,0,72,4
N20000283,512,51,33,5,13,4,125,6
N20000284,445,36,21,0,8,3,94,9
N20000285,213,210,55,8,56,4,97,9
N20000286,419,15,19,0,7,0,58,2
N20000287,620,7,16,1,19,4,67,4
N20000288,281,56,56,1,9,11,60,7
N20000289,243,30,13,0,5,9,46,10
N20000290,210,21,16,1,14,0,33,7
N20000291,210,33,33,2,4,2,29,5
N20000292,445,8,13,2,9,0,75,10
N20000293,313,62,42,9,18,0,88,2
N20000294,599,10,15,0,8,3,84,5
N20000295,441,45,121,27,19,4,41,5
N20000296,304,91,81,14,30,2,25,11
N20000297,541,0,7,0,44,2,35,7
N20000298,583,13,24,0,11,0,26,8
N20000299,379,62,57,13,8,0,28,2
N20000300,406,5,26,5,15,7,19,1
N20000301,518,24,56,9,35,9,57,7
N20000302,456,65,152,5,37,1,42,14
N20000303,600,2,5,0,15,5,38,5
N20000304,300,25,81,0,27,2,65,8
N20000305,133,151,164,13,58,2,47,1
N20000306,287,82,89,12,25,3,37,1
N20000307,198,53,86,1,22,3,48,5
N20000308,212,13,51,3,65,6,72,15
N20000309,523,10,13,1,46,1,67,24
N20000310,264,36,62,9,26,10,28,5
N20000311,307,41,42,0,39,7,75,8
N20000312,517,22,24,5,22,16,52,34
N20000313,281,6,4,5,44,6,74,20
N20000314,92,51,95,5,19,28,54,11
N20000315,184,50,64,10,33,3,122,44
N20000316,399,0,3,1,35,9,42,9
N20000317,576,18,17,2,23,5,53,17
N20000318,441,5,8,1,17,0,44,11
N20000319,172,7,12,4,27,5,28,8
N20000320,110,43,105,4,76,5,131,32
N20000321,288,4,1,0,10,0,22,6
N20000322,415,6,3,0,9,9,24,8
N20000323,161,2,0,1,21,0,44,2
N20000324,158,32,49,1,31,5,82,4
N20000325,184,62,54,1,38,6,56,9
N20000326,44,71,224,8,45,14,118,6
N20000327,491,3,1,1,15,1,24,5
N20000328,147,31,28,4,30,3,78,6
N20000329,683,5,9,2,20,7,67,15
N20000330,440,18,13,0,10,0,62,18
N20000331,467,14,14,0,28,3,44,2
N20000332,286,56,51,4,14,13,60,13
N20000333,196,57,125,3,29,1,65,13
N20000334,269,55,101,8,43,6,80,8
N20000335,312,8,9,2,5,2,44,6
N20000336,309,41,52,1,19,7,31,5
N20000337,310,44,47,0,11,5,62,3
N20000338,99,129,90,11,58,0,17,2
N20000339,340,44,62,9,23,4,78,1
N20000340,162,132,152,13,43,0,35,6
N20000341,461,86,51,5,24,2,44,5
N20000342,359,8,7,0,21,4,10,6
N20000343,366,117,98,1,48,4,29,7
N20000344,324,132,50,3,40,0,29,5
N20000345,434,43,22,4,50,1,10,7
N20000346,410,130,26,2,39,11,36,4
N20000347,420,43,15,0,20,1,10,9
N20000348,449,9,2,0,31,0,27,7
N20000349,380,14,7,0,14,1,46,8
N20000350,545,15,5,4,7,7,39,5
N20000351,356,0,6,0,22,5,34,8
N20000352,465,2,9,0,22,8,63,11
N20000353,426,18,12,1,21,4,27,0
N20000354,569,56,36,1,29,4,32,9
N20000355,478,13,1,0,7,2,14,12
N20000356,366,59,191,7,35,5,34,4
N20000357,22,31,183,42,54,2,55,1
N20000358,201,67,162,19,68,3,39,3
N20000359,26,94,230,26,89,1,87,2
N20000360,180,18,116,5,41,0,35,8
N20000361,427,41,70,27,36,4,60,4
N20000362,131,84,237,37,94,2,59,4
N20000363,113,61,153,42,64,1,54,2
N20000364,186,64,178,24,56,4,40,7
N20000365,107,68,176,51,61,1,66,9
N20000366,102,93,166,10,66,0,28,2
N20000367,252,48,138,57,65,4,29,5
N20000368,97,92,153,17,88,53,163,5
N20000369,181,74,186,37,105,1,60,11
N20000370,350,0,7,4,11,1,39,3
N20000371,525,3,10,3,6,7,50,5
N20000372,558,0,14,0,16,4,56,2
N20000373,507,0,6,0,6,8,47,6
N20000374,298,2,7,0,11,1,42,5
N20000375,265,4,2,1,7,3,32,11
N20000376,237,0,0,0,16,1,21,2
N20000377,112,41,68,31,50,9,154,8
N20000378,378,1,4,0,2,4,18,2
N20000379,483,7,23,8,38,1,78,19
N20000380,286,11,22,2,7,8,30,20
N20000381,455,6,3,2,14,20,73,2
N20000382,412,5,8,0,35,0,104,27
N20000383,161,99,213,44,73,7,47,11
N20000384,58,96,161,57,112,13,143,11
N20000385,30,26,102,22,64,7,85,9
N20000386,303,4,7,0,28,8,76,11
N20000387,20,42,89,45,38,0,48,11
N20000388,36,20,124,36,60,7,96,3
N20000389,100,45,213,45,75,10,200,13
N20000390,63,48,136,12,45,4,112,17
N20000391,45,31,80,17,31,1,65,5
N20000392,41,74,164,50,63,2,129,13
N20000393,106,38,102,24,47,11,111,19
N20000394,27,45,107,9,52,0,65,8
N20000395,215,11,48,12,81,27,132,16
N20000396,40,42,145,44,49,6,96,8
N20000397,20,140,220,66,105,27,132,5
N20000398,125,23,110,8,45,15,117,14
N20000399,67,44,164,17,49,1,88,12
N20000400,194,15,53,7,41,25,105,17
N20000401,450,23,50,10,50,4,45,3
N20000402,127,95,236,34,95,10,186,4
N20000403,179,19,63,7,48,16,116,12
N20000404,108,43,204,48,88,5,127,6
N20000405,126,69,91,39,53,9,92,14
N20000406,20,55,103,34,34,1,45,3
N20000407,44,35,140,26,59,0,94,5
N20000408,48,50,141,7,14,5,44,12
N20000409,11,30,90,29,31,3,40,4
N20000410,53,42,95,29,41,6,80,7
N20000411,167,32,83,19,45,21,144,15
N20000412,86,72,147,32,72,15,95,5
N20000413,141,103,151,37,85,7,175,8
N20000414,88,83,129,55,39,0,77,1
N20000415,79,77,127,33,49,3,75,2
N20000416,204,94,131,57,63,6,79,6
N20000417,42,68,230,45,66,11,108,9
N20000418,279,128,115,24,108,0,55,5
N20000419,103,77,109,70,75,10,35,9
N20000420,80,89,165,31,74,0,29,5
N20000421,508,13,64,17,58,1,41,12
N20000422,602,12,48,0,99,3,28,4
N20000423,711,11,17,1,3,7,25,3
N20000424,642,20,28,8,33,5,52,6
N20000425,236,10,6,3,7,5,44,7
N20000426,515,1,5,1,3,0,21,3
N20000427,527,2,3,0,7,7,40,6
N20000428,757,11,15,6,10,3,50,2
N20000429,319,13,0,0,8,0,27,1
N20000430,91,49,88,73,94,10,47,3
N20000431,455,3,3,1,7,1,39,11
N20000432,518,4,3,0,6,0,38,7
N20000433,387,27,38,7,27,21,206,5
N20000434,288,38,83,6,25,8,135,28
N20000435,475,5,26,0,21,13,135,23
N20000436,261,15,51,4,14,8,125,3
N20000437,180,30,34,1,24,4,88,7
N20000438,175,20,35,8,11,6,105,5
N20000439,389,5,2,1,3,0,45,12
N20000440,78,55,82,3,58,0,119,12
N20000441,291,21,20,2,15,3,89,7
N20000442,349,16,19,2,12,2,67,3
N20000443,145,26,72,12,69,21,94,3
N20000444,196,20,19,3,36,10,123,1
N20000445,295,9,39,4,14,0,139,20
N20000446,211,75,151,16,52,6,145,11
N20000447,193,53,51,10,32,16,157,9
N20000448,450,7,15,0,22,4,80,6
N20000449,325,3,14,2,9,12,48,2
N20000450,28,38,112,32,36,9,58,0
N20000451,157,76,181,32,113,8,150,5
N20000452,318,1,5,2,7,17,73,0
N20000453,467,11,22,0,11,20,61,9
N20000454,253,5,16,1,3,6,37,1
N20000455,85,58,114,27,53,11,103,7
N20000456,53,47,132,33,47,25,84,1
N20000457,72,97,142,41,102,26,131,7
N20000458,159,44,67,18,28,7,75,6
N20000459,73,39,108,28,60,7,94,7
N20000460,98,85,157,37,114,16,196,3
N20000461,99,96,136,33,119,18,143,13
N20000462,22,103,147,43,69,13,91,0
N20000463,22,82,108,40,80,5,71,6
N20000464,51,96,138,44,83,9,95,8
N20000465,105,34,50,4,8,0,38,1
N20000466,34,70,153,30,85,7,116,9
N20000467,211,29,87,6,54,16,73,10
N20000468,67,50,110,29,59,3,142,1
N20000469,49,117,184,49,62,7,99,6
N20000470,36,68,152,21,91,5,87,5
N20000471,17,128,175,74,100,1,134,2
N20000472,58,92,167,38,107,23,104,22
N20000473,132,68,97,4,66,18,71,10
N20000474,94,146,225,43,110,19,82,6
N20000475,46,146,170,71,92,10,107,6
N20000476,436,15,26,22,14,2,50,4
