dz_2021_code,catholic,presbyterian_church_in_ireland,church_of_ireland,methodist_church_in_ireland,other_christian_including_christian_related,other_religions,no_religion,religion_not_stated
N20000653,243,248,42,4,79,2,67,3
N20000654,322,48,27,0,23,4,55,4
N20000655,30,208,52,3,82,3,57,2
N20000656,52,125,25,2,46,6,44,2
N20000657,148,250,41,6,122,0,93,8
N20000658,138,232,43,1,40,3,43,5
N20000659,196,98,27,0,33,3,61,0
N20000660,183,194,53,2,62,10,62,11
N20000661,249,127,40,0,50,8,85,5
N20000662,176,132,44,2,51,1,56,1
N20000663,187,165,35,0,39,3,36,3
N20000664,27,120,197,46,112,7,96,6
N20000665,56,147,119,30,69,8,55,7
N20000666,14,116,125,29,60,2,77,9
N20000667,50,64,121,13,44,7,42,5
N20000668,18,57,56,11,40,5,34,1
N20000669,29,109,142,53,45,9,69,14
N20000670,33,101,175,10,75,0,89,2
N20000671,41,178,205,45,57,2,135,11
N20000672,34,61,125,8,52,15,31,0
N20000673,28,182,172,39,72,1,94,7
N20000674,85,144,156,28,58,3,57,13
N20000675,14,75,224,18,127,6,102,11
N20000676,31,225,169,49,109,1,89,2
N20000677,13,89,117,33,36,2,59,1
N20000678,36,121,177,33,99,7,130,7
N20000679,61,141,278,42,121,2,118,9
N20000680,30,62,183,28,47,4,89,9
N20000681,67,220,154,34,112,0,63,10
N20000682,50,93,181,16,49,6,92,7
N20000683,52,112,124,12,35,1,82,4
N20000684,50,64,118,9,38,8,87,6
N20000685,110,194,192,28,114,20,99,18
N20000686,42,125,114,11,44,0,76,4
N20000687,39,167,161,11,50,6,70,2
N20000688,126,179,196,5,71,9,55,26
N20000689,86,271,187,22,66,7,59,7
N20000690,45,192,217,35,41,3,60,6
N20000691,21,147,174,14,91,2,75,10
N20000692,232,169,153,12,130,8,125,14
N20000693,60,155,143,6,62,1,39,10
N20000694,117,194,155,12,141,6,84,6
N20000695,81,319,100,21,108,3,67,5
N20000696,133,97,78,2,51,6,43,12
N20000697,62,204,175,12,56,10,108,7
N20000698,57,78,55,0,18,2,35,2
N20000699,194,229,67,0,26,2,31,10
N20000700,72,213,161,4,76,7,64,3
N20000701,571,66,52,2,25,4,22,7
N20000702,387,62,8,2,17,0,20,4
N20000703,75,308,76,4,90,4,51,7
N20000704,112,111,64,5,19,1,83,3
N20000705,298,63,25,4,23,0,35,6
N20000706,692,5,12,1,13,9,28,7
N20000707,472,7,11,0,21,3,20,5
N20000708,179,205,82,4,30,7,57,1
N20000709,518,118,27,0,21,10,36,8
N20000710,672,81,28,1,30,12,38,11
N20000711,27,208,191,51,92,16,163,17
N20000712,373,11,17,2,10,0,55,7
N20000713,269,80,68,12,31,6,101,16
N20000714,14,88,44,8,21,5,64,4
N20000715,514,7,3,0,2,2,44,9
N20000716,58,130,102,41,76,16,198,5
N20000717,18,206,107,48,44,6,149,10
N20000718,28,131,88,44,35,7,95,22
N20000719,445,4,3,3,16,4,38,16
N20000720,20,122,83,34,66,1,59,3
N20000721,101,77,61,14,49,3,50,4
N20000722,44,87,66,33,36,11,128,7
N20000723,47,152,100,37,63,12,143,17
N20000724,379,1,2,3,5,1,54,1
N20000725,305,5,3,4,15,9,29,2
N20000726,238,53,52,33,21,9,122,8
N20000727,37,91,66,36,25,2,121,10
N20000728,44,121,88,20,57,2,90,5
N20000729,27,96,56,19,40,2,110,9
N20000730,66,205,142,40,80,8,140,21
N20000731,470,14,11,7,59,42,118,8
N20000732,411,12,4,8,13,8,51,7
N20000733,397,35,28,11,10,7,93,9
N20000734,281,5,1,0,4,3,56,8
N20000735,439,7,3,0,9,1,56,3
N20000736,25,112,68,20,41,22,133,6
N20000737,49,113,104,21,65,16,116,7
N20000738,300,4,0,0,17,22,102,22
N20000739,31,88,76,29,21,3,60,1
N20000740,349,11,6,0,8,5,51,8
N20000741,361,2,2,1,3,19,56,5
N20000742,48,82,78,12,44,3,116,6
N20000743,312,41,9,6,12,4,60,4
N20000744,98,127,92,25,46,0,102,5
N20000745,255,6,9,0,27,23,71,9
N20000746,539,10,6,0,11,24,67,16
N20000747,264,7,5,1,10,7,91,4
N20000748,584,18,0,1,12,11,45,16
N20000749,496,9,27,5,19,17,67,8
N20000750,400,4,3,1,12,11,84,15
N20000751,363,7,3,4,6,6,35,3
N20000752,351,3,1,0,5,8,17,10
N20000753,437,7,4,1,2,8,22,9
N20000754,139,9,2,2,9,12,42,6
N20000755,439,5,7,2,7,0,22,20
N20000756,382,12,8,1,8,7,31,13
N20000757,290,2,7,0,10,41,81,8
N20000758,499,7,2,2,7,3,29,14
N20000759,232,6,8,4,18,32,76,53
N20000760,341,9,6,0,2,3,43,10
N20000761,460,4,6,0,1,0,44,17
N20000762,330,4,0,0,7,4,23,8
N20000763,218,73,16,2,9,2,48,5
N20000764,212,8,13,4,10,14,49,84
N20000765,310,11,2,0,6,2,31,7
N20000766,245,7,3,0,7,26,36,1
N20000767,429,37,30,11,13,4,28,11
N20000768,428,9,2,2,2,1,22,15
N20000769,337,4,6,0,22,28,79,7
N20000770,422,32,29,9,23,11,43,10
N20000771,340,3,7,1,14,9,34,9
N20000772,125,5,14,0,10,20,43,4
N20000773,382,5,10,1,12,1,11,3
N20000774,146,4,4,2,5,11,50,5
N20000775,308,16,15,4,21,2,69,6
N20000776,36,176,96,24,49,29,110,13
N20000777,206,3,0,1,1,4,9,3
N20000778,192,11,4,0,10,1,34,4
N20000779,272,12,0,0,4,26,27,3
N20000780,129,8,2,1,0,4,15,3
N20000781,386,5,5,0,5,1,8,9
N20000782,329,2,8,5,6,8,33,9
N20000783,445,7,2,0,15,24,64,23
N20000784,332,7,4,0,1,9,21,9
N20000785,407,10,7,1,1,1,30,13
N20000786,157,9,7,3,10,19,56,18
N20000787,412,11,9,5,6,7,67,1
N20000788,574,18,12,5,12,5,95,14
N20000789,279,22,23,2,18,3,98,5
N20000790,44,149,52,30,37,8,133,18
N20000791,265,45,24,14,13,11,124,8
N20000792,338,12,7,0,9,2,62,8
N20000793,364,19,13,3,13,9,89,15
N20000794,455,9,7,0,10,13,68,8
N20000795,132,117,56,66,44,31,181,23
N20000796,510,57,18,5,9,2,107,6
N20000797,287,71,31,18,20,8,86,10
N20000798,24,151,80,59,59,8,110,9
N20000799,437,24,22,5,6,3,54,9
N20000800,72,170,93,62,32,5,144,18
N20000801,34,150,43,61,38,6,160,8
N20000802,417,15,14,0,8,0,65,6
N20000803,397,22,19,7,7,1,91,0
N20000804,196,44,25,14,10,1,45,9
N20000805,92,167,77,37,60,2,130,6
N20000806,31,170,88,45,42,11,85,4
N20000807,416,36,24,11,7,5,101,2
N20000808,401,24,14,3,4,5,68,3
N20000809,201,105,62,11,31,4,135,10
N20000810,299,25,5,0,4,2,87,5
N20000811,32,194,108,41,93,15,145,16
N20000812,262,6,4,0,2,10,34,1
N20000813,5,89,44,19,25,1,55,8
N20000814,219,18,14,3,9,5,68,2
N20000815,289,13,6,0,3,6,50,5
N20000816,398,58,33,10,17,5,84,6
N20000817,396,80,55,16,43,8,140,11
N20000818,313,10,6,3,7,10,88,7
N20000819,138,44,24,21,22,3,96,7
N20000820,14,133,83,37,47,7,113,5
N20000821,67,48,30,6,36,10,116,4
N20000822,183,4,3,0,1,8,41,4
N20000823,168,105,49,37,49,2,86,5
N20000824,402,21,16,4,25,26,118,24
N20000825,141,15,7,0,32,22,97,6
N20000826,118,52,36,13,15,3,65,5
N20000827,328,20,22,6,8,5,127,0
N20000828,49,71,63,20,34,3,94,5
N20000829,30,83,22,12,49,14,112,5
N20000830,207,27,21,3,19,11,82,6
N20000831,407,9,5,0,11,10,76,6
N20000832,123,57,24,7,13,7,70,8
N20000833,328,9,13,1,21,14,116,19
N20000834,34,82,76,18,34,9,84,8
N20000835,59,233,74,60,82,16,188,10
N20000836,310,12,6,2,18,32,106,13
N20000837,29,191,98,46,67,16,117,10
N20000838,288,5,10,1,13,23,119,4
N20000839,236,14,9,2,12,1,70,16
N20000840,255,2,6,1,16,14,78,8
N20000841,461,89,39,15,53,38,182,14
N20000842,63,70,28,7,24,17,107,5
N20000843,211,12,3,2,27,18,62,8
N20000844,29,184,86,42,58,4,108,9
N20000845,48,83,36,23,44,10,93,7
N20000846,323,8,3,2,2,15,49,11
N20000847,29,78,41,27,27,10,97,4
N20000848,305,50,23,9,9,8,55,18
N20000849,357,11,3,1,20,47,111,25
N20000850,28,83,25,19,24,7,90,6
N20000851,61,192,43,22,31,4,107,7
N20000852,41,136,45,31,41,16,122,5
N20000853,58,140,82,16,41,6,163,26
N20000854,87,19,10,1,18,81,107,5
N20000855,486,78,64,10,62,141,410,247
N20000856,21,78,122,45,52,8,105,10
N20000857,142,30,16,5,29,126,217,1
N20000858,19,110,64,35,57,14,120,13
N20000859,45,66,27,34,30,11,158,3
N20000860,15,96,118,68,64,7,119,4
N20000861,25,75,86,50,30,5,137,4
N20000862,42,125,60,24,43,5,169,3
N20000863,25,71,46,30,36,7,97,7
N20000864,18,35,19,14,27,2,69,8
N20000865,19,89,47,22,41,14,156,7
N20000866,30,70,38,17,47,21,168,9
N20000867,26,77,54,13,33,4,173,15
N20000868,26,58,42,14,50,9,165,13
N20000869,29,55,52,21,47,7,175,3
N20000870,24,112,79,31,46,3,95,15
N20000871,27,89,61,27,45,3,139,10
N20000872,67,68,51,10,47,5,209,4
N20000873,22,87,82,25,38,0,68,5
N20000874,19,74,71,15,28,4,98,3
N20000875,82,88,45,25,45,7,162,4
N20000876,29,44,25,6,31,7,108,4
N20000877,27,161,80,42,51,6,150,9
N20000878,85,37,23,11,42,24,125,4
N20000879,34,50,22,12,29,4,109,5
N20000880,40,118,67,26,45,1,118,4
N20000881,51,106,66,23,44,11,159,7
N20000882,68,32,21,2,15,208,147,4
N20000883,35,83,49,15,35,7,139,10
N20000884,32,64,42,20,33,12,95,6
N20000885,61,94,54,20,30,10,115,5
N20000886,309,52,15,6,14,3,52,4
N20000887,591,10,3,0,3,6,21,5
N20000888,67,72,55,19,45,20,232,13
N20000889,13,52,29,19,37,1,128,2
N20000890,70,74,48,19,58,10,192,8
N20000891,40,74,54,18,30,13,137,5
N20000892,26,159,85,35,69,12,120,17
N20000893,68,121,64,41,46,23,141,10
N20000894,321,69,33,9,31,0,84,1
N20000895,28,32,20,8,36,13,89,5
N20000896,615,23,6,1,19,6,53,7
N20000897,54,82,43,15,24,11,159,23
N20000898,43,45,33,9,37,9,88,6
N20000899,65,65,48,12,38,26,174,16
N20000900,12,100,58,18,44,14,104,7
N20000901,108,47,13,9,25,8,136,11
N20000902,132,96,85,18,57,4,203,11
N20000903,26,161,67,16,39,8,93,19
N20000904,279,53,29,12,21,25,84,12
N20000905,66,62,46,12,37,15,156,13
N20000906,15,44,29,5,22,8,91,3
N20000907,47,75,24,5,56,18,173,7
N20000908,52,79,38,11,37,21,173,19
N20000909,69,161,91,52,86,9,214,11
N20000910,34,120,45,7,31,12,123,12
N20000911,10,95,60,8,39,3,63,1
N20000912,65,56,32,9,29,23,131,4
N20000913,64,61,33,5,31,12,105,8
N20000914,47,76,26,16,46,8,112,11
N20000915,26,62,19,15,30,7,112,7
N20000916,63,66,34,7,34,26,164,8
N20000917,58,49,43,19,35,12,213,6
N20000918,41,74,59,5,43,11,82,16
N20000919,24,105,59,23,35,0,155,21
N20000920,41,70,31,11,52,5,106,7
N20000921,19,63,58,26,34,4,100,4
N20000922,31,111,55,14,58,13,119,20
N20000923,25,88,45,20,50,7,133,6
N20000924,73,89,44,4,46,38,166,27
N20000925,37,29,25,11,26,18,86,7
N20000926,74,57,36,11,40,11,87,4
N20000927,50,123,84,19,67,14,222,7
N20000928,42,45,39,12,26,10,116,13
N20000929,33,49,44,17,27,5,144,0
N20000930,21,62,36,3,20,1,90,4
N20000931,63,72,63,14,54,36,194,12
N20000932,48,58,29,7,45,16,142,7
N20000933,60,43,40,6,48,17,179,5
N20000934,117,66,50,11,34,31,165,9
N20000935,27,119,85,33,70,2,106,5
N20000936,51,141,76,27,41,28,141,14
N20000937,70,79,60,14,47,14,177,10
N20000938,41,46,31,10,41,25,111,1
N20000939,85,52,46,1,24,6,127,7
N20000940,47,32,29,3,45,21,144,3
N20000941,90,102,94,23,68,13,228,11
N20000942,132,43,37,9,45,30,126,7
N20000943,57,43,16,13,38,27,169,2
N20000944,133,25,18,1,9,26,152,2
N20000945,49,80,71,20,27,4,133,1
N20000946,27,63,57,16,38,4,116,2
N20000947,21,79,122,16,34,4,98,2
N20000948,20,97,66,26,21,2,128,21
N20000949,26,178,150,24,63,1,131,6
N20000950,68,112,41,19,59,12,165,14
N20000951,14,75,46,22,37,1,75,18
N20000952,48,111,77,25,39,4,131,4
N20000953,49,180,103,22,56,2,153,7
N20000954,23,99,71,15,35,4,81,8
N20000955,38,119,59,28,38,5,105,2
N20000956,64,189,165,52,108,15,216,20
N20000957,43,109,72,31,50,7,122,11
N20000958,42,155,105,44,75,7,228,10
N20000959,37,131,92,20,55,1,158,4
N20000960,43,170,89,44,39,10,141,1
N20000961,42,161,54,4,68,2,119,4
N20000962,29,182,126,34,77,13,184,13
N20000963,51,76,54,7,35,10,94,5
N20000964,12,98,78,17,51,5,121,7
N20000965,61,156,69,19,44,9,168,5
N20000966,42,84,34,4,55,9,185,9
N20000967,63,119,52,11,28,4,152,64
N20000968,52,94,74,19,54,12,206,21
N20000969,52,147,107,25,42,14,201,7
N20000970,59,96,51,19,57,9,218,10
N20000971,63,164,86,34,43,12,129,5
N20000972,52,24,13,2,19,3,87,2
N20000973,51,41,41,6,33,8,146,3
N20000974,53,119,53,22,34,3,145,7
N20000975,108,151,62,25,48,10,189,5
N20000976,97,96,47,16,25,16,195,5
N20000977,44,133,54,13,26,11,140,5
N20000978,70,68,59,10,29,2,127,7
N20000979,65,113,79,14,44,8,204,8
N20000980,30,183,73,19,57,1,155,5
N20000981,52,127,80,26,38,6,146,1
N20000982,85,159,96,28,56,8,185,4
N20000983,94,126,91,41,56,5,174,9
N20000984,114,112,64,24,46,4,185,8
N20000985,55,71,29,6,26,7,82,6
N20000986,26,112,46,19,45,0,80,0
N20000987,22,108,72,53,64,11,155,7
N20000988,76,161,103,45,98,5,190,22
N20000989,8,152,89,16,59,4,104,6
N20000990,18,71,57,70,55,10,96,2
N20000991,22,76,52,20,66,7,110,5
N20000992,41,107,41,31,52,6,116,4
N20000993,29,118,96,42,64,13,179,4
N20000994,13,136,88,92,80,16,142,3
N20000995,150,168,86,60,67,16,227,8
N20000996,10,152,65,18,36,7,129,13
N20000997,101,147,106,18,76,6,199,8
N20000998,34,91,43,25,33,7,135,2
N20000999,9,108,49,14,18,0,68,9
N20001000,18,108,55,19,46,4,103,6
N20001001,53,145,72,14,49,3,122,6
N20001002,15,79,44,12,31,3,75,2
N20001003,17,98,41,8,41,13,114,5
N20001004,7,154,84,9,56,8,129,14
N20001005,81,174,83,21,46,3,121,8
N20001006,42,151,96,26,93,3,230,15
N20001007,63,216,112,26,71,8,272,3
N20001008,43,139,94,42,74,3,149,14
N20001009,22,118,56,15,38,4,164,13
N20001010,91,91,64,16,26,3,140,7
N20001011,21,140,70,57,78,1,186,13
N20001012,6,98,36,13,27,0,101,9
N20001013,19,143,98,50,68,6,160,4
N20001014,18,146,66,44,52,5,157,14
N20001015,51,199,78,42,69,13,150,10
N20001016,58,205,61,44,92,25,169,3
N20001017,41,63,42,22,34,6,103,9
N20001018,10,56,27,26,36,7,85,3
N20001019,76,89,71,18,35,2,211,8
N20001020,53,169,80,41,61,7,221,4
N20001021,104,49,27,13,25,17,214,6
N20001022,28,123,77,21,51,15,136,4
N20001023,63,101,45,34,27,5,170,4
N20001024,249,28,10,3,33,11,236,9
N20001025,26,70,42,25,9,5,88,2
N20001026,69,69,35,32,33,20,150,4
N20001027,116,43,38,11,26,10,109,11
N20001028,63,93,67,32,74,3,202,3
N20001029,73,39,20,8,38,10,146,6
N20001030,122,30,43,21,12,1,118,1
N20001031,25,85,47,11,43,10,100,7
N20001032,65,26,24,22,27,7,145,3
N20001033,33,114,81,44,64,17,175,15
N20001034,29,171,79,34,65,10,163,9
N20001035,297,51,30,4,21,4,159,3
N20001036,82,65,48,21,27,5,153,4
N20001037,155,46,58,13,38,7,146,3
N20001038,71,122,82,35,64,12,149,10
N20001039,43,140,84,50,47,6,179,11
N20001040,27,210,79,43,48,12,187,10
N20001041,48,145,98,30,67,3,159,12
N20001042,239,47,46,2,17,0,95,28
N20001043,14,56,34,43,38,11,66,5
N20001044,31,108,58,24,45,8,127,10
N20001045,33,106,42,27,41,17,113,4
N20001046,71,194,111,62,58,30,239,16
N20001047,31,161,89,47,64,1,156,5
N20001048,18,61,65,41,30,4,77,8
N20001049,53,90,34,36,31,3,105,9
N20001050,71,121,79,60,72,32,145,5
N20001051,37,90,51,79,50,7,120,5
N20001052,76,100,48,33,45,0,123,4
N20001053,155,145,116,28,39,18,224,22
N20001054,38,73,55,48,56,9,192,12
N20001055,17,96,59,12,32,1,80,8
N20001056,57,130,99,61,44,6,208,8
N20001057,162,27,15,11,10,4,101,3
N20001058,16,172,84,33,83,7,143,16
N20001059,136,46,48,18,20,29,154,2
N20001060,54,77,63,35,33,19,154,2
N20001061,251,20,13,3,22,56,150,64
N20001062,178,10,7,1,3,10,80,0
N20001063,264,49,46,12,38,4,213,8
N20001064,127,23,16,4,11,28,119,1
N20001065,52,133,90,34,53,9,167,8
N20001066,228,33,33,7,25,59,234,5
N20001067,41,66,79,29,53,0,92,3
N20001068,219,55,43,21,15,0,107,3
N20001069,248,27,17,16,9,14,125,7
N20001070,337,25,29,5,14,25,218,15
N20001071,232,37,13,8,17,2,81,5
N20001072,310,33,25,6,10,8,133,8
N20001073,379,17,16,8,13,4,110,0
N20001074,159,62,43,19,28,7,125,1
N20001075,291,42,26,2,12,6,82,4
N20001076,389,35,20,10,14,3,137,5
N20001077,276,77,54,22,33,1,152,16
N20001078,120,43,23,10,17,7,62,4
N20001079,152,9,10,0,24,72,74,15
N20001080,321,24,23,6,59,259,476,300
N20001081,184,10,19,0,18,45,91,6
N20001082,342,7,6,0,2,5,29,16
N20001083,372,2,3,0,3,13,44,12
N20001084,101,81,107,41,30,21,286,107
N20001085,96,7,5,1,28,270,143,4
N20001086,294,7,5,2,11,14,55,10
N20001087,141,41,29,17,47,72,396,157
N20001088,76,26,29,10,24,152,142,15
N20001089,8,43,53,38,16,2,58,6
N20001090,104,52,42,16,23,73,240,75
N20001091,29,48,71,12,33,36,147,4
N20001092,22,136,87,72,42,24,84,9
N20001093,12,115,97,48,34,8,83,5
N20001094,287,1,5,0,5,20,51,9
N20001095,45,71,148,49,41,26,129,32
N20001096,45,102,69,35,32,17,148,6
N20001097,28,72,63,8,31,8,99,5
N20001098,38,59,52,30,57,15,113,8
N20001099,90,16,18,4,20,46,130,4
N20001100,35,77,46,28,54,29,125,5
N20001101,177,97,52,7,21,15,115,19
N20001102,58,34,32,17,18,27,109,3
N20001103,172,14,10,1,26,62,189,30
N20001104,52,84,73,41,43,24,152,12
N20001105,157,22,15,1,20,22,89,6
N20001106,78,50,62,15,77,46,172,7
N20001107,190,19,12,0,13,52,132,6
N20001108,43,22,17,2,29,40,63,1
N20001109,410,15,1,0,22,18,80,7
N20001110,111,27,10,7,20,19,71,22
N20001111,26,84,47,34,28,32,120,11
N20001112,182,17,15,0,24,78,178,18
N20001113,256,17,14,0,18,37,129,7
N20001114,233,21,8,1,17,36,105,6
N20001115,188,57,39,9,55,48,206,19
N20001116,28,55,76,35,34,13,90,7
N20001117,30,46,71,30,40,19,83,2
N20001118,281,7,3,0,30,33,118,12
N20001119,187,25,12,1,37,24,120,6
N20001120,326,38,15,1,16,60,115,22
N20001121,312,31,20,5,17,5,230,8
N20001122,78,6,7,2,11,28,115,3
N20001123,126,27,36,6,36,30,168,14
N20001124,197,42,26,4,45,49,239,15
N20001125,78,15,18,4,25,49,140,4
N20001126,149,39,46,7,38,116,248,10
N20001127,320,10,5,1,27,30,121,18
N20001128,41,28,31,8,27,42,75,2
N20001129,69,40,47,19,42,43,156,7
N20001130,396,6,9,1,17,40,62,8
N20001131,342,11,5,5,65,32,113,25
N20001132,163,28,22,7,24,43,201,18
N20001133,217,56,34,11,73,70,298,23
N20001134,270,17,27,4,35,36,180,11
N20001135,209,31,36,1,43,52,222,22
N20001136,178,50,24,3,29,19,182,3
N20001137,162,31,24,1,23,29,202,3
N20001138,168,15,22,6,20,32,194,11
N20001139,210,43,29,2,42,56,256,7
N20001140,153,34,35,10,55,35,203,32
N20001141,134,14,15,4,11,26,101,13
N20001142,199,57,35,7,34,32,241,13
N20001143,196,35,21,2,34,47,200,10
N20001144,147,26,25,3,33,58,220,12
N20001145,88,7,8,1,8,5,99,3
N20001146,89,13,15,1,17,1,133,4
N20001147,64,43,19,12,48,37,179,10
N20001148,136,66,14,8,53,32,110,7
N20001149,171,45,48,9,57,57,236,18
N20001150,132,30,14,11,23,30,140,12
N20001151,199,30,36,3,47,31,199,0
N20001152,105,27,10,1,21,32,144,4
N20001153,228,68,52,11,53,14,211,2
N20001154,100,25,17,4,5,38,110,8
N20001155,159,26,11,3,25,16,190,6
N20001156,240,73,40,13,36,75,179,18
N20001157,154,22,17,5,29,24,155,6
N20001158,233,20,17,7,10,23,119,5
N20001159,147,15,13,3,29,18,204,10
N20001160,146,23,8,0,12,7,115,9
N20001161,151,28,21,6,24,6,168,7
N20001162,744,157,89,13,88,95,645,316
N20001163,121,18,8,2,20,37,111,11
N20001164,252,30,24,9,16,25,165,6
N20001165,244,14,29,15,22,17,126,9
N20001166,304,18,13,2,18,6,184,5
N20001167,305,56,46,6,20,17,215,3
N20001168,174,26,20,2,38,32,201,7
N20001169,271,42,42,9,19,21,119,4
N20001170,199,39,33,10,20,22,129,11
N20001171,121,35,24,2,13,16,78,4
N20001172,382,131,125,14,89,37,223,17
N20001173,164,40,39,12,24,14,121,4
N20001174,272,43,53,4,23,6,165,5
N20001175,124,37,33,2,10,20,114,4
N20001176,250,52,23,12,26,13,58,3
N20001177,241,45,46,5,33,12,99,3
N20001178,223,63,34,9,15,23,171,1
N20001179,120,14,6,0,15,18,95,0
N20001180,159,19,25,5,6,3,65,3
N20001181,131,26,22,1,9,9,80,2
N20001182,249,39,38,4,14,5,117,3
N20001183,262,48,17,5,14,8,95,4
N20001184,475,30,23,16,24,11,158,6
N20001185,263,55,55,6,16,21,86,5
N20001186,324,31,21,3,18,15,115,10
N20001187,129,20,19,3,9,8,61,6
N20001188,215,27,14,5,16,3,59,9
N20001189,294,35,15,7,17,10,51,6
N20001190,408,4,11,4,3,2,56,11
N20001191,283,34,19,3,20,4,68,0
N20001192,423,13,5,1,4,5,58,11
N20001193,236,20,22,2,5,9,55,4
N20001194,128,54,47,14,11,1,85,3
N20001195,458,30,23,14,20,11,114,8
N20001196,225,47,30,4,9,10,75,4
N20001197,363,2,5,0,9,1,47,9
N20001198,304,59,50,3,12,14,49,6
N20001199,286,75,26,6,18,21,107,4
N20001200,197,42,60,9,11,0,104,35
N20001201,162,55,41,26,31,9,138,10
N20001202,242,27,22,6,11,7,72,7
N20001203,62,83,64,22,79,72,79,8
N20001204,386,9,11,2,12,1,54,4
N20001205,95,52,51,17,26,37,75,13
N20001206,14,49,12,13,12,9,39,5
N20001207,9,108,68,19,35,5,73,8
N20001208,10,219,124,31,24,8,130,15
N20001209,160,45,39,16,52,8,72,5
N20001210,66,88,92,35,64,32,108,8
N20001211,40,99,111,27,34,14,135,4
N20001212,242,0,2,1,5,0,28,4
N20001213,66,44,36,34,34,22,101,7
N20001214,122,102,50,14,26,11,99,3
N20001215,74,143,115,76,64,17,160,4
N20001216,91,36,24,8,37,16,66,9
N20001217,147,103,75,18,52,16,143,8
N20001218,185,38,31,4,23,13,72,4
N20001219,130,79,47,20,28,19,92,9
N20001220,101,91,83,52,35,44,125,3
N20001221,163,49,30,15,12,44,128,4
N20001222,32,85,77,12,41,8,124,3
N20001223,59,126,128,42,76,9,175,10
N20001224,22,91,74,31,38,6,119,12
N20001225,18,59,47,11,23,3,65,12
N20001226,167,88,40,11,9,14,77,16
N20001227,15,72,47,10,31,0,88,8
N20001228,26,78,66,35,58,4,89,5
N20001229,33,111,87,21,53,6,97,9
N20001230,393,46,31,17,25,28,82,4
N20001231,248,90,40,5,33,9,120,8
N20001232,133,124,140,39,55,4,106,7
N20001233,234,71,49,23,16,18,77,5
N20001234,93,60,66,8,38,13,177,13
N20001235,274,5,5,2,4,3,20,8
N20001236,650,0,0,0,1,7,43,3
N20001237,391,2,4,1,0,3,30,4
N20001238,243,2,0,0,0,1,20,2
N20001239,600,7,1,0,10,8,27,17
N20001240,441,12,11,3,6,8,48,3
N20001241,555,4,0,0,1,5,44,7
N20001242,631,23,10,0,14,1,38,13
N20001243,667,4,5,0,6,1,29,8
N20001244,721,3,0,1,1,1,60,7
N20001245,410,0,4,0,2,0,17,6
N20001246,651,2,1,1,9,5,48,4
N20001247,406,3,17,3,1,7,39,5
N20001248,400,17,7,0,1,2,21,17
N20001249,112,89,168,22,61,15,166,15
N20001250,365,1,1,0,7,6,25,6
N20001251,628,3,0,0,2,3,49,10
N20001252,498,1,8,3,5,13,19,0
N20001253,665,6,3,0,5,8,46,4
N20001254,453,39,20,11,11,23,81,20
N20001255,654,5,7,0,12,19,38,18
N20001256,443,0,4,0,3,12,16,4
N20001257,545,7,7,0,4,6,26,4
N20001258,912,2,4,0,0,2,58,2
N20001259,652,2,3,0,5,2,51,5
N20001260,443,1,2,1,7,10,40,1
N20001261,765,6,8,0,11,4,36,26
N20001262,382,3,2,0,0,10,40,12
N20001263,521,4,2,6,3,3,48,11
N20001264,695,8,2,0,9,7,75,27
N20001265,463,2,3,0,2,5,37,3
N20001266,536,3,8,2,11,5,26,13
N20001267,494,9,16,0,11,2,42,1
N20001268,567,12,8,3,1,1,25,7
N20001269,416,6,3,0,9,5,32,42
N20001270,293,8,4,0,2,4,30,5
N20001271,349,12,7,2,13,4,51,10
N20001272,567,9,5,0,4,9,45,9
N20001273,344,3,1,0,0,3,36,1
N20001274,298,8,14,1,4,6,49,11
N20001275,236,28,23,1,12,7,78,9
N20001276,417,13,14,0,8,2,33,7
N20001277,635,9,16,0,3,0,52,23
N20001278,477,8,3,2,6,10,44,4
N20001279,536,9,0,0,4,0,53,6
N20001280,187,14,13,5,5,10,72,4
N20001281,208,11,4,1,10,6,66,3
N20001282,470,10,1,0,1,5,25,3
N20001283,312,1,1,0,9,3,30,3
N20001284,618,2,1,0,0,2,19,3
N20001285,193,25,24,2,13,7,68,4
N20001286,266,3,4,4,1,6,16,8
N20001287,359,13,2,0,2,7,22,5
N20001288,466,2,2,2,5,0,33,7
N20001289,187,51,20,9,33,9,84,6
N20001290,1021,2,1,2,16,3,79,7
N20001291,516,1,6,0,7,0,41,7
N20001292,147,84,91,19,74,20,119,14
N20001293,337,3,0,0,1,0,15,11
N20001294,52,33,47,9,21,17,51,0
N20001295,303,1,1,0,5,0,23,7
N20001296,106,55,41,13,67,13,102,4
N20001297,418,3,1,0,9,3,29,17
N20001298,601,0,2,0,4,1,30,11
N20001299,462,3,1,0,0,7,12,9
N20001300,557,6,12,7,5,11,31,6
N20001301,663,7,7,0,7,5,39,8
N20001302,471,5,1,0,0,1,17,1
N20001303,379,12,3,0,12,24,53,6
N20001304,459,15,8,2,5,12,34,7
N20001305,500,3,3,0,4,5,23,4
N20001306,263,3,0,0,0,6,13,6
N20001307,369,6,9,0,15,88,87,12
N20001308,750,5,3,4,7,4,60,15
N20001309,793,7,9,0,15,3,55,14
N20001310,539,0,5,0,7,12,39,13
N20001311,303,6,2,0,12,14,56,5
N20001312,294,4,9,0,16,27,59,5
N20001313,494,6,0,0,11,0,25,2
N20001314,589,10,2,0,7,12,29,3
N20001315,344,2,7,0,21,37,50,7
