dz_2021_code,age_0_years,age_1_year,age_2_years,age_3_years,age_4_years,age_5_years,age_6_years,age_7_years,age_8_years,age_9_years,age_10_years,age_11_years,age_12_years,age_13_years,age_14_years,age_15_years,age_16_years,age_17_years,age_18_years,age_19_years,age_20_years,age_21_years,age_22_years,age_23_years,age_24_years,age_25_years,age_26_years,age_27_years,age_28_years,age_29_years,age_30_years,age_31_years,age_32_years,age_33_years,age_34_years,age_35_years,age_36_years,age_37_years,age_38_years,age_39_years,age_40_years,age_41_years,age_42_years,age_43_years,age_44_years,age_45_years,age_46_years,age_47_years,age_48_years,age_49_years,age_50_years,age_51_years,age_52_years,age_53_years,age_54_years,age_55_years,age_56_years,age_57_years,age_58_years,age_59_years,age_60_years,age_61_years,age_62_years,age_63_years,age_64_years,age_65_years,age_66_years,age_67_years,age_68_years,age_69_years,age_70_years,age_71_years,age_72_years,age_73_years,age_74_years,age_75_years,age_76_years,age_77_years,age_78_years,age_79_years,age_80_years,age_81_years,age_82_years,age_83_years,age_84_years,age_85_years
N20000001,12,8,10,11,9,12,13,6,4,9,7,9,10,4,14,9,10,7,9,8,11,6,7,8,11,7,9,5,6,8,8,12,6,8,8,8,11,6,8,8,14,11,8,10,13,7,11,13,10,11,19,10,15,15,16,15,12,9,8,9,9,5,13,8,15,9,9,8,7,11,8,6,6,10,2,2,4,6,2,4,5,3,2,2,1,8
N20000002,3,0,2,3,1,1,2,1,0,2,7,3,8,2,5,4,7,3,6,5,3,4,1,6,2,5,4,5,2,2,3,5,1,3,1,0,1,1,5,4,1,5,2,6,3,2,5,2,6,4,7,8,9,6,7,5,12,6,7,16,4,7,4,4,3,3,3,5,5,4,7,4,7,3,4,2,1,1,2,3,0,2,2,2,2,7
N20000003,5,4,3,2,3,3,2,1,2,6,1,7,2,5,8,5,2,6,6,2,6,7,7,3,8,1,2,1,4,6,5,8,6,3,2,2,3,1,3,3,6,3,2,4,5,5,2,5,6,4,4,3,6,7,4,1,7,8,8,3,3,5,6,6,6,4,5,8,5,6,3,4,6,3,4,2,0,3,4,4,1,3,3,1,2,13
N20000004,2,7,6,6,10,9,9,8,13,12,9,13,11,7,10,11,11,16,10,8,12,11,8,4,8,5,4,2,3,1,7,6,4,5,5,9,6,7,8,8,15,9,6,6,9,14,9,7,11,13,11,14,10,8,7,10,14,10,5,9,13,5,6,4,5,5,11,7,10,7,6,3,10,5,2,4,7,8,4,4,2,5,3,4,3,7
N20000005,4,5,4,6,10,6,5,4,11,5,10,14,4,12,9,8,10,8,4,10,11,7,12,7,12,4,4,9,5,9,7,10,10,4,6,7,5,6,10,5,9,7,8,4,5,8,5,9,10,14,10,11,15,17,8,17,15,12,4,10,10,9,5,8,14,8,4,11,6,13,8,7,9,4,10,2,4,9,5,2,4,4,2,2,2,14
N20000006,7,3,9,5,3,11,9,7,7,7,13,4,9,7,5,6,3,5,1,0,3,2,3,5,9,4,3,5,4,1,5,3,0,7,9,9,4,4,9,5,7,9,7,5,9,5,4,3,5,6,6,2,1,4,9,13,7,12,3,7,7,2,7,8,4,4,3,4,4,5,2,10,6,6,5,3,6,3,5,2,1,2,2,4,0,12
N20000007,10,2,7,7,5,13,8,9,8,10,11,13,16,18,13,12,16,24,15,11,8,10,12,13,13,13,16,14,7,9,5,8,8,12,5,5,6,6,11,12,5,12,18,10,14,16,16,10,7,5,11,16,21,15,17,19,19,19,11,9,12,14,5,7,9,7,5,7,10,10,11,10,4,7,6,3,8,6,5,5,3,7,4,2,3,15
N20000008,5,3,8,6,4,9,4,7,8,10,10,8,13,9,13,14,9,11,7,5,8,10,6,8,7,7,3,5,4,6,7,5,6,4,8,8,6,9,4,5,7,5,4,10,3,10,10,9,7,12,9,8,10,9,9,8,14,15,20,8,9,12,7,4,9,6,11,2,5,2,3,10,11,5,12,4,10,6,1,8,5,6,3,7,5,12
N20000009,4,3,6,4,3,4,3,5,6,5,8,5,9,10,3,8,8,7,9,5,2,6,6,3,2,1,2,3,1,3,3,1,3,2,3,1,3,8,7,3,1,7,4,4,5,10,8,6,10,10,10,6,9,7,9,8,10,1,7,3,5,6,2,3,3,3,5,5,3,4,4,2,1,5,3,4,2,3,2,3,2,5,0,2,1,9
N20000010,6,3,7,6,6,5,4,9,3,10,6,8,6,9,7,8,5,3,7,3,9,6,7,6,3,8,9,11,3,14,8,5,6,3,4,2,7,2,7,4,8,8,2,8,6,10,4,5,15,6,5,20,10,15,8,12,17,8,6,6,5,7,2,8,4,5,2,6,1,11,6,2,12,3,7,0,5,4,5,4,2,1,3,2,2,8
N20000011,4,5,4,5,8,9,8,10,9,7,4,15,3,11,6,9,6,5,3,7,6,6,8,9,10,7,8,7,6,10,10,8,5,7,6,6,11,7,6,4,7,9,5,7,0,4,5,6,5,12,15,4,6,2,9,5,7,10,6,9,5,3,4,4,1,3,8,9,4,10,4,7,10,3,4,4,3,1,6,2,6,0,0,1,1,3
N20000012,1,5,1,5,4,2,1,3,5,5,3,3,6,4,3,3,3,1,3,4,3,5,2,5,10,5,5,2,6,6,7,3,7,7,2,4,8,4,7,5,4,8,4,1,6,4,6,9,7,10,6,9,16,7,9,13,14,20,3,6,6,2,6,3,12,7,7,3,11,8,8,9,5,10,5,11,6,9,6,5,5,8,3,1,4,9
N20000013,2,4,2,2,2,0,2,3,5,4,4,3,5,5,3,4,3,4,10,7,4,1,8,10,4,1,5,5,3,2,3,2,3,4,0,2,1,1,2,2,5,3,5,2,5,4,5,2,10,8,5,11,8,11,10,6,6,4,5,4,4,7,6,6,1,3,4,8,4,5,2,6,7,7,2,4,7,6,3,3,3,8,6,1,5,28
N20000014,10,6,12,7,5,14,7,6,4,4,5,7,3,4,8,9,3,5,3,4,1,5,3,5,6,4,3,3,6,3,5,5,5,10,2,4,8,4,4,6,5,8,2,5,4,3,6,8,9,9,4,5,8,6,7,11,8,9,6,10,4,5,7,6,7,10,6,7,4,2,8,6,6,5,6,4,5,3,5,5,4,3,6,5,3,19
N20000015,11,9,7,6,7,14,5,8,8,5,13,8,14,12,3,7,4,9,7,6,7,3,3,1,11,4,8,9,12,10,11,4,12,5,9,12,9,6,11,7,4,6,13,4,11,2,5,6,11,5,6,7,10,7,8,12,9,5,2,5,9,10,9,8,9,8,5,3,11,6,6,5,3,1,5,6,3,5,3,3,3,2,3,0,4,5
N20000016,7,6,5,11,10,7,5,9,5,8,7,1,2,4,0,5,5,7,4,1,4,7,4,4,8,5,2,7,5,5,11,8,6,9,9,8,11,9,10,6,6,8,4,5,6,5,4,4,10,3,5,5,2,8,6,7,5,10,6,7,0,2,4,1,0,4,4,5,5,3,6,3,3,5,0,4,4,11,2,4,2,0,3,1,4,9
N20000017,12,7,7,10,7,4,12,6,6,10,12,11,14,4,16,11,12,11,7,8,7,12,4,7,10,4,9,8,6,10,10,14,9,15,13,8,13,17,4,8,6,5,7,10,9,1,13,10,6,7,12,5,7,14,11,14,5,8,7,4,10,7,7,5,8,7,3,9,8,5,6,7,5,3,6,4,3,4,6,4,2,0,5,1,0,7
N20000018,12,6,8,9,4,3,6,7,8,9,7,6,7,2,9,9,6,9,10,9,5,7,6,7,6,5,5,11,7,4,3,9,8,8,3,5,9,7,4,3,6,1,1,6,6,5,10,5,5,10,9,8,7,13,8,12,12,11,4,11,8,8,9,2,4,3,5,3,0,3,3,4,1,3,3,1,0,2,0,1,2,0,1,0,0,2
N20000019,2,2,3,3,3,5,2,4,4,2,4,1,1,0,2,5,2,2,5,2,4,1,3,8,6,2,7,7,5,3,9,4,9,8,4,6,4,7,5,4,4,2,6,5,3,2,6,6,4,3,4,10,3,5,3,4,4,7,9,1,2,6,8,5,3,3,6,2,3,2,0,4,1,6,4,4,7,4,8,7,3,6,4,12,1,29
N20000020,4,7,6,5,8,4,10,8,6,9,7,9,3,4,11,7,8,3,7,2,6,10,6,9,4,5,9,5,9,8,6,3,10,7,8,7,13,3,10,9,6,5,6,7,3,9,6,11,9,3,8,8,5,9,12,3,8,7,6,11,11,4,3,9,10,6,5,6,13,7,6,5,3,9,7,6,2,11,4,1,4,2,1,1,3,9
N20000021,4,7,10,7,4,9,9,14,6,6,8,9,8,10,13,5,9,8,3,5,7,2,6,6,5,8,5,3,8,6,14,7,4,7,12,11,6,9,4,10,7,6,6,16,6,8,6,12,13,10,9,7,9,7,10,6,7,8,7,10,6,4,8,7,3,8,0,3,2,1,5,1,1,2,2,6,2,1,5,0,1,0,4,0,0,6
N20000022,10,14,10,13,14,8,15,7,5,8,8,1,9,8,6,2,8,4,3,6,3,2,3,2,8,6,12,12,8,8,3,12,11,10,11,14,8,12,10,6,8,11,5,9,4,3,6,3,1,3,5,5,1,3,4,2,2,7,5,3,5,2,2,0,3,0,1,1,0,2,0,3,1,0,2,3,2,0,3,1,0,1,3,0,0,1
N20000023,8,4,14,5,7,7,5,6,1,8,8,7,4,9,3,7,7,3,7,4,3,2,9,2,9,5,6,5,5,9,4,9,8,6,9,8,4,9,7,9,3,6,6,3,4,1,11,2,5,4,5,6,6,7,8,6,8,9,9,14,13,5,14,7,10,9,5,2,2,2,1,3,4,3,6,10,4,2,4,8,5,1,0,3,1,7
N20000024,13,4,6,9,11,9,11,9,5,6,11,10,12,8,11,9,10,15,7,13,11,4,8,6,5,9,6,7,4,8,7,12,3,8,9,5,3,3,10,11,8,8,8,7,10,10,2,7,13,14,8,7,6,6,11,10,6,7,10,9,7,5,9,8,10,5,8,7,8,7,2,3,4,1,3,4,4,4,4,3,2,6,2,2,1,10
N20000025,7,3,6,8,3,10,11,9,14,10,13,12,13,11,8,11,6,4,2,3,4,4,5,0,4,2,4,5,5,3,3,6,7,5,7,7,5,1,8,8,5,10,9,17,7,8,11,8,12,8,3,7,5,5,1,5,7,2,1,1,1,8,1,1,2,1,1,2,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
N20000026,3,4,4,7,3,6,5,6,3,6,4,3,9,6,4,7,8,8,14,6,7,10,7,5,6,2,3,5,5,9,2,4,4,2,4,2,4,3,6,4,5,12,4,9,5,9,6,7,10,9,18,10,5,13,10,8,11,14,5,7,8,7,13,7,7,4,13,2,10,8,7,7,6,4,5,4,6,10,3,3,3,3,1,5,2,16
N20000027,14,8,17,15,15,18,13,15,8,8,15,13,12,15,12,5,7,7,3,5,2,0,2,5,4,2,4,5,5,5,14,9,12,16,15,12,19,10,12,15,14,15,14,18,8,10,11,10,5,3,7,8,7,5,2,1,5,3,0,3,1,1,0,1,1,0,0,1,1,1,1,1,3,2,0,2,0,0,0,0,1,0,0,2,0,0
N20000028,5,6,4,5,3,9,13,7,16,5,4,8,8,8,8,10,8,10,5,6,1,6,3,3,1,7,2,4,3,7,10,4,5,2,7,4,10,9,12,10,6,12,8,7,5,9,4,4,6,9,6,13,6,6,5,8,10,10,6,7,2,9,5,3,11,8,9,7,3,11,7,7,7,6,2,6,3,4,8,6,1,3,3,2,4,11
N20000029,4,9,5,3,5,9,9,7,10,3,6,9,6,11,5,11,10,10,4,4,6,7,1,8,3,6,10,8,5,8,4,11,10,7,3,4,6,10,7,4,9,4,2,7,3,10,1,10,3,14,10,5,4,3,7,15,15,14,11,11,10,10,7,6,6,5,5,10,7,5,9,4,7,1,6,2,1,1,3,4,2,4,1,6,0,5
N20000030,6,5,9,4,6,9,5,6,8,0,9,6,7,4,4,4,5,2,7,8,5,4,8,5,5,7,9,3,3,8,5,7,6,4,2,3,6,5,0,12,6,11,8,6,3,6,3,11,6,7,9,6,11,7,6,8,7,10,9,7,6,2,11,2,5,9,9,8,5,3,5,4,8,7,3,4,5,4,1,5,2,3,3,3,1,12
N20000031,3,3,7,5,4,3,4,7,7,5,1,6,8,7,2,3,5,6,5,3,2,8,7,8,10,5,3,6,9,9,9,4,6,7,5,8,4,2,7,6,4,6,2,4,2,8,7,8,8,7,9,12,12,8,17,20,12,12,8,11,8,10,6,12,8,5,4,7,5,3,6,6,3,1,4,8,4,3,4,3,2,4,4,4,1,9
N20000032,0,2,4,5,3,7,5,6,8,14,7,12,12,7,10,8,10,5,7,8,4,6,6,6,4,9,6,5,0,5,2,4,5,2,11,9,7,3,5,6,9,5,5,8,9,7,2,5,9,9,3,9,4,5,5,6,10,7,10,9,7,6,3,4,1,4,3,4,2,2,3,8,0,1,2,4,1,4,3,3,0,2,1,1,0,7
N20000033,4,3,9,5,8,3,7,9,9,10,13,10,8,9,4,9,2,8,0,3,8,7,4,12,8,4,9,5,7,7,5,5,5,3,14,6,7,11,9,9,8,6,10,2,9,5,4,7,6,7,5,10,5,6,9,4,4,3,8,14,10,10,13,10,7,3,8,3,6,4,3,5,5,7,0,2,4,6,1,1,2,3,1,1,2,3
N20000034,6,5,4,6,8,3,10,3,7,10,5,10,4,10,7,8,6,4,7,4,3,10,5,10,6,7,5,4,3,2,2,6,8,8,3,5,6,4,6,3,7,4,7,7,4,7,8,6,11,6,6,5,4,5,4,5,8,6,6,2,5,4,3,4,2,6,6,4,5,5,8,10,1,1,5,2,4,1,5,4,2,0,0,0,2,3
N20000035,8,14,8,5,14,6,11,15,13,9,15,13,13,12,8,14,9,15,11,5,5,9,9,5,5,5,10,5,8,10,8,10,11,8,7,7,7,8,13,13,7,10,19,10,14,17,11,13,11,19,16,15,8,12,6,10,6,7,5,12,2,8,1,8,0,9,7,4,1,4,0,2,2,1,2,1,1,1,2,1,1,0,0,1,1,1
N20000036,5,7,4,4,6,9,10,11,8,9,8,4,9,6,5,5,3,4,5,2,1,6,6,0,5,1,4,3,7,6,2,5,7,12,10,7,11,13,8,7,10,4,5,9,6,2,1,6,0,8,3,7,6,6,4,4,1,4,1,3,4,3,6,0,1,0,4,1,2,2,2,0,2,3,0,2,0,0,0,1,1,0,0,0,1,0
N20000037,7,8,4,9,7,14,7,7,8,5,13,8,7,9,11,6,8,7,8,4,6,2,2,5,5,2,3,2,6,8,7,8,5,8,6,7,7,10,6,10,6,7,6,6,4,8,5,2,6,3,5,5,11,9,3,4,2,4,1,4,1,5,4,6,6,4,3,0,2,3,1,1,3,1,0,1,0,1,0,1,3,0,0,0,1,1
N20000038,11,13,14,10,11,9,8,11,5,12,8,7,5,3,6,4,2,4,8,2,4,4,7,8,15,12,30,32,18,25,19,10,16,18,6,16,17,13,11,7,10,7,10,12,6,14,9,5,7,7,2,5,2,7,3,5,5,4,2,4,3,6,0,3,4,2,1,1,2,1,1,0,1,4,4,0,2,1,2,1,2,1,2,1,1,10
N20000039,7,2,3,5,1,5,1,2,6,3,5,4,3,6,1,3,8,8,8,7,4,3,3,6,2,3,3,4,5,2,3,7,6,4,6,6,4,10,7,7,12,7,2,2,9,3,8,9,5,6,5,4,8,16,3,6,10,8,7,5,9,9,10,5,5,8,13,4,11,9,7,11,6,9,5,7,3,3,9,2,5,5,4,3,1,9
N20000040,11,6,8,5,7,7,8,8,4,14,10,9,13,13,3,3,5,7,4,6,1,0,3,4,4,4,3,3,5,5,7,6,7,2,6,8,5,11,10,8,12,8,5,3,6,9,0,9,2,3,3,5,4,3,4,1,1,1,4,6,4,1,2,1,2,1,0,0,3,0,0,2,1,3,2,3,1,2,1,0,0,0,0,0,0,1
N20000041,11,8,10,9,11,15,6,12,13,15,14,18,15,21,12,11,20,14,19,7,6,14,7,12,12,8,8,7,11,11,11,11,13,12,9,17,8,10,15,13,14,19,7,9,15,15,20,18,23,17,19,15,21,9,16,12,13,12,17,7,12,10,11,5,6,6,11,6,11,4,12,3,6,5,5,5,4,1,11,4,4,0,2,2,1,11
N20000042,13,21,11,12,14,10,11,9,15,17,4,13,11,11,12,11,2,4,4,7,4,5,6,10,5,9,13,10,11,16,16,15,9,23,17,16,24,14,14,14,10,18,8,17,14,9,14,13,9,10,7,4,5,6,9,5,6,2,3,4,5,0,4,2,5,0,0,2,1,2,0,2,1,0,1,0,0,0,0,3,1,1,0,0,0,1
N20000043,11,17,21,17,11,16,18,18,22,18,21,16,21,22,15,13,8,9,4,8,11,6,8,9,7,13,14,16,12,10,11,15,14,10,16,24,9,27,17,28,25,25,15,18,10,19,11,16,9,9,3,8,6,7,9,3,2,0,4,5,3,1,6,1,3,2,2,6,0,3,2,0,1,2,0,2,0,1,2,0,1,0,0,1,1,1
N20000044,12,14,11,6,6,8,2,4,9,7,5,4,7,5,4,3,7,4,0,1,5,3,8,6,7,6,6,14,13,14,12,9,12,19,17,10,10,4,11,5,13,4,7,3,5,3,3,9,7,7,5,2,9,8,4,8,8,6,5,3,6,5,2,5,8,1,3,4,2,6,1,5,0,0,1,2,0,4,0,2,1,0,0,2,3,2
N20000045,5,3,7,5,5,3,8,2,5,3,3,10,1,8,11,2,4,5,3,5,5,5,4,3,6,7,5,5,5,4,5,6,9,7,4,7,4,4,3,3,3,6,2,5,6,4,9,4,3,9,11,19,12,11,9,13,9,7,8,6,4,7,6,7,4,5,0,1,3,3,6,6,7,2,1,1,7,4,2,3,3,2,6,2,4,13
N20000046,4,9,10,10,8,10,10,9,9,5,10,6,6,6,6,7,5,4,7,3,3,8,3,2,7,5,11,7,9,5,4,9,12,13,16,10,7,10,8,13,8,9,9,10,9,10,9,6,5,8,4,7,7,1,8,9,10,10,8,2,10,5,7,5,4,4,4,2,3,5,4,1,4,4,1,7,4,6,4,3,6,3,4,4,3,13
N20000047,5,7,2,7,4,7,7,4,7,6,6,3,9,5,4,5,6,5,3,3,4,6,1,6,7,3,11,5,5,10,9,7,8,9,1,10,4,1,3,6,6,8,12,10,7,12,6,7,8,9,6,7,6,6,12,9,1,5,5,3,9,5,4,1,4,1,4,3,3,10,3,5,3,5,3,7,7,5,3,6,2,7,3,4,2,40
N20000048,6,2,4,1,4,5,3,10,2,3,6,5,3,6,10,5,6,7,4,4,6,4,2,6,5,7,2,7,3,4,7,4,4,4,5,8,3,8,6,6,4,8,5,7,6,10,6,6,8,7,6,9,8,13,7,5,12,9,9,7,11,9,8,12,8,5,7,5,12,9,8,14,11,9,8,11,8,5,11,8,4,7,4,6,2,17
N20000049,2,2,3,3,5,4,3,5,3,5,2,8,4,6,2,7,11,3,8,6,5,11,8,2,6,9,2,5,5,5,3,2,9,10,9,9,6,6,3,12,9,9,8,10,13,9,8,6,12,9,4,5,10,11,6,10,12,7,6,9,6,5,10,4,5,12,7,7,5,9,5,6,5,5,11,7,2,3,5,4,2,5,3,2,6,18
N20000050,2,7,4,5,2,2,1,4,6,5,8,8,2,5,5,6,3,6,3,6,5,6,5,8,7,13,4,7,4,3,4,7,5,4,7,4,9,7,8,5,11,4,6,5,7,9,5,5,7,11,3,3,4,7,8,2,7,4,5,5,5,6,3,3,4,2,3,1,5,6,1,8,7,3,4,8,6,0,4,0,3,0,2,1,3,3
N20000051,4,7,12,9,8,4,7,13,7,14,4,8,7,4,3,7,10,6,5,6,6,4,4,5,11,6,8,5,4,5,11,7,6,10,5,9,11,10,5,10,4,6,6,5,9,8,2,6,5,2,3,5,9,8,6,5,5,7,6,4,3,5,4,4,3,6,6,10,2,8,6,2,3,5,4,1,5,4,2,0,2,5,3,0,0,1
N20000052,4,6,5,5,11,4,6,6,5,14,7,6,5,7,4,6,4,9,8,8,5,2,8,6,7,3,13,6,7,6,3,5,8,7,11,6,9,7,14,2,6,5,0,6,6,3,4,5,6,6,7,8,8,9,9,8,9,7,9,8,6,5,7,6,3,11,7,8,4,5,3,3,3,1,5,2,9,3,2,3,2,2,3,2,1,3
N20000053,6,2,2,6,2,12,4,10,3,4,4,3,6,6,11,11,3,4,3,3,5,4,2,4,9,2,5,3,4,3,1,5,10,1,4,8,3,9,11,8,5,7,9,3,5,11,2,5,6,7,2,5,4,7,6,4,6,9,10,5,3,4,5,7,4,3,4,6,1,5,6,4,5,5,4,4,1,2,0,5,2,2,0,2,0,8
N20000054,4,8,6,4,5,6,8,5,13,11,2,7,5,7,7,4,7,4,5,7,8,7,4,8,5,9,10,10,9,8,7,11,7,7,8,5,7,5,5,11,12,6,6,5,4,5,6,8,12,5,6,6,7,7,3,5,2,3,5,9,5,12,4,4,6,3,2,3,3,3,1,2,9,4,5,6,3,4,5,4,0,1,4,4,1,15
N20000055,2,3,5,6,4,4,2,6,6,8,4,9,4,4,3,7,4,4,4,3,3,2,8,6,6,8,8,2,4,4,2,1,4,2,4,6,9,1,3,2,2,4,5,8,3,6,5,4,6,3,7,7,1,2,4,4,5,3,7,3,8,4,2,1,2,3,4,4,2,4,6,3,1,4,3,3,2,2,1,1,0,1,1,2,1,2
N20000056,9,6,14,2,6,7,8,8,13,7,5,11,14,6,5,4,14,11,7,5,14,8,8,13,11,3,6,3,6,5,7,5,6,10,9,8,4,11,9,5,8,12,9,5,4,7,5,5,7,3,4,4,2,7,8,6,3,4,3,3,8,6,4,3,6,1,3,1,0,4,2,5,2,1,2,1,2,0,3,0,2,3,2,0,1,2
N20000057,9,5,7,3,5,8,7,1,3,1,0,7,4,4,5,3,2,7,5,5,6,2,9,3,7,10,3,7,12,3,5,6,9,8,7,7,7,7,7,8,3,3,4,6,4,5,6,9,7,4,5,0,4,7,4,10,5,9,11,8,7,12,8,9,6,4,6,3,8,7,2,3,6,8,9,1,2,2,5,3,3,1,4,4,3,8
N20000058,6,7,11,7,4,9,7,5,5,6,12,6,9,5,3,3,7,10,8,4,5,10,5,4,7,5,7,8,11,4,6,4,6,6,5,1,7,7,4,5,4,7,6,4,3,6,8,8,10,6,5,3,5,4,5,7,1,3,6,5,4,1,2,3,2,2,3,3,2,4,0,8,4,2,1,3,2,1,2,2,2,1,3,0,0,1
N20000059,4,5,1,5,2,5,7,5,7,7,10,9,4,4,4,1,6,3,5,7,7,8,6,6,4,3,2,7,8,6,2,7,6,6,4,9,9,7,12,2,4,5,5,5,8,1,4,7,11,4,3,7,5,4,2,6,6,2,11,5,10,4,4,4,6,8,4,3,4,4,4,3,3,3,5,1,2,0,2,4,0,2,0,3,0,3
N20000060,3,3,5,4,4,4,2,4,6,5,8,4,7,4,5,5,9,5,3,6,5,4,3,5,4,2,3,3,2,2,1,3,5,2,2,2,3,5,5,6,9,3,4,1,5,2,6,7,8,11,9,5,12,7,12,6,3,7,5,2,2,6,3,3,2,3,3,5,5,5,4,4,3,2,1,0,3,1,4,2,0,1,3,1,2,2
N20000061,5,2,2,5,7,6,4,5,4,7,8,3,6,6,4,6,9,9,3,5,8,2,5,6,3,4,7,1,3,5,4,1,3,3,4,3,5,4,7,7,7,3,9,6,4,9,3,7,7,9,5,8,3,5,7,4,6,3,3,8,1,3,4,2,5,8,4,4,2,0,3,5,1,4,5,1,2,2,1,4,2,2,3,0,3,4
N20000062,3,8,5,6,11,12,6,6,7,10,7,8,8,8,10,10,10,14,4,11,8,9,4,11,13,10,8,7,7,13,11,8,5,10,5,2,11,11,6,11,9,10,9,9,5,8,9,10,10,9,7,7,3,7,8,4,10,7,3,6,8,6,9,7,4,2,4,6,5,4,4,5,6,4,8,3,3,1,5,1,4,4,1,0,1,5
N20000063,2,2,4,4,4,2,2,5,3,3,3,1,1,1,3,0,1,1,2,2,2,1,12,5,6,9,6,8,5,3,7,6,7,8,3,2,7,6,8,3,9,3,2,4,3,8,4,4,6,12,5,3,7,4,5,5,3,9,3,7,4,5,4,6,2,5,3,2,3,6,2,6,8,3,3,0,6,0,3,4,3,2,1,0,0,6
N20000064,1,6,0,0,3,2,5,0,1,3,4,4,1,3,3,2,3,7,2,4,3,5,3,8,6,5,6,2,5,2,3,3,3,2,6,5,2,4,2,6,5,5,5,3,6,4,3,4,3,3,6,5,5,4,8,6,6,5,3,5,3,4,10,7,8,13,9,8,9,5,10,8,5,6,6,6,2,9,5,6,6,3,0,3,2,7
N20000065,5,1,8,4,7,3,4,5,5,7,8,6,3,6,5,1,3,5,1,4,2,6,6,4,3,3,2,1,5,8,0,5,7,4,5,2,1,3,7,6,5,1,3,3,6,4,8,6,4,9,7,4,9,2,1,5,7,6,7,5,6,8,5,11,6,4,10,5,9,4,9,9,13,8,11,11,9,7,10,5,11,11,3,5,2,17
N20000066,4,3,4,8,6,5,6,9,4,3,5,4,5,4,4,5,1,1,4,2,5,7,4,0,1,3,2,2,1,4,5,6,8,10,6,5,5,5,3,5,6,4,2,3,1,2,3,2,6,9,5,7,3,3,7,4,8,3,7,0,5,3,2,5,5,2,3,2,4,4,4,2,1,5,0,4,1,2,3,1,0,0,2,1,2,3
N20000067,5,11,6,8,11,13,4,17,10,15,8,8,11,6,9,6,7,8,11,6,8,7,3,7,7,4,9,4,5,8,14,10,10,12,6,8,6,7,6,7,6,7,8,11,6,8,3,7,5,6,6,5,7,10,3,3,8,4,3,6,5,4,3,3,1,3,6,7,2,2,4,4,2,3,6,3,3,3,1,0,1,1,1,0,2,1
N20000068,3,3,1,1,7,4,6,3,6,1,5,0,3,2,5,1,1,0,1,1,7,5,3,3,1,2,3,3,4,5,6,4,4,4,2,3,4,5,2,1,2,3,6,4,6,2,5,7,2,5,5,5,8,3,3,5,8,10,3,5,4,3,4,5,9,6,3,8,7,4,7,8,6,4,8,5,4,8,7,2,8,10,6,7,5,51
N20000069,3,8,3,10,8,8,3,4,6,11,3,8,9,4,9,5,7,5,7,4,4,3,5,4,4,7,3,2,7,7,4,4,4,2,5,5,5,9,18,8,5,12,8,5,6,9,7,9,8,11,9,7,15,5,6,5,12,13,6,5,6,4,3,7,1,6,0,1,3,1,2,6,2,3,2,1,4,4,2,2,1,0,0,1,0,3
N20000070,3,6,3,4,3,5,6,3,1,4,4,5,1,2,2,2,4,5,2,2,4,8,3,2,5,4,3,1,5,6,3,3,8,4,5,5,4,5,7,4,5,4,5,3,2,9,2,3,8,2,4,6,7,5,5,8,6,6,5,4,8,10,9,6,9,5,2,10,8,9,3,11,6,8,10,4,7,7,7,6,11,1,2,3,4,4
N20000071,5,3,3,4,6,5,4,4,5,5,2,5,9,7,4,3,4,1,2,4,4,2,5,3,4,3,9,4,6,5,3,3,1,5,6,4,4,10,5,8,3,8,3,4,4,3,1,4,5,5,6,14,7,9,6,4,5,4,7,7,3,5,3,1,5,5,2,1,1,3,4,3,4,0,1,2,1,0,0,1,1,0,0,0,0,1
N20000072,6,4,7,6,5,5,5,6,10,12,9,9,8,5,8,2,6,4,8,6,2,6,3,6,3,4,3,8,6,7,9,9,4,12,7,7,6,5,6,10,9,7,6,13,5,9,7,7,16,9,5,9,8,15,5,7,8,9,7,6,7,6,3,3,12,4,1,5,9,4,3,2,6,10,6,7,8,4,8,2,4,1,5,4,5,10
N20000073,5,1,6,7,3,5,7,8,6,5,10,4,11,2,8,3,6,6,4,7,4,4,8,3,3,3,8,5,11,6,5,8,11,11,3,5,3,8,8,9,2,10,4,7,4,4,5,10,6,14,6,3,8,4,3,8,6,6,6,5,5,5,5,1,4,6,4,7,3,3,6,5,3,4,3,4,7,4,5,7,3,3,8,2,4,12
N20000074,3,7,10,5,6,5,9,3,8,2,5,4,5,1,6,4,6,5,5,2,4,7,8,5,13,8,6,7,11,12,6,4,7,7,5,3,6,7,4,3,5,7,4,8,6,4,6,6,6,3,4,6,8,5,4,6,11,4,8,6,8,5,6,6,5,2,3,5,3,1,6,4,0,6,7,7,4,3,6,7,2,5,3,0,5,4
N20000075,1,8,8,8,6,4,7,4,5,8,7,5,10,3,8,7,12,4,2,4,4,6,6,3,3,4,3,2,9,7,7,4,5,6,5,9,5,12,11,10,11,11,10,4,5,9,16,12,10,11,11,6,5,5,5,5,4,8,3,2,3,2,1,2,1,6,2,1,2,1,1,5,1,0,2,1,0,2,1,0,0,1,0,2,0,1
N20000076,8,4,6,6,2,4,5,4,4,5,7,2,4,3,2,3,4,3,3,4,2,1,5,5,4,8,1,3,7,4,7,8,7,7,10,11,5,4,3,5,6,2,7,4,3,3,1,4,7,10,5,10,9,8,2,4,6,6,4,1,3,1,8,9,4,5,5,2,3,1,3,2,3,3,5,2,1,4,3,3,5,0,1,0,1,5
