dz_2021_code,age_0_years,age_1_year,age_2_years,age_3_years,age_4_years,age_5_years,age_6_years,age_7_years,age_8_years,age_9_years,age_10_years,age_11_years,age_12_years,age_13_years,age_14_years,age_15_years,age_16_years,age_17_years,age_18_years,age_19_years,age_20_years,age_21_years,age_22_years,age_23_years,age_24_years,age_25_years,age_26_years,age_27_years,age_28_years,age_29_years,age_30_years,age_31_years,age_32_years,age_33_years,age_34_years,age_35_years,age_36_years,age_37_years,age_38_years,age_39_years,age_40_years,age_41_years,age_42_years,age_43_years,age_44_years,age_45_years,age_46_years,age_47_years,age_48_years,age_49_years,age_50_years,age_51_years,age_52_years,age_53_years,age_54_years,age_55_years,age_56_years,age_57_years,age_58_years,age_59_years,age_60_years,age_61_years,age_62_years,age_63_years,age_64_years,age_65_years,age_66_years,age_67_years,age_68_years,age_69_years,age_70_years,age_71_years,age_72_years,age_73_years,age_74_years,age_75_years,age_76_years,age_77_years,age_78_years,age_79_years,age_80_years,age_81_years,age_82_years,age_83_years,age_84_years,age_85_years
N20000486,17,9,14,15,8,13,12,12,11,5,6,12,10,4,5,7,8,0,3,7,2,0,3,5,5,12,8,13,11,20,8,18,15,27,18,10,15,14,7,7,4,6,7,8,5,4,6,13,11,4,5,4,5,5,7,8,4,6,5,8,7,2,5,2,4,1,3,3,2,3,3,0,0,4,0,1,4,0,1,0,2,1,0,0,1,2
N20000487,4,11,4,5,5,4,1,6,4,4,4,4,6,4,8,7,8,9,7,9,4,10,7,12,7,5,7,5,9,9,8,0,4,5,4,5,5,5,5,4,6,6,8,1,6,4,0,8,5,11,5,10,14,13,12,12,14,9,15,9,10,8,12,12,11,7,10,6,6,3,4,2,9,2,1,2,2,3,5,3,2,4,3,0,0,4
N20000488,3,8,4,7,8,9,4,6,7,11,9,9,7,9,9,9,8,10,5,6,1,4,6,6,6,11,2,5,2,6,4,3,5,1,5,10,8,11,7,3,7,3,7,3,5,11,2,11,9,12,7,7,16,9,8,11,4,5,6,9,4,9,10,4,10,9,4,4,4,8,4,6,5,5,3,5,0,5,3,1,2,2,1,4,7,15
N20000489,4,5,8,7,5,8,8,6,7,4,3,2,2,5,4,4,1,6,4,5,2,5,5,2,7,8,6,5,5,2,10,7,7,1,15,4,8,4,4,6,4,3,7,3,6,4,6,3,0,5,0,6,7,9,2,6,5,5,8,8,6,2,4,3,6,9,11,9,6,6,7,8,8,3,4,4,3,6,0,0,2,2,6,3,1,4
N20000490,14,6,15,13,11,10,20,6,9,10,14,13,12,10,8,7,9,10,14,14,16,17,12,17,10,13,11,10,13,12,13,10,12,15,12,2,8,6,12,11,8,15,5,10,7,5,2,13,9,12,9,13,13,8,10,12,8,17,6,8,11,3,10,11,9,11,5,3,7,9,8,8,6,5,5,4,7,8,4,3,2,1,1,2,0,3
N20000491,7,3,5,7,5,4,9,5,5,6,6,10,4,6,3,7,6,7,5,7,5,6,5,6,3,5,6,4,4,4,6,6,6,4,6,4,6,3,7,7,3,5,3,2,3,3,5,5,6,2,7,5,8,3,9,6,2,9,10,7,5,5,4,6,3,5,8,7,4,7,4,1,3,8,4,4,1,6,5,1,5,6,1,1,2,5
N20000492,6,3,6,6,3,1,3,7,4,3,4,5,9,6,12,4,9,5,7,6,6,9,10,3,11,9,6,6,8,5,7,11,2,7,10,3,3,4,12,2,7,7,8,3,8,4,6,9,4,9,11,13,11,6,9,10,10,15,2,9,6,7,6,8,5,8,7,6,3,2,3,3,6,3,7,4,6,5,7,2,1,3,2,3,3,9
N20000493,4,1,4,3,3,4,4,2,4,7,1,3,1,3,5,3,7,4,6,4,11,5,7,14,10,9,8,10,7,10,10,7,10,8,2,4,3,1,4,6,2,6,3,4,4,6,4,3,5,6,6,5,12,5,10,13,13,12,13,15,17,13,15,5,12,8,11,7,8,13,11,7,9,8,9,7,10,9,8,6,5,3,3,3,6,14
N20000494,4,5,7,9,14,11,11,8,10,5,9,7,12,7,9,5,10,5,4,5,7,5,7,10,2,10,6,8,9,10,12,5,7,6,6,10,9,11,7,10,5,6,6,9,5,3,4,6,5,5,9,9,10,13,6,7,6,11,6,11,7,7,10,8,9,9,7,6,9,7,8,9,6,6,3,3,8,10,3,3,2,2,1,2,2,8
N20000495,7,8,10,12,16,10,15,12,13,19,10,14,17,21,15,19,9,9,8,16,10,10,3,7,10,5,4,4,3,3,2,7,13,7,9,12,9,15,20,13,12,13,22,9,7,15,13,13,11,6,11,7,4,7,5,8,3,2,8,9,9,5,6,1,1,3,2,1,1,1,0,0,0,1,0,2,2,1,0,0,0,0,1,0,1,3
N20000496,6,11,18,10,9,10,5,9,6,7,6,9,6,3,7,7,6,8,7,5,4,7,13,8,10,16,13,16,12,8,13,11,13,17,15,10,11,6,9,8,12,8,9,3,5,3,5,8,12,3,11,5,5,16,12,13,13,6,12,10,6,8,9,3,6,5,8,6,8,6,5,3,7,3,5,5,4,5,2,3,4,2,3,2,0,4
N20000497,16,13,11,11,14,9,10,11,8,4,10,7,8,3,8,7,6,3,4,4,6,3,2,8,6,5,2,2,6,11,10,17,14,6,13,11,10,12,13,7,7,8,5,5,10,10,4,8,4,3,5,4,8,2,9,2,5,7,3,2,4,0,1,2,3,3,4,1,1,1,1,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0
N20000498,11,8,4,8,5,3,6,10,4,9,3,2,5,5,9,2,6,6,6,4,9,8,3,4,3,11,1,10,8,10,12,13,10,11,6,9,8,6,13,9,9,3,4,9,5,10,6,10,9,9,5,8,9,7,3,10,3,2,5,6,6,9,5,7,2,8,8,3,5,4,1,2,0,1,3,5,2,2,0,0,1,0,1,2,0,1
