dz_2021_code,deprived_in_0_dimensions,deprived_in_1_dimension,deprived_in_2_dimensions,deprived_in_3_dimensions,deprived_in_4_dimensions
N20000209,70,53,42,13,1
N20000210,46,73,81,42,11
N20000211,184,63,21,2,0
N20000212,48,60,53,43,15
N20000213,44,68,51,23,1
N20000214,40,68,38,4,0
N20000215,103,53,13,1,0
N20000216,44,61,29,5,0
N20000217,118,91,35,7,0
N20000218,83,110,73,8,0
N20000219,146,72,36,1,0
N20000220,65,92,53,4,0
N20000221,90,85,46,8,0
N20000222,81,73,40,11,2
N20000223,71,68,53,2,1
N20000224,83,75,37,5,0
N20000225,54,43,42,13,2
N20000226,111,86,49,8,2
N20000227,100,63,23,5,0
N20000228,71,61,44,20,5
N20000229,51,80,59,31,10
N20000230,89,80,40,10,3
N20000231,76,89,34,6,0
N20000232,65,51,18,4,0
N20000233,81,69,33,9,0
N20000234,75,63,33,4,0
N20000235,67,62,29,7,1
N20000236,67,70,64,20,1
N20000237,66,56,63,47,2
N20000238,104,90,35,12,1
N20000239,80,68,38,1,1
N20000240,68,49,40,5,0
N20000241,41,39,47,2,0
N20000242,83,69,33,9,0
N20000243,69,53,22,4,0
N20000244,120,74,40,3,0
N20000245,57,52,39,6,0
N20000246,108,67,31,11,1
N20000247,82,63,34,10,0
N20000248,52,41,37,8,0
N20000249,67,46,24,7,0
N20000250,85,37,26,0,0
N20000251,117,80,31,13,1
N20000252,78,54,41,6,0
N20000253,118,86,35,3,0
N20000254,102,59,40,5,0
N20000255,85,63,25,5,0
N20000256,122,44,14,4,0
N20000257,67,56,20,6,0
N20000258,107,71,23,3,1
N20000259,124,96,41,14,0
N20000260,171,73,20,3,0
N20000261,145,123,26,5,1
N20000262,110,97,36,4,0
N20000263,134,66,27,4,0
N20000264,160,90,24,13,2
N20000265,129,61,19,4,0
N20000266,75,45,24,4,0
N20000267,160,77,27,8,1
N20000268,87,81,36,6,0
N20000269,84,104,48,17,3
N20000270,91,43,13,3,1
N20000271,107,45,6,0,0
N20000272,165,55,11,4,1
N20000273,90,42,20,5,0
N20000274,93,79,23,3,1
N20000275,138,39,5,0,0
N20000276,133,47,15,4,0
N20000277,77,47,14,1,0
N20000278,77,71,34,4,0
N20000279,165,83,21,4,0
N20000280,110,76,31,6,0
N20000281,116,71,36,10,0
N20000282,62,53,29,2,0
N20000283,138,93,39,19,7
N20000284,77,72,42,19,1
