dz_2021_code,deprived_in_0_dimensions,deprived_in_1_dimension,deprived_in_2_dimensions,deprived_in_3_dimensions,deprived_in_4_dimensions
N20000895,52,37,24,9,0
N20000896,60,115,74,35,1
N20000897,104,59,12,4,0
N20000898,61,41,37,13,0
N20000899,63,73,46,12,1
N20000900,56,48,45,29,1
N20000901,75,48,25,10,1
N20000902,127,70,37,8,0
N20000903,35,58,61,43,2
N20000904,39,88,79,60,5
N20000905,56,87,43,22,3
N20000906,26,41,31,11,3
N20000907,81,64,58,9,5
N20000908,65,78,38,32,4
N20000909,144,82,31,5,0
N20000910,38,55,67,30,2
N20000911,17,40,51,29,7
N20000912,63,54,44,23,4
N20000913,56,45,28,26,5
N20000914,61,63,41,27,2
N20000915,47,51,41,12,0
N20000916,100,51,37,8,1
N20000917,109,69,30,20,0
N20000918,28,53,49,46,11
N20000919,54,58,59,35,1
N20000920,82,58,36,26,4
N20000921,27,36,44,32,10
N20000922,43,46,62,38,6
N20000923,96,62,31,4,1
N20000924,61,56,59,35,4
N20000925,50,37,22,5,0
N20000926,73,56,30,16,2
N20000927,63,76,68,39,5
N20000928,59,40,42,14,2
N20000929,92,44,37,8,0
N20000930,52,31,31,19,1
N20000931,89,66,57,29,4
N20000932,55,83,55,23,4
N20000933,68,64,36,21,5
N20000934,114,88,32,20,3
N20000935,81,62,42,11,1
N20000936,47,68,102,36,6
N20000937,104,76,40,12,2
N20000938,74,54,23,14,2
N20000939,76,49,30,8,1
N20000940,64,55,31,11,1
N20000941,117,98,63,20,4
N20000942,62,61,35,20,3
N20000943,91,62,29,11,4
N20000944,155,30,20,4,0
N20000945,112,45,21,3,0
N20000946,98,54,17,3,0
N20000947,45,59,48,31,2
N20000948,40,57,41,15,2
N20000949,49,77,85,43,5
N20000950,118,63,37,10,2
N20000951,55,47,21,8,0
N20000952,110,54,12,0,0
N20000953,126,86,26,3,0
N20000954,85,48,9,2,0
N20000955,93,49,4,0,0
N20000956,185,78,46,1,0
N20000957,77,55,53,24,3
N20000958,159,104,45,6,0
N20000959,117,72,17,3,0
N20000960,127,63,25,2,0
N20000961,107,50,7,1,0
N20000962,158,81,25,5,0
N20000963,93,43,6,1,1
N20000964,85,83,34,10,3
N20000965,121,69,15,0,0
N20000966,99,54,34,13,0
N20000967,79,46,26,14,3
N20000968,118,58,31,9,0
N20000969,125,85,33,5,0
N20000970,123,67,30,6,0
N20000971,134,55,8,1,0
N20000972,64,19,15,5,0
N20000973,71,42,9,1,0
N20000974,114,52,12,0,0
N20000975,156,83,33,5,2
N20000976,150,83,46,12,0
N20000977,91,67,39,8,3
N20000978,118,53,21,3,0
N20000979,150,65,13,1,0
N20000980,73,81,63,30,5
N20000981,134,56,38,8,0
N20000982,162,68,19,1,0
N20000983,131,109,52,13,2
N20000984,145,62,20,4,0
N20000985,73,40,11,2,0
N20000986,67,46,31,4,0
N20000987,94,71,50,2,0
N20000988,138,96,32,4,0
N20000989,55,78,59,22,1
N20000990,75,55,22,2,0
N20000991,75,49,20,3,0
N20000992,84,50,16,1,0
N20000993,126,73,37,6,0
N20000994,105,100,41,6,0
N20000995,192,89,16,1,0
N20000996,45,68,75,34,5
N20000997,162,89,24,8,0
N20000998,81,62,20,1,0
N20000999,27,53,26,10,3
N20001000,43,60,61,33,5
N20001001,132,72,17,3,0
N20001002,44,39,23,9,2
N20001003,53,59,31,17,2
N20001004,45,73,55,17,1
N20001005,122,68,19,0,0
N20001006,148,90,33,9,1
N20001007,128,93,58,13,0
N20001008,122,75,27,0,0
N20001009,46,78,51,20,3
N20001010,112,49,16,2,0
N20001011,81,91,67,24,6
N20001012,42,54,49,29,1
N20001013,105,73,45,18,1
N20001014,62,82,68,31,8
N20001015,135,90,34,9,3
N20001016,119,80,53,10,1
N20001017,87,58,23,1,0
N20001018,39,35,30,15,3
N20001019,123,73,38,8,0
N20001020,143,75,26,3,0
N20001021,141,73,25,8,1
N20001022,105,60,26,1,0
N20001023,109,60,24,6,0
N20001024,187,76,18,2,2
N20001025,62,40,12,6,0
N20001026,74,72,59,15,3
N20001027,92,39,34,17,2
N20001028,121,79,47,9,0
N20001029,108,61,19,9,0
N20001030,90,37,20,5,0
N20001031,75,39,28,2,0
N20001032,92,44,20,6,0
N20001033,120,59,51,13,2
N20001034,117,76,24,2,0
N20001035,137,62,8,0,0
N20001036,98,48,15,1,0
N20001037,110,57,19,0,0
N20001038,91,86,63,25,4
N20001039,123,96,42,8,0
N20001040,51,78,76,39,4
N20001041,63,86,68,30,6
N20001042,80,42,9,0,0
N20001043,42,35,26,3,0
N20001044,60,83,88,56,16
N20001045,88,53,46,17,0
N20001046,149,119,71,28,2
N20001047,142,78,33,5,0
N20001048,67,36,19,4,0
N20001049,55,49,28,9,2
N20001050,125,79,25,0,0
N20001051,83,65,32,1,0
N20001052,100,63,25,0,0
N20001053,101,108,90,35,6
N20001054,89,62,29,8,0
N20001055,43,46,30,8,0
N20001056,116,72,41,10,0
N20001057,70,48,25,21,5
N20001058,65,82,63,26,5
N20001059,98,73,49,16,3
N20001060,77,57,31,5,0
N20001061,106,67,33,11,0
N20001062,71,36,12,3,0
N20001063,152,80,45,6,0
N20001064,48,72,45,29,6
N20001065,64,75,77,26,3
N20001066,185,71,9,2,0
N20001067,75,49,18,2,0
N20001068,108,47,13,2,0
N20001069,107,60,26,2,0
N20001070,176,53,23,2,1
N20001071,97,42,19,3,0
N20001072,126,57,25,6,0
N20001073,142,60,23,3,0
N20001074,94,56,17,2,0
N20001075,107,58,27,3,0
N20001076,144,93,38,6,0
N20001077,148,101,28,1,0
N20001078,62,57,18,2,0
N20001079,51,82,34,17,0
N20001080,60,71,20,8,1
N20001081,79,51,33,32,6
N20001082,26,47,45,47,6
N20001083,38,63,65,42,3
N20001084,22,37,60,38,4
N20001085,136,99,14,2,0
N20001086,19,50,81,52,4
N20001087,87,61,35,12,0
N20001088,131,65,16,12,1
N20001089,9,28,48,28,11
N20001090,65,65,75,40,1
N20001091,67,61,43,20,0
N20001092,33,63,61,47,2
N20001093,32,64,60,52,8
N20001094,41,51,59,27,1
N20001095,49,85,65,58,1
N20001096,69,74,59,22,2
N20001097,31,50,48,39,7
N20001098,75,57,35,16,1
N20001099,47,76,39,25,20
N20001100,60,68,41,31,0
N20001101,48,65,68,30,4
N20001102,57,53,24,18,1
N20001103,64,100,28,5,4
N20001104,69,79,63,28,2
N20001105,71,59,13,8,0
N20001106,127,74,43,11,0
N20001107,55,85,32,10,6
N20001108,46,53,20,8,3
N20001109,42,56,75,31,3
N20001110,36,56,45,25,2
N20001111,57,75,47,25,1
N20001112,59,106,28,8,2
N20001113,90,68,41,22,4
N20001114,65,62,42,24,6
N20001115,119,68,30,4,1
N20001116,56,55,43,25,2
N20001117,51,55,31,23,0
N20001118,83,66,60,13,0
N20001119,80,49,19,7,0
N20001120,90,75,27,9,0
N20001121,147,62,19,2,1
N20001122,48,55,21,4,1
N20001123,76,57,31,4,2
N20001124,142,84,37,6,1
N20001125,80,46,25,6,0
N20001126,152,82,30,15,4
N20001127,91,65,33,13,1
N20001128,54,44,28,9,0
N20001129,88,71,47,17,2
N20001130,83,88,23,8,1
N20001131,86,86,25,7,2
N20001132,80,93,52,22,1
N20001133,120,107,39,8,0
N20001134,128,80,22,8,1
N20001135,122,104,35,6,2
N20001136,89,66,18,3,1
N20001137,126,74,31,4,1
N20001138,104,65,34,19,0
N20001139,125,125,25,6,1
N20001140,118,65,41,13,1
N20001141,58,31,35,35,10
N20001142,112,94,24,3,1
N20001143,89,85,36,6,1
N20001144,153,61,31,7,1
N20001145,114,24,2,2,0
N20001146,97,35,11,0,0
N20001147,54,65,64,32,0
N20001148,103,43,9,9,11
N20001149,122,101,53,13,1
N20001150,89,48,29,11,2
N20001151,94,88,15,5,1
N20001152,101,44,17,8,1
N20001153,124,75,14,2,1
N20001154,57,38,26,18,0
N20001155,103,57,42,9,1
N20001156,162,89,18,7,0
N20001157,66,60,17,8,2
N20001158,106,89,37,19,2
N20001159,111,45,25,17,2
N20001160,104,42,31,7,0
N20001161,128,57,30,15,1
N20001162,73,61,17,2,0
N20001163,96,44,11,5,0
N20001164,139,63,43,6,0
N20001165,110,55,37,9,1
N20001166,164,63,19,4,0
N20001167,154,81,19,1,0
N20001168,158,80,22,5,0
N20001169,125,51,18,9,0
N20001170,148,48,11,2,0
N20001171,80,56,28,2,0
N20001172,192,59,11,1,0
N20001173,116,44,15,2,0
N20001174,143,64,13,3,0
N20001175,106,32,13,2,0
N20001176,106,44,11,3,0
N20001177,118,51,14,2,0
N20001178,117,70,14,1,0
N20001179,97,42,23,3,1
N20001180,64,36,4,1,0
N20001181,81,49,15,1,1
N20001182,123,42,8,0,0
N20001183,107,55,11,3,0
N20001184,208,87,41,8,0
N20001185,128,48,13,2,1
N20001186,149,90,28,3,0
N20001187,67,44,15,8,0
N20001188,96,42,21,3,0
N20001189,114,50,10,3,1
N20001190,82,68,34,7,0
N20001191,111,42,8,1,0
N20001192,71,73,41,10,2
N20001193,95,36,17,1,0
N20001194,72,38,26,14,0
N20001195,159,85,27,6,0
N20001196,102,48,6,1,0
N20001197,92,55,26,3,0
N20001198,114,60,11,0,0
N20001199,146,66,18,0,0
N20001200,96,54,21,0,1
N20001201,120,49,17,5,0
N20001202,80,55,28,8,2
N20001203,70,52,36,12,2
N20001204,93,59,20,4,0
N20001205,63,40,39,25,11
N20001206,22,34,39,9,2
N20001207,23,45,49,36,7
N20001208,44,60,72,49,14
N20001209,61,58,28,15,3
N20001210,81,54,43,18,1
N20001211,70,74,49,25,5
N20001212,53,42,10,1,0
N20001213,59,46,29,22,0
N20001214,98,53,41,25,5
N20001215,111,110,58,9,1
N20001216,65,34,20,6,4
N20001217,117,77,43,15,7
N20001218,90,48,10,2,0
N20001219,86,61,21,4,1
N20001220,92,82,42,12,0
N20001221,112,55,22,2,0
N20001222,42,64,39,24,9
N20001223,90,107,77,23,5
N20001224,55,64,62,28,10
N20001225,41,41,19,6,0
N20001226,93,65,23,1,0
N20001227,53,68,41,23,2
N20001228,35,57,59,44,6
N20001229,59,57,62,20,14
N20001230,145,72,16,1,0
N20001231,134,67,15,1,0
N20001232,110,74,47,23,2
N20001233,98,63,26,1,0
N20001234,122,63,16,2,0
N20001235,17,37,50,46,8
N20001236,110,98,43,17,0
N20001237,63,61,41,12,0
N20001238,37,51,35,5,0
N20001239,47,62,71,36,4
N20001240,54,62,60,45,6
N20001241,43,78,72,32,4
N20001242,49,93,92,59,20
N20001243,59,79,72,56,7
N20001244,108,125,74,19,2
N20001245,55,70,39,13,0
N20001246,101,117,61,11,0
N20001247,62,69,45,28,3
N20001248,25,60,67,43,4
N20001249,56,99,88,45,13
N20001250,62,44,33,9,0
N20001251,102,97,59,12,0
N20001252,37,57,74,31,2
N20001253,128,79,52,23,1
N20001254,61,71,48,21,1
N20001255,44,74,86,55,2
N20001256,35,57,53,35,0
N20001257,33,60,64,46,5
N20001258,162,118,49,4,0
N20001259,95,87,60,22,4
N20001260,104,54,17,3,0
N20001261,40,77,110,72,3
N20001262,45,56,50,33,3
N20001263,27,61,62,55,2
N20001264,153,88,31,3,1
N20001265,89,67,35,8,1
N20001266,30,57,79,46,5
N20001267,102,55,16,5,0
N20001268,30,56,69,43,6
N20001269,22,45,75,64,24
N20001270,31,43,41,40,18
N20001271,93,55,21,1,0
N20001272,25,70,89,47,4
N20001273,74,40,12,6,0
N20001274,48,47,52,32,3
N20001275,108,55,13,1,0
N20001276,30,51,74,51,10
N20001277,63,74,64,40,5
N20001278,106,50,28,5,0
N20001279,112,66,15,3,0
N20001280,74,57,33,7,0
N20001281,86,47,15,2,0
N20001282,68,48,37,13,0
N20001283,33,38,50,31,8
N20001284,115,64,26,6,0
N20001285,48,50,40,27,3
N20001286,20,43,31,20,1
N20001287,33,53,58,27,1
N20001288,46,56,65,48,3
N20001289,63,64,41,17,0
N20001290,155,126,66,14,0
N20001291,85,58,28,11,1
N20001292,119,70,47,14,1
N20001293,30,47,48,29,1
N20001294,49,36,14,2,1
N20001295,26,43,43,37,10
N20001296,68,54,36,8,6
N20001297,42,44,47,22,0
N20001298,49,63,77,44,2
N20001299,23,50,65,45,12
N20001300,36,71,82,62,8
N20001301,37,76,89,73,4
N20001302,31,61,61,51,4
N20001303,60,67,62,15,3
N20001304,31,58,55,66,15
N20001305,35,47,73,56,3
N20001306,16,29,36,27,0
N20001307,58,86,69,25,0
N20001308,80,112,75,35,4
N20001309,114,93,64,14,0
N20001310,41,55,67,53,3
N20001311,48,66,36,29,0
N20001312,52,49,56,19,3
N20001313,37,53,62,51,9
N20001314,28,91,87,59,3
N20001315,64,61,56,17,0
N20001316,51,41,43,24,2
N20001317,34,60,63,53,8
N20001318,71,67,52,12,1
N20001319,46,52,36,24,2
N20001320,21,38,76,59,6
N20001321,66,77,62,29,5
N20001322,59,68,46,29,3
N20001323,25,41,59,29,7
N20001324,54,52,61,44,4
N20001325,45,75,86,78,13
N20001326,70,69,81,40,1
N20001327,62,50,36,10,0
N20001328,44,57,80,73,12
N20001329,35,49,42,12,1
N20001330,70,51,37,9,0
N20001331,74,72,47,8,0
N20001332,29,49,64,21,0
N20001333,67,52,48,14,0
N20001334,104,92,61,18,0
N20001335,57,39,27,11,2
N20001336,32,38,38,39,8
N20001337,50,59,45,20,6
N20001338,34,51,44,27,0
N20001339,93,97,50,26,5
N20001340,51,74,45,7,1
N20001341,45,42,24,10,3
N20001342,54,67,68,28,1
N20001343,56,53,49,22,6
N20001344,33,47,46,24,4
N20001345,63,55,47,26,0
N20001346,52,63,66,36,0
N20001347,19,53,71,51,7
N20001348,37,57,61,26,2
N20001349,54,62,40,15,3
N20001350,70,61,43,8,0
N20001351,66,68,60,21,0
N20001352,50,53,77,30,1
N20001353,31,36,30,22,2
N20001354,54,63,56,34,14
N20001355,60,66,55,32,3
N20001356,65,71,84,37,8
N20001357,55,52,47,25,5
N20001358,59,74,56,35,9
N20001359,50,73,72,33,0
N20001360,55,46,39,15,0
N20001361,97,65,47,8,2
N20001362,53,63,55,21,2
N20001363,64,92,88,39,1
N20001364,74,74,61,33,3
N20001365,56,69,68,35,16
N20001366,46,61,56,15,0
N20001367,61,55,40,9,1
N20001368,39,38,25,8,0
N20001369,34,54,76,43,2
N20001370,41,68,80,42,6
N20001371,63,80,35,8,0
N20001372,34,41,55,25,6
N20001373,70,77,64,21,3
N20001374,74,61,43,12,0
N20001375,75,87,76,32,1
N20001376,11,23,40,25,8
N20001377,22,38,52,62,18
N20001378,48,72,47,32,9
N20001379,81,82,63,26,1
N20001380,127,85,53,4,0
N20001381,72,91,116,70,7
N20001382,39,63,61,34,2
N20001383,54,62,63,56,3
N20001384,63,92,88,49,4
N20001385,42,62,58,45,2
N20001386,61,54,30,7,0
N20001387,27,52,68,52,2
N20001388,75,44,34,6,0
N20001389,40,78,72,53,5
N20001390,62,80,66,25,1
N20001391,75,64,35,6,1
N20001392,67,51,36,12,0
N20001393,16,31,39,30,10
N20001394,44,59,46,25,6
N20001395,28,44,47,37,5
N20001396,26,59,72,44,1
N20001397,47,63,69,36,2
N20001398,44,49,66,38,8
N20001399,46,73,116,57,3
N20001400,33,52,27,25,1
N20001401,106,136,78,34,4
N20001402,121,74,39,9,2
N20001403,20,53,44,20,5
N20001404,63,79,49,27,0
N20001405,38,85,74,32,4
N20001406,22,47,59,49,6
N20001407,35,46,54,29,2
N20001408,44,33,45,33,4
N20001409,25,21,34,30,2
N20001410,16,51,61,25,7
N20001411,46,45,59,30,1
N20001412,23,37,42,33,2
N20001413,56,89,72,35,0
N20001414,26,46,65,29,1
N20001415,19,35,55,41,10
N20001416,27,66,73,44,9
N20001417,37,46,55,25,7
N20001418,74,76,60,27,2
N20001419,35,57,59,23,0
N20001420,33,37,44,19,6
N20001421,21,39,63,38,0
N20001422,66,52,32,8,0
N20001423,11,34,41,41,20
N20001424,60,89,79,46,4
N20001425,62,56,16,8,1
N20001426,24,52,49,34,2
N20001427,61,71,74,61,10
N20001428,53,82,84,52,8
N20001429,39,60,72,45,5
N20001430,33,36,42,31,10
N20001431,17,42,49,41,20
N20001432,23,39,44,24,2
N20001433,26,41,61,56,4
N20001434,27,54,53,42,18
N20001435,27,41,46,29,4
N20001436,27,43,50,29,1
N20001437,26,60,63,36,10
N20001438,28,37,40,44,3
N20001439,92,82,53,29,2
N20001440,31,46,59,39,7
N20001441,65,91,48,25,2
N20001442,45,58,55,27,2
N20001443,44,43,57,30,3
N20001444,37,68,92,53,19
N20001445,43,56,46,30,0
N20001446,66,68,38,13,1
N20001447,97,51,28,5,1
N20001448,72,31,20,5,0
N20001449,55,54,54,34,3
N20001450,85,79,52,6,0
N20001451,32,41,41,20,1
N20001452,105,64,37,10,0
N20001453,88,54,25,5,0
N20001454,57,62,56,35,2
N20001455,38,46,36,16,0
N20001456,107,52,52,17,0
N20001457,74,61,23,7,0
N20001458,90,64,33,8,0
N20001459,130,140,68,15,0
N20001460,61,44,30,5,1
N20001461,80,59,33,10,0
N20001462,89,77,48,13,1
N20001463,51,26,30,7,1
N20001464,72,45,30,10,1
N20001465,82,43,50,2,1
N20001466,112,85,58,11,2
N20001467,38,23,35,19,3
N20001468,103,85,36,21,1
N20001469,104,79,50,10,0
N20001470,30,36,37,26,2
N20001471,50,45,46,19,0
N20001472,54,46,47,11,3
N20001473,85,82,42,24,3
N20001474,46,53,59,14,3
N20001475,80,51,34,11,0
N20001476,91,42,33,7,2
N20001477,117,46,40,8,0
N20001478,80,64,45,14,1
N20001479,93,75,54,22,1
N20001480,81,42,30,5,1
N20001481,77,87,53,25,3
N20001482,112,86,61,12,1
N20001483,42,56,50,13,1
N20001484,91,67,35,8,0
N20001485,92,53,38,6,0
N20001486,40,61,51,46,14
N20001487,78,70,33,6,0
N20001488,29,35,35,22,2
N20001489,128,113,49,7,0
N20001490,41,55,59,38,10
N20001491,124,70,20,2,0
N20001492,120,31,11,2,1
N20001493,38,38,40,19,5
N20001494,88,67,29,5,1
N20001495,23,31,41,35,9
N20001496,22,38,46,28,5
N20001497,95,63,23,6,0
N20001498,45,58,62,29,5
N20001499,31,47,48,22,3
N20001500,22,29,42,26,7
N20001501,136,63,41,14,0
N20001502,37,53,72,44,2
N20001503,70,56,31,9,0
N20001504,48,79,70,50,6
N20001505,87,91,54,10,0
N20001506,59,61,47,27,2
N20001507,41,63,84,36,10
N20001508,131,92,36,11,0
N20001509,48,65,50,26,5
N20001510,79,78,63,16,0
N20001511,90,80,54,11,1
N20001512,65,39,46,13,0
N20001513,115,48,25,9,0
N20001514,157,132,50,8,2
N20001515,67,86,48,3,1
N20001516,112,88,45,11,2
N20001517,57,52,30,9,0
N20001518,177,120,36,1,0
N20001519,36,39,40,15,2
N20001520,124,94,28,8,0
N20001521,87,81,40,9,1
N20001522,55,44,26,10,0
N20001523,42,63,49,28,1
N20001524,117,55,35,8,1
N20001525,85,75,26,4,1
N20001526,81,64,39,3,0
N20001527,113,79,42,7,1
N20001528,106,76,48,17,0
N20001529,63,63,25,6,0
N20001530,129,99,42,7,1
N20001531,35,34,35,12,0
N20001532,80,79,31,10,0
N20001533,63,52,29,9,1
N20001534,58,56,30,7,0
N20001535,30,45,36,11,0
N20001536,58,52,55,14,0
N20001537,71,77,57,25,1
N20001538,91,47,26,4,0
N20001539,116,93,41,7,1
N20001540,97,52,31,22,4
N20001541,58,55,52,14,1
N20001542,115,113,44,9,0
N20001543,102,101,82,22,2
N20001544,90,66,36,5,0
N20001545,85,50,19,5,1
N20001546,48,31,21,4,1
N20001547,78,114,94,39,5
N20001548,87,66,31,6,1
N20001549,79,71,43,12,0
N20001550,33,76,60,33,0
N20001551,37,57,35,14,2
N20001552,75,54,47,3,0
N20001553,79,77,90,51,4
N20001554,45,61,76,45,9
N20001555,107,81,39,7,0
N20001556,87,31,8,3,0
N20001557,113,77,25,4,0
N20001558,116,71,32,1,0
N20001559,27,47,62,32,6
N20001560,107,79,23,1,0
N20001561,59,62,62,36,1
N20001562,61,56,44,18,1
N20001563,34,62,72,38,12
N20001564,44,67,46,28,0
N20001565,68,86,49,19,1
N20001566,20,36,71,31,4
N20001567,57,95,114,42,2
N20001568,78,84,56,16,2
N20001569,106,28,6,1,0
N20001570,82,91,54,37,4
N20001571,8,31,59,42,7
N20001572,66,65,41,27,2
N20001573,79,86,47,11,0
N20001574,38,99,87,44,5
N20001575,43,65,46,31,6
N20001576,88,55,43,7,0
N20001577,58,45,17,2,0
N20001578,32,42,48,38,2
N20001579,32,47,34,23,1
N20001580,105,63,30,5,0
N20001581,54,70,66,21,4
N20001582,75,65,25,2,0
N20001583,94,71,28,5,0
N20001584,78,65,26,1,1
N20001585,97,57,34,7,0
N20001586,85,70,31,5,1
N20001587,161,76,27,3,0
N20001588,65,55,32,13,0
N20001589,98,113,68,8,1
N20001590,80,86,44,6,0
N20001591,125,77,48,8,1
N20001592,95,53,14,1,0
N20001593,90,72,24,3,0
N20001594,101,95,42,4,0
N20001595,30,40,35,24,1
N20001596,122,79,22,3,0
N20001597,131,95,59,15,0
N20001598,67,54,33,13,1
N20001599,79,62,49,20,3
N20001600,16,38,56,26,6
N20001601,62,64,45,21,2
N20001602,91,66,23,4,1
N20001603,76,77,58,22,2
N20001604,113,87,46,23,7
N20001605,31,58,47,19,0
N20001606,53,33,28,2,0
N20001607,68,81,54,18,1
N20001608,42,63,37,20,3
N20001609,75,41,8,3,0
N20001610,104,90,34,12,0
N20001611,108,91,47,4,0
N20001612,46,56,75,34,2
N20001613,132,82,17,2,0
N20001614,79,91,47,15,0
N20001615,136,94,23,1,0
N20001616,126,80,40,12,0
N20001617,85,70,32,7,0
N20001618,115,60,24,1,0
N20001619,63,52,34,5,0
N20001620,68,57,30,8,0
N20001621,124,82,52,10,2
N20001622,44,73,64,32,6
N20001623,119,69,25,1,0
N20001624,99,66,16,3,0
N20001625,41,29,31,6,0
N20001626,64,99,74,24,3
N20001627,101,91,55,14,2
N20001628,59,42,14,2,0
N20001629,38,82,58,5,2
N20001630,92,48,16,3,0
N20001631,102,72,24,1,0
N20001632,144,87,36,2,0
N20001633,102,56,13,4,0
N20001634,110,84,42,9,1
N20001635,155,77,29,2,0
N20001636,80,65,38,11,0
N20001637,122,60,23,0,0
N20001638,140,65,31,10,0
N20001639,84,75,44,20,2
N20001640,50,50,32,3,0
N20001641,35,35,24,7,0
N20001642,57,79,60,26,1
N20001643,48,54,33,9,1
N20001644,129,89,45,19,2
N20001645,83,66,38,7,0
N20001646,50,33,18,8,0
N20001647,97,69,33,16,2
N20001648,58,38,23,7,0
N20001649,59,51,25,9,0
N20001650,45,47,32,16,1
N20001651,29,25,18,0,0
N20001652,78,71,41,16,2
N20001653,121,100,41,2,1
N20001654,29,34,38,10,3
N20001655,85,86,40,10,0
N20001656,132,95,48,5,0
N20001657,62,43,21,11,2
N20001658,81,87,37,12,2
N20001659,73,66,39,15,6
N20001660,155,110,62,10,0
N20001661,49,58,42,20,2
N20001662,34,64,82,44,7
N20001663,71,80,93,41,10
N20001664,54,46,31,16,3
N20001665,92,78,36,18,1
N20001666,64,75,46,15,0
N20001667,74,62,34,8,0
N20001668,105,72,36,14,3
N20001669,69,61,44,18,6
N20001670,55,43,24,7,0
N20001671,51,46,48,28,5
N20001672,81,77,45,28,1
N20001673,106,61,41,9,0
N20001674,102,66,44,18,0
N20001675,84,78,36,16,0
N20001676,75,66,42,17,2
N20001677,46,52,39,11,1
N20001678,75,68,33,9,0
N20001679,54,42,29,13,2
N20001680,104,71,34,7,0
N20001681,84,58,32,8,1
N20001682,67,57,31,11,2
N20001683,98,100,57,12,1
N20001684,128,86,37,5,0
N20001685,93,85,45,27,1
N20001686,122,97,31,5,0
N20001687,118,53,44,12,0
N20001688,86,41,35,4,0
N20001689,103,96,45,6,0
N20001690,42,39,52,25,0
N20001691,57,72,36,14,0
N20001692,120,75,46,3,0
N20001693,48,79,81,57,12
N20001694,43,38,47,12,4
N20001695,43,60,62,27,4
N20001696,130,60,38,7,0
N20001697,83,65,32,5,0
N20001698,59,81,67,26,9
N20001699,86,82,27,4,0
N20001700,41,68,78,55,6
N20001701,30,50,68,44,3
N20001702,129,90,62,14,1
N20001703,23,37,31,16,0
N20001704,34,41,54,23,1
N20001705,67,62,48,12,0
N20001706,47,62,72,28,8
N20001707,43,57,61,23,1
N20001708,126,55,19,4,0
N20001709,120,53,22,3,1
N20001710,145,81,36,10,0
N20001711,59,59,22,4,0
N20001712,70,52,45,11,1
N20001713,90,67,33,8,1
N20001714,58,51,36,5,0
N20001715,128,105,46,10,0
N20001716,142,100,53,16,2
N20001717,46,34,21,6,0
N20001718,37,42,36,18,0
N20001719,98,47,29,7,2
N20001720,109,79,53,15,1
N20001721,89,80,57,16,1
N20001722,114,85,45,8,0
N20001723,111,84,71,20,1
N20001724,89,55,28,11,0
N20001725,101,62,29,5,0
N20001726,90,76,39,7,1
N20001727,83,68,32,8,1
N20001728,35,44,52,20,0
N20001729,108,82,58,26,1
N20001730,39,38,21,2,0
N20001731,102,69,45,11,2
N20001732,103,51,29,9,0
N20001733,109,91,43,11,1
N20001734,37,63,56,43,2
N20001735,53,57,47,21,0
N20001736,67,76,73,34,9
N20001737,30,57,42,28,4
N20001738,54,51,59,16,3
N20001739,54,60,69,45,2
N20001740,76,69,43,17,2
N20001741,29,48,72,44,17
N20001742,42,47,68,38,1
N20001743,40,61,42,37,13
N20001744,19,38,58,25,3
N20001745,32,54,68,55,16
N20001746,44,35,52,35,8
N20001747,39,45,79,39,11
N20001748,57,52,56,26,7
N20001749,15,38,37,17,2
N20001750,15,49,57,40,5
N20001751,51,53,82,35,23
N20001752,27,44,53,50,3
N20001753,58,69,93,56,16
N20001754,45,44,38,23,3
N20001755,35,48,63,50,9
N20001756,54,70,64,50,5
N20001757,61,62,61,42,4
N20001758,37,55,64,47,6
N20001759,30,61,58,44,3
N20001760,37,59,71,41,3
N20001761,86,93,64,37,7
N20001762,79,94,119,63,9
N20001763,48,57,53,35,0
N20001764,70,80,70,36,0
N20001765,52,50,63,46,1
N20001766,32,55,57,52,13
N20001767,105,86,55,8,0
N20001768,37,46,38,14,0
N20001769,137,122,70,10,1
N20001770,55,77,70,44,0
N20001771,108,86,17,4,0
N20001772,89,68,21,7,0
N20001773,50,63,54,35,4
N20001774,49,63,76,34,1
N20001775,30,39,44,25,9
N20001776,60,88,57,4,0
N20001777,87,72,53,11,0
N20001778,83,58,42,12,0
N20001779,49,67,74,63,7
N20001780,90,78,64,23,0
N20001781,87,72,48,23,3
N20001782,36,67,76,45,2
N20001783,63,50,28,12,0
N20001784,87,101,51,21,0
N20001785,83,67,33,6,0
N20001786,22,66,71,40,2
N20001787,27,51,51,37,5
N20001788,101,84,45,11,0
N20001789,59,82,65,42,9
N20001790,92,55,25,8,1
N20001791,95,59,63,30,3
N20001792,86,81,40,8,0
N20001793,24,46,57,39,11
N20001794,44,58,23,15,1
N20001795,76,87,54,17,0
N20001796,69,52,57,48,5
N20001797,73,70,38,19,2
N20001798,36,46,32,27,5
N20001799,105,75,81,34,3
N20001800,69,48,26,17,2
N20001801,53,72,36,19,4
N20001802,20,61,60,46,16
N20001803,124,58,34,10,0
N20001804,89,40,17,2,0
N20001805,125,77,34,6,0
N20001806,154,64,27,6,0
N20001807,111,64,24,2,0
N20001808,15,48,56,10,0
N20001809,36,70,64,53,5
N20001810,99,62,40,5,0
N20001811,79,80,69,38,1
N20001812,149,70,37,14,1
N20001813,61,70,62,27,1
N20001814,90,54,35,6,0
N20001815,73,65,65,25,0
N20001816,90,63,37,12,0
N20001817,41,34,49,23,1
N20001818,30,62,48,28,1
N20001819,37,68,85,33,1
N20001820,112,60,26,7,0
N20001821,36,52,48,39,2
N20001822,47,40,72,43,4
